"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1902" "16" "Armstrong Manual Training School (DC)" "0" "?" "" 0 0 1902 "Hampton (VA)"
"W" "00-00-1903" "21" "Armstrong Manual Training School (DC)" "2" "?" "" 0 0 1903 "Hampton (VA)"
"L" "11-26-1904" "0" "Virginia St." "6" "Hampton, VA" "" 11 26 1904 "Hampton (VA)"
"L" "00-00-1905" "0" "Old Point Comfort College (VA)" "11" "?" "" 0 0 1905 "Hampton (VA)"
"L" "11-28-1905" "0" "Virginia St." "12" "Petersburg, VA" "" 11 28 1905 "Hampton (VA)"
"W" "00-00-1906" "5" "Monarchs" "0" "?" "" 0 0 1906 "Hampton (VA)"
"W" "00-00-1906" "10" "Columbia" "0" "?" "" 0 0 1906 "Hampton (VA)"
"W" "00-00-1906" "40" "Phoebus AA" "0" "?" "" 0 0 1906 "Hampton (VA)"
"W" "11-17-1906" "6" "Virginia Union" "5" "Richmond, VA" "" 11 17 1906 "Hampton (VA)"
"L" "11-24-1906" "5" "Virginia St." "10" "Hampton, VA" "" 11 24 1906 "Hampton (VA)"
"L" "00-00-1907" "0" "Columbia" "1" "?" "" 0 0 1907 "Hampton (VA)"
"W" "00-00-1907" "6" "Shaw (NC)" "5" "?" "" 0 0 1907 "Hampton (VA)"
"W" "00-00-1907" "12" "Phoebus AA" "0" "?" "" 0 0 1907 "Hampton (VA)"
"T" "10-31-1907" "0" "Virginia Union" "0" "Hampton, VA" "" 10 31 1907 "Hampton (VA)"
"W" "11-11-1907" "10" "Tuskegee (AL)" "0" "?" "" 11 11 1907 "Hampton (VA)"
"L" "00-00-1908" "0" "Hampton AC (VA)" "1" "?" "" 0 0 1908 "Hampton (VA)"
"W" "00-00-1908" "80" "Virginia Seminary" "0" "?" "" 0 0 1908 "Hampton (VA)"
"W" "00-00-1908" "0" "Howard (DC)" "6" "?" "Howard Forfeits" 0 0 1908 "Hampton (VA)"
"T" "10-31-1908" "0" "Shaw (NC)" "0" "?" "" 10 31 1908 "Hampton (VA)"
"W" "00-00-1908" "41" "Phoebus AA" "0" "?" "" 0 0 1908 "Hampton (VA)"
"W" "11-20-1908" "11" "Virginia Union" "0" "Richmond, VA" "" 11 20 1908 "Hampton (VA)"
"W" "00-00-1909" "22" "Virginia Seminary" "0" "?" "" 0 0 1909 "Hampton (VA)"
"W" "00-00-1909" "11" "North Carolina A&T" "0" "?" "" 0 0 1909 "Hampton (VA)"
"W" "00-00-1909" "21" "Livingstone (NC)" "0" "?" "" 0 0 1909 "Hampton (VA)"
"L" "00-00-1909" "5" "Morehouse (GA)" "16" "?" "" 0 0 1909 "Hampton (VA)"
"W" "11-01-1909" "22" "Virginia Union" "0" "Hampton, VA" "" 11 1 1909 "Hampton (VA)"
"L" "00-00-1909" "0" "Tuskegee (AL)" "6" "?" "" 0 0 1909 "Hampton (VA)"
"L" "11-13-1909" "0" "Howard (DC)" "5" "Hampton, VA" "" 11 13 1909 "Hampton (VA)"
"W" "00-00-1909" "5" "Lincoln (PA)" "0" "Hampton, VA" "" 0 0 1909 "Hampton (VA)"
"W" "00-00-1910" "69" "Virginia Seminary" "0" "?" "" 0 0 1910 "Hampton (VA)"
"W" "00-00-1910" "75" "Saint Augustine's (NC)" "6" "?" "" 0 0 1910 "Hampton (VA)"
"L" "00-00-1910" "5" "Lincoln (PA)" "6" "?" "" 0 0 1910 "Hampton (VA)"
"W" "00-00-1910" "15" "Tuskegee (AL)" "12" "?" "" 0 0 1910 "Hampton (VA)"
"L" "11-19-1910" "0" "Howard (DC)" "32" "Washington, DC" "Hampton made up of Indians and Negros" 11 19 1910 "Hampton (VA)"
"W" "00-00-1911" "11" "Lancasters" "0" "?" "" 0 0 1911 "Hampton (VA)"
"W" "00-00-1911" "19" "Lancasters" "0" "?" "" 0 0 1911 "Hampton (VA)"
"L" "00-00-1911" "0" "Howard (DC)" "11" "?" "" 0 0 1911 "Hampton (VA)"
"W" "00-00-1911" "5" "Lincoln (PA)" "2" "?" "" 0 0 1911 "Hampton (VA)"
"W" "11-04-1911" "25" "Virginia Union" "0" "Richmond, VA" "" 11 4 1911 "Hampton (VA)"
"W" "00-00-1911" "2" "Shaw (NC)" "0" "?" "" 0 0 1911 "Hampton (VA)"
"W" "00-00-1912" "27" "Lancasters" "0" "?" "" 0 0 1912 "Hampton (VA)"
"W" "00-00-1912" "74" "Lancasters" "0" "?" "" 0 0 1912 "Hampton (VA)"
"W" "00-00-1912" "10" "Lincoln (PA)" "6" "?" "" 0 0 1912 "Hampton (VA)"
"W" "10-26-1912" "74" "Virginia Union" "0" "Hampton, VA" "" 10 26 1912 "Hampton (VA)"
"W" "00-00-1912" "34" "Shaw (NC)" "0" "?" "" 0 0 1912 "Hampton (VA)"
"L" "11-09-1912" "7" "Howard (DC)" "13" "Washington, DC" "" 11 9 1912 "Hampton (VA)"
"W" "00-00-1913" "69" "Newport News HS (VA)" "0" "?" "" 0 0 1913 "Hampton (VA)"
"W" "00-00-1913" "71" "Lancasters" "0" "?" "" 0 0 1913 "Hampton (VA)"
"W" "00-00-1913" "70" "Shaw (NC)" "0" "?" "" 0 0 1913 "Hampton (VA)"
"W" "00-00-1913" "13" "Lincoln (PA)" "0" "?" "" 0 0 1913 "Hampton (VA)"
"W" "00-00-1913" "8" "Howard (DC)" "6" "?" "" 0 0 1913 "Hampton (VA)"
"W" "11-22-1913" "30" "Virginia Union" "0" "Richmond, VA" "" 11 22 1913 "Hampton (VA)"
"W" "10-30-1914" "39" "Livingstone (NC)" "0" "Hampton, VA" "" 10 30 1914 "Hampton (VA)"
"W" "11-16-1914" "1" "Lincoln (PA)" "0" "Hampton, VA" "" 11 16 1914 "Hampton (VA)"
"W" "11-20-1914" "42" "Virginia Union" "0" "Richmond, VA" "" 11 20 1914 "Hampton (VA)"
"L" "11-26-1914" "0" "Howard (DC)" "6" "Washington, DC" "" 11 26 1914 "Hampton (VA)"
"W" "00-00-1915" "58" "Saint Paul's (VA)" "0" "?" "" 0 0 1915 "Hampton (VA)"
"W" "00-00-1915" "59" "Shaw (NC)" "0" "?" "" 0 0 1915 "Hampton (VA)"
"W" "00-00-1915" "18" "Howard (DC)" "0" "?" "" 0 0 1915 "Hampton (VA)"
"W" "11-20-1915" "73" "Virginia Union" "0" "Richmond, VA" "" 11 20 1915 "Hampton (VA)"
"W" "00-00-1916" "89" "Roanoke AC (VA)" "0" "?" "" 0 0 1916 "Hampton (VA)"
"W" "00-00-1916" "19" "Lincoln (PA)" "7" "?" "" 0 0 1916 "Hampton (VA)"
"W" "11-03-1916" "15" "Virginia Union" "6" "Hampton, VA" "" 11 3 1916 "Hampton (VA)"
"W" "11-30-1916" "12" "Howard (DC)" "3" "Washington, DC" "" 11 30 1916 "Hampton (VA)"
"W" "00-00-1917" "57" "Vandals" "0" "?" "" 0 0 1917 "Hampton (VA)"
"W" "00-00-1917" "25" "Virginia St." "6" "?" "" 0 0 1917 "Hampton (VA)"
"W" "11-17-1917" "7" "Lincoln (PA)" "0" "Hampton, VA" "" 11 17 1917 "Hampton (VA)"
"W" "11-29-1917" "37" "Howard (DC)" "0" "Hampton, VA" "" 11 29 1917 "Hampton (VA)"
"L" "11-29-1917" "0" "Virginia Union" "3" "Richmond, VA" "" 11 29 1917 "Hampton (VA)"
"W" "00-00-1918" "6" "Howard (DC)" "2" "?" "" 0 0 1918 "Hampton (VA)"
"L" "11-09-1918" "0" "Lincoln (PA)" "7" "?" "" 11 9 1918 "Hampton (VA)"
"T" "11-28-1918" "0" "Virginia Union" "0" "Hampton, VA" "" 11 28 1918 "Hampton (VA)"
"W" "00-00-1919" "29" "Norfolk NAS (VA)" "0" "?" "" 0 0 1919 "Hampton (VA)"
"W" "00-00-1919" "20" "Newport News YMCA (VA)" "0" "?" "" 0 0 1919 "Hampton (VA)"
"W" "00-00-1919" "25" "Saint Paul's (VA)" "0" "?" "" 0 0 1919 "Hampton (VA)"
"L" "11-01-1919" "6" "Lincoln (PA)" "14" "Hampton, VA" "" 11 1 1919 "Hampton (VA)"
"L" "00-00-1919" "7" "Howard (DC)" "12" "?" "" 0 0 1919 "Hampton (VA)"
"T" "11-15-1919" "13" "Virginia St." "13" "?" "" 11 15 1919 "Hampton (VA)"
"L" "11-27-1919" "0" "Virginia Union" "10" "Richmond, VA" "" 11 27 1919 "Hampton (VA)"
"W" "00-00-1920" "39" "Norfolk NAS (VA)" "0" "?" "" 0 0 1920 "Hampton (VA)"
"T" "00-00-1920" "18" "Lighthearts" "18" "?" "" 0 0 1920 "Hampton (VA)"
"L" "10-23-1920" "0" "Shaw (NC)" "13" "Hampton, VA" "" 10 23 1920 "Hampton (VA)"
"W" "00-00-1920" "1" "Newport News YMCA (VA)" "0" "?" "" 0 0 1920 "Hampton (VA)"
"W" "10-30-1920" "12" "Virginia St." "0" "Petersburg, VA" "" 10 30 1920 "Hampton (VA)"
