"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "05-14-1874" "3" "McGill (Canada)" "0" "Cambridge, MA" "Harvard 3g - McGill 0" 5 14 1874 "Harvard (MA)"
"T" "05-15-1874" "0" "McGill (Canada)" "0" "Cambridge, MA" "Harvard 0 - McGill 0" 5 15 1874 "Harvard (MA)"
"W" "10-23-1874" "3" "McGill (Canada)" "0" "Montreal, QC (Canada)" "Harvard 3t - McGill 0" 10 23 1874 "Harvard (MA)"
"L" "06-04-1875" "0" "Tufts (MA)" "1" "Cambridge, MA" "Tufts 1g,1t - Harvard 0" 6 4 1875 "Harvard (MA)"
"W" "10-23-1875" "1" "Montreal FBC (Canada)" "0" "Montreal, QC (Canada)" "Harvard 1g,1t - Montreal FBC 0" 10 23 1875 "Harvard (MA)"
"W" "10-27-1875" "1" "Tufts (MA)" "0" "Medford, MA" "Harvard 1g,1t - Tufts 0" 10 27 1875 "Harvard (MA)"
"W" "11-13-1875" "4" "Yale (CT)" "0" "New Haven, CT" "Harvard 4g,1t - Yale 0" 11 13 1875 "Harvard (MA)"
"W" "05-08-1876" "1" "Canada All-Stars" "0" "Cambridge, MA" "Harvard 1g - Canada All-Stars 0" 5 8 1876 "Harvard (MA)"
"W" "10-28-1876" "2" "Canada All-Stars" "0" "Montreal, QC (Canada)" "Harvard 2g,2t - Canada All-Stars 0" 10 28 1876 "Harvard (MA)"
"W" "10-30-1876" "1" "McGill (Canada)" "0" "Montreal, QC (Canada)" "Harvard 1g,5t - McGill 0" 10 30 1876 "Harvard (MA)"
"L" "11-18-1876" "0" "Yale (CT)" "1" "New Haven, CT" "Yale 1g - Harvard 3t" 11 18 1876 "Harvard (MA)"
"W" "04-28-1877" "1" "Princeton (NJ)" "0" "Cambridge, MA" "Harvard 1g,2t - Princeton 1t" 4 28 1877 "Harvard (MA)"
"W" "10-23-1877" "3" "Tufts (MA)" "0" "Medford, MA" "Harvard 3g,2t - Tufts 0" 10 23 1877 "Harvard (MA)"
"W" "10-26-1877" "1" "McGill (Canada)" "0" "Montreal, QC (Canada)" "Harvard 1g,5t - McGill 0" 10 26 1877 "Harvard (MA)"
"L" "11-03-1877" "0" "Princeton (NJ)" "1" "Princeton, NJ" "Princeton 1g,1t - Harvard 2t" 11 3 1877 "Harvard (MA)"
"W" "11-05-1877" "6" "Columbia (NY)" "0" "New York, NY" "Harvard 6g,8t - Columbia 0" 11 5 1877 "Harvard (MA)"
"W" "11-09-1878" "3" "Amherst (MA)" "0" "Amherst, MA" "Harvard 3g,6t - Amherst 0" 11 9 1878 "Harvard (MA)"
"L" "11-16-1878" "0" "Princeton (NJ)" "1" "Princeton, NJ" "Princeton 1t,4s - Harvard 5s" 11 16 1878 "Harvard (MA)"
"L" "11-23-1878" "0" "Yale (CT)" "1" "Boston, MA" "Yale 1g,7s - Harvard 13s" 11 23 1878 "Harvard (MA)"
"W" "10-25-1879" "2" "Britannias FBC (Canada)" "0" "Cambridge, MA" "Harvard 2g,3t - Britannias FBC 0" 10 25 1879 "Harvard (MA)"
"W" "11-01-1879" "1" "Britannias FBC (Canada)" "0" "Montreal, QC (Canada)" "Harvard 1g,1t - Britannias FBC 0" 11 1 1879 "Harvard (MA)"
"T" "11-03-1879" "0" "McGill (Canada)" "0" "Montreal, QC (Canada)" "Harvard 1g,1t - McGill 0 (Game called due to snow)" 11 3 1879 "Harvard (MA)"
"T" "11-08-1879" "0" "Yale (CT)" "0" "New Haven, CT" "Harvard 9s - Yale 3s" 11 8 1879 "Harvard (MA)"
"L" "11-15-1879" "0" "Princeton (NJ)" "1" "Princeton, NJ" "Princeton 1g,7t - Harvard 5s" 11 15 1879 "Harvard (MA)"
"W" "10-23-1880" "2" "Britannias FBC (Canada)" "0" "Cambridge, MA" "Harvard 2g,8s - Britannias FBC 0" 10 23 1880 "Harvard (MA)"
"W" "11-01-1880" "2" "Ottawa FBC (Canada)" "1" "Ottawa, ON (Canada)" "Harvard 2g,1t - Ottawa 1g,1t" 11 1 1880 "Harvard (MA)"
