"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1893" "40" "Washington YMCA (DC)" "6" "?" "" 0 0 1893 "Howard (DC)"
"W" "00-00-1893" "6" "Annapolis AC (MD)" "0" "?" "Howard won - score unknown" 0 0 1893 "Howard (DC)"
"T" "00-00-1894" "0" "Annapolis AC (MD)" "0" "?" "" 0 0 1894 "Howard (DC)"
"L" "00-00-1894" "5" "Lincoln (PA)" "6" "?" "" 0 0 1894 "Howard (DC)"
"L" "00-00-1895" "5" "Lincoln (PA)" "6" "?" "" 0 0 1895 "Howard (DC)"
"W" "11-16-1895" "32" "Norfolk Country & AC" "4" "?" "" 11 16 1895 "Howard (DC)"
"W" "11-28-1895" "18" "High School" "0" "?" "" 11 28 1895 "Howard (DC)"
"T" "12-16-1895" "0" "Washington YMCA (DC)" "0" "?" "" 12 16 1895 "Howard (DC)"
"W" "12-25-1895" "26" "Norfolk Country & AC" "6" "?" "" 12 25 1895 "Howard (DC)"
"W" "12-26-1895" "24" "UN&C" "0" "?" "" 12 26 1895 "Howard (DC)"
"W" "00-00-1897" "17" "Norfolk Country & AC" "0" "?" "" 0 0 1897 "Howard (DC)"
"W" "00-00-1897" "4" "Wayland Seminary (DC)" "0" "?" "" 0 0 1897 "Howard (DC)"
"W" "00-00-1897" "6" "Norfolk Country & AC" "0" "?" "" 0 0 1897 "Howard (DC)"
"W" "00-00-1897" "6" "Hygeia AC" "0" "?" "" 0 0 1897 "Howard (DC)"
"W" "12-03-1897" "18" "Petersburg YMCA (VA)" "6" "Richmond, VA" "" 12 3 1897 "Howard (DC)"
"W" "00-00-1899" "20" "Annapolis AC (MD)" "0" "?" "" 0 0 1899 "Howard (DC)"
"W" "00-00-1899" "48" "Storer College (WV)" "0" "?" "" 0 0 1899 "Howard (DC)"
"W" "00-00-1899" "71" "Morgan St. (MD)" "0" "?" "" 0 0 1899 "Howard (DC)"
"W" "00-00-1900" "41" "Morgan St. (MD)" "0" "?" "" 0 0 1900 "Howard (DC)"
"T" "00-00-1900" "0" "Shaw (NC)" "0" "?" "" 0 0 1900 "Howard (DC)"
"W" "12-01-1900" "17" "Virginia Union" "2" "Washington, DC" "" 12 1 1900 "Howard (DC)"
"W" "00-00-1901" "34" "Morgan St. (MD)" "0" "?" "" 0 0 1901 "Howard (DC)"
"W" "00-00-1901" "17" "Prince AA" "0" "?" "" 0 0 1901 "Howard (DC)"
"W" "00-00-1901" "5" "Shaw (NC)" "0" "?" "" 0 0 1901 "Howard (DC)"
"W" "11-28-1901" "23" "Virginia Union" "0" "Washington, DC" "" 11 28 1901 "Howard (DC)"
"W" "00-00-1902" "23" "Morgan St. (MD)" "0" "?" "" 0 0 1902 "Howard (DC)"
"W" "00-00-1903" "28" "Morgan St. (MD)" "0" "?" "" 0 0 1903 "Howard (DC)"
"W" "00-00-1903" "26" "Virginia St." "0" "Washington, DC" "" 0 0 1903 "Howard (DC)"
"W" "00-00-1904" "17" "Shaw (NC)" "3" "?" "" 0 0 1904 "Howard (DC)"
