"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1902" "17" "Pocatello HS (ID)" "0" "Pocatello, ID" "" 0 0 1902 "Idaho St."
"W" "00-00-1902" "15" "Pocatello HS (ID)" "0" "Pocatello, ID" "" 0 0 1902 "Idaho St."
"W" "00-00-1902" "27" "Idaho Falls HS (ID)" "0" "Idaho Falls, ID" "" 0 0 1902 "Idaho St."
"W" "00-00-1902" "6" "Pocatello HS (ID)" "0" "Pocatello, ID" "Idaho St. won - score unknown" 0 0 1902 "Idaho St."
"W" "00-00-1902" "6" "Pocatello HS (ID)" "0" "Pocatello, ID" "" 0 0 1902 "Idaho St."
"L" "00-00-1903" "0" "Boise HS (ID)" "28" "Pocatello, ID" "" 0 0 1903 "Idaho St."
"T" "00-00-1903" "0" "Co. K.I.N.G." "0" "?" "" 0 0 1903 "Idaho St."
"W" "00-00-1904" "5" "Idaho Falls HS (ID)" "0" "Pocatello, ID" "" 0 0 1904 "Idaho St."
"L" "00-00-1904" "0" "Utah St." "22" "Logan, UT" "" 0 0 1904 "Idaho St."
"L" "00-00-1904" "5" "Boise HS (ID)" "22" "Boise, ID" "" 0 0 1904 "Idaho St."
"L" "00-00-1904" "0" "Utah St." "10" "Pocatello, ID" "" 0 0 1904 "Idaho St."
"T" "00-00-1905" "0" "Idaho Falls HS (ID)" "0" "Pocatello, ID" "" 0 0 1905 "Idaho St."
"W" "00-00-1905" "45" "Southern Idaho" "0" "Pocatello, ID" "" 0 0 1905 "Idaho St."
"W" "00-00-1905" "17" "Idaho Falls HS (ID)" "6" "Pocatello, ID" "" 0 0 1905 "Idaho St."
"W" "00-00-1905" "32" "Southern Idaho" "7" "Albion, ID" "" 0 0 1905 "Idaho St."
"T" "00-00-1905" "0" "Boise HS (ID)" "0" "Pocatello, ID" "" 0 0 1905 "Idaho St."
"L" "00-00-1906" "0" "All Hallows College (UT)" "4" "Pocatello, ID" "" 0 0 1906 "Idaho St."
"T" "00-00-1906" "0" "Southern Idaho" "0" "Albion, ID" "" 0 0 1906 "Idaho St."
"L" "00-00-1906" "0" "Southern Idaho" "6" "Pocatello, ID" "" 0 0 1906 "Idaho St."
"W" "00-00-1907" "33" "Idaho Falls HS (ID)" "0" "Pocatello, ID" "" 0 0 1907 "Idaho St."
"W" "00-00-1907" "6" "Southern Idaho" "2" "Albion, ID" "" 0 0 1907 "Idaho St."
"W" "00-00-1907" "34" "Pocatello HS (ID)" "0" "Pocatello, ID" "" 0 0 1907 "Idaho St."
"L" "00-00-1907" "4" "Ogden HS (UT)" "32" "Ogden, UT" "" 0 0 1907 "Idaho St."
"W" "00-00-1907" "11" "Southern Idaho" "0" "Pocatello, ID" "" 0 0 1907 "Idaho St."
"W" "00-00-1907" "61" "Blackfoot HS (ID)" "0" "Blackfoot, ID" "" 0 0 1907 "Idaho St."
"L" "00-00-1907" "4" "Ogden HS (UT)" "5" "Pocatello, ID" "" 0 0 1907 "Idaho St."
"L" "00-00-1907" "0" "All Hallows College (UT)" "2" "Salt Lake City, UT" "" 0 0 1907 "Idaho St."
"W" "00-00-1907" "34" "Payette HS (ID)" "0" "Pocatello, ID" "" 0 0 1907 "Idaho St."
"L" "00-00-1908" "0" "Blackfoot HS (ID)" "5" "Blackfoot, ID" "" 0 0 1908 "Idaho St."
"W" "00-00-1908" "28" "Idaho Falls HS (ID)" "0" "Idaho Falls, ID" "" 0 0 1908 "Idaho St."
"W" "00-00-1908" "14" "Pocatello HS (ID)" "0" "Pocatello, ID" "" 0 0 1908 "Idaho St."
"L" "00-00-1908" "0" "Southern Idaho" "21" "Albion, ID" "" 0 0 1908 "Idaho St."
"W" "00-00-1909" "15" "Twin Falls HS (ID)" "0" "?" "" 0 0 1909 "Idaho St."
"W" "00-00-1909" "24" "Pocatello HS (ID)" "3" "Pocatello, ID" "" 0 0 1909 "Idaho St."
"W" "00-00-1909" "23" "Blackfoot HS (ID)" "2" "Pocatello, ID" "" 0 0 1909 "Idaho St."
"W" "00-00-1909" "5" "Southern Idaho" "0" "Pocatello, ID" "" 0 0 1909 "Idaho St."
"W" "00-00-1909" "10" "Payette HS (ID)" "5" "Pocatello, ID" "" 0 0 1909 "Idaho St."
"W" "00-00-1910" "84" "Pocatello Saint Anthony HS (ID)" "12" "Pocatello, ID" "" 0 0 1910 "Idaho St."
"W" "00-00-1910" "52" "Pocatello HS (ID)" "5" "Pocatello, ID" "" 0 0 1910 "Idaho St."
"W" "00-00-1910" "22" "Twin Falls HS (ID)" "0" "Pocatello, ID" "" 0 0 1910 "Idaho St."
"L" "00-00-1910" "0" "Utah St." "45" "Logan, UT" "" 0 0 1910 "Idaho St."
"W" "00-00-1910" "15" "Southern Idaho" "5" "Albion, ID" "" 0 0 1910 "Idaho St."
"W" "00-00-1910" "5" "Weiser HS (ID)" "0" "Weiser, ID" "" 0 0 1910 "Idaho St."
"W" "00-00-1910" "5" "Boise HS (ID)" "0" "Boise, ID" "" 0 0 1910 "Idaho St."
"W" "00-00-1911" "11" "Pocatello HS (ID)" "3" "Pocatello, ID" "" 0 0 1911 "Idaho St."
"W" "00-00-1911" "6" "Shoshone HS (ID)" "0" "Shoshone, ID" "Idaho St. won - score unknown" 0 0 1911 "Idaho St."
"W" "00-00-1911" "6" "American Falls HS (ID)" "0" "American Falls, ID" "Idaho St. won - score unknown" 0 0 1911 "Idaho St."
"L" "00-00-1911" "0" "Utah St." "88" "Logan, UT" "" 0 0 1911 "Idaho St."
"L" "00-00-1911" "5" "Ogden HS (UT)" "9" "Ogden, UT" "" 0 0 1911 "Idaho St."
"W" "00-00-1911" "6" "Idaho Falls HS (ID)" "0" "Pocatello, ID" "Idaho St. won - score unknown" 0 0 1911 "Idaho St."
"L" "00-00-1911" "0" "Logan HS (UT)" "6" "Pocatello, ID" "Logan HS won - score unknown" 0 0 1911 "Idaho St."
"W" "00-00-1911" "8" "Southern Idaho" "0" "Pocatello, ID" "" 0 0 1911 "Idaho St."
"L" "00-00-1911" "5" "College of Idaho" "23" "Pocatello, ID" "" 0 0 1911 "Idaho St."
"L" "00-00-1912" "0" "American Falls All-Stars (ID)" "33" "American Falls, ID" "" 0 0 1912 "Idaho St."
"L" "00-00-1912" "0" "American Falls All-Stars (ID)" "23" "Pocatello, ID" "" 0 0 1912 "Idaho St."
"W" "00-00-1912" "60" "Pocatello HS (ID)" "0" "Pocatello, ID" "" 0 0 1912 "Idaho St."
"L" "00-00-1913" "6" "Blackfoot All-Stars (ID)" "21" "Pocatello, ID" "" 0 0 1913 "Idaho St."
"W" "00-00-1913" "30" "Blackfoot All-Stars (ID)" "0" "Blackfoot, ID" "" 0 0 1913 "Idaho St."
"W" "00-00-1913" "81" "Rigby HS (ID)" "0" "Pocatello, ID" "" 0 0 1913 "Idaho St."
"W" "00-00-1913" "41" "Pocatello HS (ID)" "0" "Pocatello, ID" "" 0 0 1913 "Idaho St."
"W" "00-00-1913" "14" "American Falls HS (ID)" "0" "Pocatello, ID" "" 0 0 1913 "Idaho St."
"L" "00-00-1913" "6" "Southern Idaho" "7" "Pocatello, ID" "" 0 0 1913 "Idaho St."
"W" "00-00-1913" "13" "College of Idaho" "3" "Caldwell, ID" "" 0 0 1913 "Idaho St."
"L" "00-00-1914" "7" "Pocatello YMCA (ID)" "13" "Pocatello, ID" "" 0 0 1914 "Idaho St."
"W" "00-00-1914" "13" "Pocatello YMCA (ID)" "0" "Pocatello, ID" "" 0 0 1914 "Idaho St."
"W" "00-00-1914" "26" "Burley HS (ID)" "0" "Burley, ID" "" 0 0 1914 "Idaho St."
"W" "00-00-1914" "28" "Southern Idaho" "14" "Albion, ID" "" 0 0 1914 "Idaho St."
"W" "00-00-1914" "53" "Twin Falls HS (ID)" "0" "Pocatello, ID" "" 0 0 1914 "Idaho St."
"W" "00-00-1914" "12" "Blackfoot All-Stars (ID)" "6" "Blackfoot, ID" "" 0 0 1914 "Idaho St."
"W" "00-00-1914" "7" "College of Idaho" "0" "Pocatello, ID" "" 0 0 1914 "Idaho St."
"W" "10-09-1915" "46" "Pocatello YMCA (ID)" "0" "Pocatello, ID" "" 10 9 1915 "Idaho St."
"W" "00-00-1915" "52" "Utah St. Freshmen" "0" "Pocatello, ID" "" 0 0 1915 "Idaho St."
"W" "00-00-1915" "41" "Boise HS (ID)" "6" "Boise, ID" "" 0 0 1915 "Idaho St."
"L" "00-00-1915" "0" "Caldwell HS (ID)" "28" "Caldwell, ID" "" 0 0 1915 "Idaho St."
"L" "11-06-1915" "0" "College of Idaho" "7" "Caldwell, ID" "" 11 6 1915 "Idaho St."
"W" "00-00-1915" "41" "Southern Idaho" "0" "Pocatello, ID" "" 0 0 1915 "Idaho St."
"L" "00-00-1915" "12" "Utah Freshmen" "19" "Pocatello, ID" "" 0 0 1915 "Idaho St."
"W" "10-06-1916" "13" "Blackfoot All-Stars (ID)" "7" "Pocatello, ID" "" 10 6 1916 "Idaho St."
"L" "10-21-1916" "7" "Utah Freshmen" "12" "Salt Lake City, UT" "" 10 21 1916 "Idaho St."
"W" "10-28-1916" "13" "Utah St. Freshmen" "6" "Logan, UT" "" 10 28 1916 "Idaho St."
"W" "10-29-1916" "18" "Pocatello HS (ID)" "7" "Pocatello, ID" "" 10 29 1916 "Idaho St."
"W" "11-04-1916" "28" "College of Idaho" "0" "Pocatello, ID" "" 11 4 1916 "Idaho St."
"W" "00-00-1916" "21" "Southern Idaho" "13" "Albion, ID" "" 0 0 1916 "Idaho St."
"L" "11-27-1916" "0" "Idaho" "32" "Pocatello, ID" "" 11 27 1916 "Idaho St."
"W" "00-00-1917" "12" "Gooding HS (ID)" "6" "Pocatello, ID" "" 0 0 1917 "Idaho St."
"L" "00-00-1917" "0" "Blackfoot HS (ID)" "10" "Pocatello, ID" "" 0 0 1917 "Idaho St."
"W" "00-00-1917" "87" "Brigham City HS (UT)" "0" "Pocatello, ID" "" 0 0 1917 "Idaho St."
"L" "00-00-1917" "0" "College of Idaho" "36" "Caldwell, ID" "" 0 0 1917 "Idaho St."
"T" "00-00-1919" "0" "Idaho Falls HS (ID)" "0" "Idaho Falls, ID" "" 0 0 1919 "Idaho St."
"W" "00-00-1919" "27" "Ricks JC (ID)" "0" "Pocatello, ID" "" 0 0 1919 "Idaho St."
"W" "00-00-1919" "17" "Brigham Young College (UT)" "9" "Pocatello, ID" "" 0 0 1919 "Idaho St."
"L" "00-00-1919" "0" "College of Idaho" "28" "Pocatello, ID" "" 0 0 1919 "Idaho St."
"L" "10-11-1919" "0" "Utah St." "136" "Logan, UT" "" 10 11 1919 "Idaho St."
"W" "00-00-1920" "20" "Blackfoot HS (ID)" "7" "Blackfoot, ID" "" 0 0 1920 "Idaho St."
"L" "00-00-1920" "7" "Utah St. Freshmen" "13" "Pocatello, ID" "" 0 0 1920 "Idaho St."
"W" "00-00-1920" "20" "Ricks JC (ID)" "6" "Rexburg, ID" "" 0 0 1920 "Idaho St."
"W" "00-00-1920" "6" "Gooding (ID)" "0" "Pocatello, ID" "" 0 0 1920 "Idaho St."
"L" "00-00-1920" "0" "College of Idaho" "50" "Caldwell, ID" "" 0 0 1920 "Idaho St."
"L" "00-00-1920" "0" "Utah Freshmen" "16" "Pocatello, ID" "" 0 0 1920 "Idaho St."
"W" "00-00-1921" "71" "Blackfoot HS (ID)" "0" "Pocatello, ID" "" 0 0 1921 "Idaho St."
"L" "10-08-1921" "0" "Montana" "25" "Missoula, MT" "" 10 8 1921 "Idaho St."
"W" "10-19-1921" "34" "Utah St. Freshmen" "0" "Pocatello, ID" "" 10 19 1921 "Idaho St."
"W" "10-29-1921" "13" "College of Idaho" "7" "Pocatello, ID" "" 10 29 1921 "Idaho St."
"W" "00-00-1921" "37" "Ricks JC (ID)" "13" "Pocatello, ID" "" 0 0 1921 "Idaho St."
"W" "00-00-1921" "17" "Gooding (ID)" "10" "Gooding, ID" "" 0 0 1921 "Idaho St."
"W" "00-00-1921" "6" "Brigham Young College (UT)" "0" "Logan, UT" "" 0 0 1921 "Idaho St."
"L" "00-00-1921" "0" "Utah Freshmen" "3" "Pocatello, ID" "" 0 0 1921 "Idaho St."
"W" "00-00-1922" "56" "Utah St. Freshmen" "0" "Pocatello, ID" "" 0 0 1922 "Idaho St."
"L" "10-21-1922" "12" "Montana" "15" "Missoula, MT" "" 10 21 1922 "Idaho St."
"L" "00-00-1922" "12" "Montana St. Freshmen" "19" "Bozeman, MT" "" 0 0 1922 "Idaho St."
"W" "00-00-1922" "22" "Brigham Young College (UT)" "3" "?" "" 0 0 1922 "Idaho St."
"W" "00-00-1922" "106" "Gooding (ID)" "0" "Pocatello, ID" "" 0 0 1922 "Idaho St."
"L" "11-17-1922" "0" "College of Idaho" "17" "Caldwell, ID" "" 11 17 1922 "Idaho St."
"W" "00-00-1922" "39" "Ricks JC (ID)" "0" "Rexburg, ID" "" 0 0 1922 "Idaho St."
"L" "10-06-1923" "0" "Montana St." "41" "Pocatello, ID" "" 10 6 1923 "Idaho St."
"W" "00-00-1923" "25" "Weber JC (UT)" "20" "Pocatello, ID" "" 0 0 1923 "Idaho St."
"W" "00-00-1923" "7" "Montana Tech" "6" "Pocatello, ID" "" 0 0 1923 "Idaho St."
"T" "00-00-1923" "6" "Brigham Young College (UT)" "6" "Logan, UT" "" 0 0 1923 "Idaho St."
"L" "11-16-1923" "6" "College of Idaho" "7" "Pocatello, ID" "" 11 16 1923 "Idaho St."
"W" "11-29-1923" "14" "Montana Wesleyan" "0" "Pocatello, ID" "" 11 29 1923 "Idaho St."
"W" "00-00-1924" "6" "Utah St. Freshmen" "0" "Pocatello, ID" "" 0 0 1924 "Idaho St."
"W" "00-00-1924" "32" "Southern Idaho" "0" "Pocatello, ID" "" 0 0 1924 "Idaho St."
"W" "00-00-1924" "58" "Weber JC (UT)" "0" "Pocatello, ID" "" 0 0 1924 "Idaho St."
"W" "00-00-1924" "47" "Brigham Young College (UT)" "0" "Pocatello, ID" "" 0 0 1924 "Idaho St."
"L" "00-00-1924" "0" "Idaho Freshmen" "37" "?" "" 0 0 1924 "Idaho St."
"W" "00-00-1924" "26" "Dakota Wesleyan (SD)" "0" "Pocatello, ID" "" 0 0 1924 "Idaho St."
"L" "00-00-1924" "0" "College of Idaho" "35" "Caldwell, ID" "" 0 0 1924 "Idaho St."
"L" "00-00-1925" "0" "Utah St. Freshmen" "6" "Pocatello, ID" "Idaho St. won - score unknown" 0 0 1925 "Idaho St."
"L" "00-00-1925" "0" "Weber JC (UT)" "6" "Ogden, UT" "Idaho St. won - score unknown" 0 0 1925 "Idaho St."
"W" "00-00-1925" "6" "Southern Idaho" "0" "Pocatello, ID" "Southern Idaho won - score unknown" 0 0 1925 "Idaho St."
