"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1887" "12" "Illinois Wesleyan" "4" "?" "" 0 0 1887 "Illinois St."
"L" "00-00-1887" "6" "Illinois Wesleyan" "18" "?" "" 0 0 1887 "Illinois St."
"T" "00-00-1887" "10" "Illinois Wesleyan" "10" "?" "" 0 0 1887 "Illinois St."
"L" "00-00-1890" "0" "Illinois Wesleyan" "18" "?" "" 0 0 1890 "Illinois St."
"L" "00-00-1890" "6" "Illinois Wesleyan" "12" "?" "" 0 0 1890 "Illinois St."
"W" "00-00-1891" "15" "Illinois Wesleyan" "6" "?" "" 0 0 1891 "Illinois St."
"W" "00-00-1891" "12" "Illinois Wesleyan" "0" "?" "" 0 0 1891 "Illinois St."
"L" "00-00-1893" "9" "Peoria HS (IL)" "10" "?" "" 0 0 1893 "Illinois St."
"W" "00-00-1893" "10" "Illinois Wesleyan" "0" "?" "" 0 0 1893 "Illinois St."
"W" "00-00-1893" "14" "Urbana HS (IL)" "0" "?" "" 0 0 1893 "Illinois St."
"W" "00-00-1893" "12" "Bloomington HS (IL)" "0" "?" "" 0 0 1893 "Illinois St."
"L" "11-18-1893" "5" "Eureka (IL)" "38" "Normal, IL" "" 11 18 1893 "Illinois St."
"L" "11-30-1893" "4" "Gibson City HS (IL)" "10" "Gibson City, IL" "" 11 30 1893 "Illinois St."
"W" "00-00-1894" "6" "Illinois Wesleyan" "0" "?" "" 0 0 1894 "Illinois St."
"W" "00-00-1894" "12" "Illinois Wesleyan" "4" "?" "" 0 0 1894 "Illinois St."
"W" "00-00-1894" "24" "Gibson City HS (IL)" "4" "?" "" 0 0 1894 "Illinois St."
"W" "00-00-1894" "20" "Champaign HS (IL)" "6" "?" "" 0 0 1894 "Illinois St."
"T" "11-03-1894" "0" "Eureka (IL)" "0" "Normal, IL" "" 11 3 1894 "Illinois St."
"L" "11-17-1894" "18" "Eureka (IL)" "16" "Bloomington, IL" "Illinois St. Forfeits" 11 17 1894 "Illinois St."
"L" "11-29-1894" "6" "Illinois College" "8" "Jacksonville, IL" "" 11 29 1894 "Illinois St."
"W" "00-00-1895" "36" "Illinois Wesleyan" "0" "?" "" 0 0 1895 "Illinois St."
"T" "10-06-1895" "0" "Eureka (IL)" "0" "Normal, IL" "" 10 6 1895 "Illinois St."
"W" "00-00-1895" "34" "Illinois Wesleyan" "0" "?" "" 0 0 1895 "Illinois St."
"L" "10-19-1895" "0" "Eureka (IL)" "6" "Eureka, IL" "" 10 19 1895 "Illinois St."
"W" "10-26-1895" "44" "Peoria Business College (IL)" "0" "?" "" 10 26 1895 "Illinois St."
"W" "00-00-1895" "10" "Springfield HS (IL)" "4" "?" "" 0 0 1895 "Illinois St."
"L" "00-00-1895" "0" "Champaign HS (IL)" "8" "?" "" 0 0 1895 "Illinois St."
"W" "00-00-1895" "4" "Lincoln College (IL)" "0" "?" "" 0 0 1895 "Illinois St."
"W" "00-00-1896" "34" "Illinois JV" "0" "?" "" 0 0 1896 "Illinois St."
"W" "00-00-1896" "58" "Lincoln College (IL)" "4" "?" "" 0 0 1896 "Illinois St."
"T" "10-24-1896" "0" "Saint Alban's Military Academy (IL)" "0" "Normal, IL" "" 10 24 1896 "Illinois St."
"L" "10-02-1897" "0" "Purdue (IN)" "28" "West Lafayette, IN" "" 10 2 1897 "Illinois St."
"L" "10-09-1897" "4" "Eureka (IL)" "6" "Normal, IL" "" 10 9 1897 "Illinois St."
"L" "00-00-1897" "4" "Monmouth (IL)" "34" "?" "" 0 0 1897 "Illinois St."
"W" "00-00-1897" "23" "Pontiac AC (IL)" "4" "?" "" 0 0 1897 "Illinois St."
"L" "10-23-1897" "6" "Eureka (IL)" "18" "Eureka, IL" "" 10 23 1897 "Illinois St."
"L" "10-30-1897" "0" "Knox (IL)" "14" "Galesburg, IL" "" 10 30 1897 "Illinois St."
"L" "00-00-1901" "0" "Illinois Wesleyan" "22" "?" "" 0 0 1901 "Illinois St."
"W" "00-00-1901" "6" "Lincoln College (IL)" "0" "?" "" 0 0 1901 "Illinois St."
"L" "00-00-1901" "0" "Illinois Wesleyan" "5" "?" "" 0 0 1901 "Illinois St."
"L" "00-00-1901" "0" "Pontiac HS (IL)" "29" "?" "" 0 0 1901 "Illinois St."
"L" "00-00-1901" "0" "Eastern Illinois" "28" "?" "" 0 0 1901 "Illinois St."
"L" "00-00-1901" "0" "Pontiac HS (IL)" "22" "?" "" 0 0 1901 "Illinois St."
"L" "00-00-1901" "0" "Lincoln College (IL)" "28" "?" "" 0 0 1901 "Illinois St."
"W" "00-00-1903" "41" "Lincoln College (IL)" "0" "?" "" 0 0 1903 "Illinois St."
"W" "00-00-1903" "11" "Millikin (IL)" "0" "?" "" 0 0 1903 "Illinois St."
"L" "00-00-1903" "0" "Illinois College" "22" "?" "" 0 0 1903 "Illinois St."
"W" "00-00-1903" "11" "Illinois Wesleyan" "0" "?" "" 0 0 1903 "Illinois St."
"W" "00-00-1904" "11" "Pontiac HS (IL)" "6" "?" "" 0 0 1904 "Illinois St."
"L" "00-00-1904" "0" "Millikin (IL)" "17" "?" "" 0 0 1904 "Illinois St."
"L" "10-15-1904" "0" "Saint Louis (MO)" "57" "Saint Louis, MO" "" 10 15 1904 "Illinois St."
"L" "00-00-1904" "0" "Illinois JV" "8" "?" "" 0 0 1904 "Illinois St."
"L" "10-29-1904" "4" "Illinois Wesleyan" "5" "?" "" 10 29 1904 "Illinois St."
"W" "00-00-1904" "18" "Illinois College" "0" "?" "" 0 0 1904 "Illinois St."
"L" "11-24-1904" "0" "Western Illinois" "9" "Macomb, IL" "" 11 24 1904 "Illinois St."
"W" "00-00-1905" "29" "Lincoln College (IL)" "0" "?" "" 0 0 1905 "Illinois St."
"W" "00-00-1905" "12" "Bloomington HS (IL)" "0" "?" "" 0 0 1905 "Illinois St."
"W" "00-00-1905" "36" "Illinois JV" "0" "?" "" 0 0 1905 "Illinois St."
"L" "10-21-1905" "0" "Illinois College" "6" "Jacksonville, IL" "" 10 21 1905 "Illinois St."
"W" "10-28-1905" "29" "Bradley (IL)" "0" "Peoria, IL" "" 10 28 1905 "Illinois St."
"W" "00-00-1905" "6" "Eastern Illinois" "4" "?" "" 0 0 1905 "Illinois St."
"W" "00-00-1905" "18" "Bloomington HS (IL)" "0" "?" "" 0 0 1905 "Illinois St."
"W" "11-18-1905" "24" "Western Illinois" "6" "Bloomington, IL" "" 11 18 1905 "Illinois St."
"L" "00-00-1905" "0" "Millikin (IL)" "12" "?" "" 0 0 1905 "Illinois St."
"W" "00-00-1905" "11" "Illinois Wesleyan" "0" "?" "" 0 0 1905 "Illinois St."
"L" "00-00-1906" "4" "Millikin (IL)" "14" "?" "" 0 0 1906 "Illinois St."
"L" "00-00-1906" "5" "Eastern Illinois" "11" "?" "" 0 0 1906 "Illinois St."
"W" "11-09-1906" "18" "Western Illinois" "0" "Macomb, IL" "" 11 9 1906 "Illinois St."
"W" "11-17-1906" "23" "Bradley (IL)" "0" "Normal, IL" "" 11 17 1906 "Illinois St."
"L" "11-24-1906" "5" "Northern Illinois" "6" "Normal, IL" "" 11 24 1906 "Illinois St."
"T" "00-00-1906" "0" "Illinois Wesleyan" "0" "?" "" 0 0 1906 "Illinois St."
"W" "00-00-1907" "6" "Millikin (IL)" "0" "?" "" 0 0 1907 "Illinois St."
"W" "10-02-1907" "5" "Illinois Wesleyan" "0" "Bloomington, IL" "" 10 2 1907 "Illinois St."
"W" "00-00-1907" "18" "Bloomington HS (IL)" "0" "?" "" 0 0 1907 "Illinois St."
"W" "00-00-1907" "4" "Monmouth (IL)" "0" "?" "" 0 0 1907 "Illinois St."
"W" "10-19-1907" "6" "Knox (IL)" "0" "Galesburg, IL" "" 10 19 1907 "Illinois St."
"W" "10-26-1907" "16" "Northern Illinois" "0" "DeKalb, IL" "" 10 26 1907 "Illinois St."
"T" "11-01-1907" "0" "Bradley (IL)" "0" "Peoria, IL" "" 11 1 1907 "Illinois St."
"W" "11-09-1907" "38" "Western Illinois" "4" "Normal, IL" "" 11 9 1907 "Illinois St."
"T" "00-00-1907" "6" "Eastern Illinois" "6" "?" "" 0 0 1907 "Illinois St."
"W" "11-28-1907" "5" "Illinois Wesleyan" "0" "Bloomington, IL" "" 11 28 1907 "Illinois St."
"L" "10-03-1908" "2" "Millikin (IL)" "8" "Decatur, IL" "" 10 3 1908 "Illinois St."
"W" "00-00-1908" "5" "Illinois Wesleyan" "0" "?" "" 0 0 1908 "Illinois St."
"W" "10-17-1908" "30" "Eastern Illinois" "0" "Bloomington, IL" "" 10 17 1908 "Illinois St."
"L" "10-24-1908" "5" "Monmouth (IL)" "11" "?" "" 10 24 1908 "Illinois St."
"W" "10-31-1908" "24" "Bradley (IL)" "10" "Normal, IL" "" 10 31 1908 "Illinois St."
"W" "00-00-1908" "30" "Lombard (IL)" "6" "?" "" 0 0 1908 "Illinois St."
"L" "00-00-1908" "0" "DePaul (IL)" "6" "?" "" 0 0 1908 "Illinois St."
