"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1896" "0" "Terre Haute HS (IN)" "6" "?" "Terre Haute HS won - score unknown" 0 0 1896 "Indiana St."
"L" "00-00-1898" "0" "DePauw (IN)" "57" "Greencastle, IN" "" 0 0 1898 "Indiana St."
"L" "00-00-1898" "5" "Rose-Hulman Tech (IN)" "6" "Terre Haute, IN" "" 0 0 1898 "Indiana St."
"W" "00-00-1898" "22" "Sullivan HS (IN)" "0" "Sullivan, IN" "" 0 0 1898 "Indiana St."
"T" "00-00-1901" "0" "Terre Haute HS (IN)" "0" "Terre Haute, IN" "" 0 0 1901 "Indiana St."
"L" "00-00-1901" "6" "Terre Haute HS (IN)" "11" "Terre Haute, IN" "" 0 0 1901 "Indiana St."
"W" "00-00-1901" "11" "Rose-Hulman Tech (IN)" "0" "Terre Haute, IN" "" 0 0 1901 "Indiana St."
"L" "10-26-1901" "0" "Eastern Illinois" "10" "Charleston, IL" "" 10 26 1901 "Indiana St."
"W" "00-00-1901" "22" "Brazil HS (IN)" "0" "Terre Haute, IN" "" 0 0 1901 "Indiana St."
"L" "00-00-1901" "0" "Vincennes (IN)" "5" "Terre Haute, IN" "" 0 0 1901 "Indiana St."
"L" "11-23-1901" "0" "Eastern Illinois" "27" "Terre Haute, IN" "" 11 23 1901 "Indiana St."
"L" "00-00-1902" "5" "Terre Haute HS (IN)" "12" "Terre Haute, IN" "" 0 0 1902 "Indiana St."
"L" "00-00-1902" "0" "Indianapolis Manual Training HS (IN)" "29" "Terre Haute, IN" "" 0 0 1902 "Indiana St."
"L" "00-00-1902" "0" "Eastern Illinois" "21" "Terre Haute, IN" "" 0 0 1902 "Indiana St."
"W" "00-00-1902" "6" "Terre Haute HS (IN)" "0" "Terre Haute, IN" "" 0 0 1902 "Indiana St."
"W" "00-00-1902" "10" "Eastern Illinois" "0" "Charleston, IL" "" 0 0 1902 "Indiana St."
"W" "00-00-1902" "23" "Central Normal (IN)" "2" "Terre Haute, IN" "" 0 0 1902 "Indiana St."
"L" "00-00-1902" "0" "Terre Haute HS (IN)" "6" "Terre Haute, IN" "" 0 0 1902 "Indiana St."
"L" "10-08-1904" "0" "DePauw (IN)" "16" "Greencastle, IN" "" 10 8 1904 "Indiana St."
"L" "10-17-1904" "0" "Butler (IN)" "47" "Indianapolis, IN" "" 10 17 1904 "Indiana St."
"L" "10-29-1904" "0" "Butler (IN)" "17" "Terre Haute, IN" "" 10 29 1904 "Indiana St."
"L" "00-00-1904" "0" "Rose-Hulman Tech (IN)" "12" "Terre Haute, IN" "" 0 0 1904 "Indiana St."
"L" "00-00-1904" "6" "Eastern Illinois" "12" "Charleston, IL" "" 0 0 1904 "Indiana St."
"T" "11-19-1904" "5" "Eastern Illinois" "5" "Terre Haute, IN" "" 11 19 1904 "Indiana St."
"L" "00-00-1905" "0" "Butler (IN)" "101" "Terre Haute, IN" "" 0 0 1905 "Indiana St."
"L" "09-30-1905" "0" "DePauw (IN)" "33" "Greencastle, IN" "" 9 30 1905 "Indiana St."
"L" "00-00-1906" "0" "Eastern Illinois" "11" "Terre Haute, IN" "" 0 0 1906 "Indiana St."
"L" "00-00-1906" "0" "Eastern Illinois" "23" "Charleston, IL" "" 0 0 1906 "Indiana St."
"T" "00-00-1907" "0" "Butler (IN)" "0" "Indianapolis, IN" "" 0 0 1907 "Indiana St."
"L" "00-00-1907" "5" "Eastern Illinois" "32" "Terre Haute, IN" "" 0 0 1907 "Indiana St."
"L" "10-26-1907" "0" "DePauw (IN)" "28" "Greencastle, IN" "" 10 26 1907 "Indiana St."
"T" "00-00-1909" "5" "Rockville HS (IN)" "5" "Rockville, IN" "" 0 0 1909 "Indiana St."
"W" "00-00-1910" "7" "Kiski Academy (PA)" "0" "?" "" 0 0 1910 "Indiana St."
"W" "00-00-1920" "40" "Union Christian College (IN)" "0" "Merom, IN" "" 0 0 1920 "Indiana St."
"W" "00-00-1920" "60" "Union Christian College (IN)" "6" "Terre Haute, IN" "" 0 0 1920 "Indiana St."
"L" "00-00-1920" "7" "Rose-Hulman Tech (IN)" "28" "Terre Haute, IN" "" 0 0 1920 "Indiana St."
"L" "00-00-1920" "6" "Millikin (IL)" "158" "Terre Haute, IN" "" 0 0 1920 "Indiana St."
"W" "00-00-1920" "21" "Hanover (IN)" "7" "Terre Haute, IN" "" 0 0 1920 "Indiana St."
"L" "00-00-1921" "0" "Rose-Hulman Tech (IN)" "19" "?" "" 0 0 1921 "Indiana St."
"W" "00-00-1922" "25" "Rose-Hulman Tech (IN)" "6" "?" "" 0 0 1922 "Indiana St."
"W" "00-00-1923" "15" "Central Normal (IN)" "9" "Danville, IN" "" 0 0 1923 "Indiana St."
