"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1911" "0" "Alabama St." "17" "?" "" 0 0 1911 "Jackson St. (MS)"
"L" "00-00-1912" "0" "Tuskegee (AL)" "14" "?" "" 0 0 1912 "Jackson St. (MS)"
"L" "12-02-1912" "0" "Alabama St." "26" "Jackson, MS" "" 12 2 1912 "Jackson St. (MS)"
"W" "11-08-1913" "6" "Rust (MS)" "0" "Jackson, MS" "" 11 8 1913 "Jackson St. (MS)"
"W" "00-00-1920" "13" "Tougaloo (MS)" "0" "?" "" 0 0 1920 "Jackson St. (MS)"
"W" "00-00-1920" "63" "Utica" "0" "?" "" 0 0 1920 "Jackson St. (MS)"
"W" "00-00-1920" "21" "Mississippi Industrial Training School" "14" "?" "" 0 0 1920 "Jackson St. (MS)"
"L" "00-00-1923" "0" "Marion Military Institute (AL)" "56" "?" "" 0 0 1923 "Jackson St. (MS)"
"L" "00-00-1925" "0" "Rust (MS)" "19" "?" "" 0 0 1925 "Jackson St. (MS)"
"L" "00-00-1926" "0" "Rust (MS)" "14" "?" "" 0 0 1926 "Jackson St. (MS)"
"L" "00-00-1928" "0" "Alcorn St. (MS)" "21" "?" "" 0 0 1928 "Jackson St. (MS)"
"L" "00-00-1929" "0" "Southern (LA)" "98" "?" "" 0 0 1929 "Jackson St. (MS)"
"L" "00-00-1929" "7" "Tougaloo (MS)" "22" "?" "" 0 0 1929 "Jackson St. (MS)"
"L" "00-00-1929" "12" "Alcorn St. (MS)" "17" "?" "" 0 0 1929 "Jackson St. (MS)"
"L" "00-00-1930" "0" "Arkansas-Pine Bluff" "53" "?" "" 0 0 1930 "Jackson St. (MS)"
"L" "00-00-1930" "0" "Straight (LA)" "6" "?" "" 0 0 1930 "Jackson St. (MS)"
"L" "11-01-1930" "7" "Lane (TN)" "18" "Jackson, MS" "" 11 1 1930 "Jackson St. (MS)"
"L" "00-00-1930" "13" "New Orleans (LA)" "37" "?" "" 0 0 1930 "Jackson St. (MS)"
"W" "11-27-1930" "19" "Tougaloo (MS)" "0" "Tougaloo, MS" "" 11 27 1930 "Jackson St. (MS)"
"L" "00-00-1931" "0" "Lane (TN)" "26" "?" "" 0 0 1931 "Jackson St. (MS)"
"W" "00-00-1931" "19" "Alcorn St. (MS)" "6" "Jackson, MS" "" 0 0 1931 "Jackson St. (MS)"
"T" "11-26-1931" "6" "Tougaloo (MS)" "6" "Jackson, MS" "" 11 26 1931 "Jackson St. (MS)"
"L" "00-00-1932" "6" "New Orleans (LA)" "19" "?" "" 0 0 1932 "Jackson St. (MS)"
"L" "00-00-1932" "0" "Alcorn St. (MS)" "52" "?" "" 0 0 1932 "Jackson St. (MS)"
"T" "11-24-1932" "18" "Tougaloo (MS)" "18" "?" "" 11 24 1932 "Jackson St. (MS)"
"L" "11-30-1933" "0" "Tougaloo (MS)" "13" "Jackson, MS" "" 11 30 1933 "Jackson St. (MS)"
"W" "00-00-1934" "6" "Piney Woods College (MS)" "0" "?" "" 0 0 1934 "Jackson St. (MS)"
"L" "10-13-1934" "7" "New Orleans (LA)" "63" "New Orleans, LA" "" 10 13 1934 "Jackson St. (MS)"
"L" "11-29-1934" "0" "Tougaloo (MS)" "13" "Tougaloo, MS" "" 11 29 1934 "Jackson St. (MS)"
"L" "11-28-1935" "0" "Tougaloo (MS)" "26" "Jackson, MS" "" 11 28 1935 "Jackson St. (MS)"
"L" "11-26-1936" "0" "Tougaloo (MS)" "30" "Tougaloo, MS" "" 11 26 1936 "Jackson St. (MS)"
"L" "11-25-1937" "6" "Tougaloo (MS)" "20" "Jackson, MS" "" 11 25 1937 "Jackson St. (MS)"
"L" "10-15-1938" "0" "Rust (MS)" "31" "Holly Springs, MS" "" 10 15 1938 "Jackson St. (MS)"
"L" "10-29-1938" "0" "Alcorn St. (MS)" "29" "Jackson, MS" "" 10 29 1938 "Jackson St. (MS)"
"W" "11-24-1938" "6" "Tougaloo (MS)" "0" "Tougaloo, MS" "" 11 24 1938 "Jackson St. (MS)"
"T" "00-00-1939" "0" "Alcorn St. (MS)" "0" "?" "" 0 0 1939 "Jackson St. (MS)"
"L" "10-21-1939" "0" "Rust (MS)" "18" "Jackson, MS" "" 10 21 1939 "Jackson St. (MS)"
"L" "11-30-1939" "14" "Tougaloo (MS)" "19" "Jackson, MS" "" 11 30 1939 "Jackson St. (MS)"
"W" "00-00-1946" "22" "Rust (MS)" "6" "?" "" 0 0 1946 "Jackson St. (MS)"
"L" "00-00-1946" "2" "Mississippi Industrial Training School" "13" "?" "" 0 0 1946 "Jackson St. (MS)"
"L" "00-00-1946" "0" "Miles (AL)" "6" "?" "" 0 0 1946 "Jackson St. (MS)"
"W" "10-25-1946" "6" "Alcorn St. (MS)" "0" "Jackson, MS" "" 10 25 1946 "Jackson St. (MS)"
"L" "11-02-1946" "7" "Dillard (LA)" "13" "?" "" 11 2 1946 "Jackson St. (MS)"
"W" "11-09-1946" "13" "Philander-Smith (AR)" "6" "Little Rock, AR" "" 11 9 1946 "Jackson St. (MS)"
"W" "00-00-1946" "24" "Campbell College (MS)" "0" "?" "" 0 0 1946 "Jackson St. (MS)"
"T" "00-00-1946" "0" "Tougaloo (MS)" "0" "?" "" 0 0 1946 "Jackson St. (MS)"
"L" "10-04-1947" "14" "Rust (MS)" "16" "Holly Springs, MS" "" 10 4 1947 "Jackson St. (MS)"
"W" "00-00-1947" "19" "Mississippi Industrial Training School" "0" "?" "" 0 0 1947 "Jackson St. (MS)"
