"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "10-15-1904" "0" "Birmingham University HS (AL)" "51" "?" "" 10 15 1904 "Jacksonville St. (AL)"
"W" "10-27-1904" "37" "Birmingham College (AL)" "0" "?" "" 10 27 1904 "Jacksonville St. (AL)"
"L" "10-29-1904" "0" "Marion Military Institute (AL)" "74" "?" "" 10 29 1904 "Jacksonville St. (AL)"
"L" "11-05-1904" "0" "Tennessee-Chattanooga" "5" "Chattanooga, TN" "" 11 5 1904 "Jacksonville St. (AL)"
"L" "11-24-1904" "0" "Birmingham University HS (AL)" "23" "?" "" 11 24 1904 "Jacksonville St. (AL)"
"L" "11-04-1905" "0" "Samford (AL)" "32" "Anniston, AL" "" 11 4 1905 "Jacksonville St. (AL)"
"W" "00-00-1905" "2" "Wetumpka Agriculture School (AL)" "0" "?" "" 0 0 1905 "Jacksonville St. (AL)"
"L" "10-17-1908" "0" "Alabama Presbyterian" "11" "?" "" 10 17 1908 "Jacksonville St. (AL)"
"W" "00-00-1908" "6" "Marion Military Institute (AL)" "0" "?" "" 0 0 1908 "Jacksonville St. (AL)"
"W" "00-00-1908" "6" "Birmingham College (AL)" "0" "?" "" 0 0 1908 "Jacksonville St. (AL)"
"W" "00-00-1908" "7" "Albertville Agriculture School (AL)" "6" "?" "" 0 0 1908 "Jacksonville St. (AL)"
"W" "00-00-1908" "13" "Rome School" "6" "?" "" 0 0 1908 "Jacksonville St. (AL)"
"L" "11-14-1908" "0" "Samford (AL)" "21" "Anniston, AL" "" 11 14 1908 "Jacksonville St. (AL)"
"L" "00-00-1908" "0" "Gadsden Independents (AL)" "7" "?" "" 0 0 1908 "Jacksonville St. (AL)"
"L" "10-09-1909" "0" "Alabama Presbyterian" "16" "?" "" 10 9 1909 "Jacksonville St. (AL)"
"L" "10-15-1909" "0" "Samford (AL)" "33" "Birmingham, AL" "" 10 15 1909 "Jacksonville St. (AL)"
"L" "00-00-1910" "0" "Rome School" "5" "?" "" 0 0 1910 "Jacksonville St. (AL)"
"L" "10-12-1910" "5" "Southern (AL)" "6" "?" "" 10 12 1910 "Jacksonville St. (AL)"
"W" "11-15-1910" "57" "Sylacauga Agriculture School (AL)" "0" "?" "" 11 15 1910 "Jacksonville St. (AL)"
"T" "00-00-1910" "0" "Marion Military Institute (AL)" "0" "?" "" 0 0 1910 "Jacksonville St. (AL)"
"T" "11-24-1910" "0" "Alabama Presbyterian" "0" "Anniston, AL" "" 11 24 1910 "Jacksonville St. (AL)"
"L" "00-00-1910" "0" "Albertville Agriculture School (AL)" "23" "?" "" 0 0 1910 "Jacksonville St. (AL)"
"T" "10-07-1911" "0" "Gadsden Independents (AL)" "0" "?" "" 10 7 1911 "Jacksonville St. (AL)"
"W" "00-00-1911" "5" "Rome School" "0" "?" "" 0 0 1911 "Jacksonville St. (AL)"
"L" "00-00-1911" "0" "Albertville Agriculture School (AL)" "55" "?" "" 0 0 1911 "Jacksonville St. (AL)"
"L" "10-17-1911" "5" "Sylacauga Agriculture School (AL)" "11" "?" "" 10 17 1911 "Jacksonville St. (AL)"
"L" "00-00-1911" "0" "Talladega (AL)" "6" "?" "" 0 0 1911 "Jacksonville St. (AL)"
"W" "00-00-1911" "11" "Gadsden Independents (AL)" "0" "?" "" 0 0 1911 "Jacksonville St. (AL)"
"L" "09-28-1912" "0" "Samford (AL)" "8" "Birmingham, AL" "" 9 28 1912 "Jacksonville St. (AL)"
"W" "00-00-1912" "31" "Etowah County HS (AL)" "0" "?" "" 0 0 1912 "Jacksonville St. (AL)"
"L" "10-14-1912" "6" "Sylacauga Agriculture School (AL)" "9" "?" "" 10 14 1912 "Jacksonville St. (AL)"
"L" "00-00-1912" "0" "Albertville Agriculture School (AL)" "36" "?" "" 0 0 1912 "Jacksonville St. (AL)"
"L" "11-28-1912" "0" "Alabama Presbyterian" "30" "?" "" 11 28 1912 "Jacksonville St. (AL)"
"W" "00-00-1913" "27" "Blountsville Agriculture School (AL)" "13" "?" "" 0 0 1913 "Jacksonville St. (AL)"
"W" "00-00-1913" "66" "Blount County" "0" "?" "" 0 0 1913 "Jacksonville St. (AL)"
"W" "00-00-1913" "5" "Albertville Agriculture School (AL)" "0" "?" "" 0 0 1913 "Jacksonville St. (AL)"
"T" "10-10-1913" "0" "Samford (AL)" "0" "Birmingham, AL" "" 10 10 1913 "Jacksonville St. (AL)"
"L" "00-00-1913" "6" "Auburn JV (AL)" "23" "?" "" 0 0 1913 "Jacksonville St. (AL)"
"W" "00-00-1913" "31" "Etowah County HS (AL)" "0" "?" "" 0 0 1913 "Jacksonville St. (AL)"
"W" "11-22-1913" "27" "Alabama Presbyterian" "13" "?" "" 11 22 1913 "Jacksonville St. (AL)"
"L" "00-00-1913" "0" "Anniston Independents (AL)" "39" "?" "" 0 0 1913 "Jacksonville St. (AL)"
"W" "10-26-1914" "11" "Guntersville (AL)" "6" "?" "" 10 26 1914 "Jacksonville St. (AL)"
"L" "11-18-1914" "0" "Albertville Agriculture School (AL)" "7" "?" "" 11 18 1914 "Jacksonville St. (AL)"
"W" "11-26-1914" "9" "Alabama Presbyterian" "0" "?" "" 11 26 1914 "Jacksonville St. (AL)"
"W" "00-00-1914" "7" "Birmingham College (AL)" "0" "?" "" 0 0 1914 "Jacksonville St. (AL)"
"L" "00-00-1915" "0" "Albertville Agriculture School (AL)" "6" "?" "" 0 0 1915 "Jacksonville St. (AL)"
"W" "10-18-1915" "19" "Sylacauga Agriculture School (AL)" "0" "?" "" 10 18 1915 "Jacksonville St. (AL)"
"W" "10-23-1915" "46" "Piedmont (GA)" "0" "?" "" 10 23 1915 "Jacksonville St. (AL)"
"W" "00-00-1915" "9" "Etowah County HS (AL)" "6" "?" "" 0 0 1915 "Jacksonville St. (AL)"
"W" "11-03-1915" "9" "Guntersville (AL)" "6" "?" "" 11 3 1915 "Jacksonville St. (AL)"
"W" "00-00-1915" "10" "Sylacauga Agriculture School (AL)" "0" "?" "" 0 0 1915 "Jacksonville St. (AL)"
"L" "11-25-1915" "3" "Alabama Presbyterian" "13" "?" "" 11 25 1915 "Jacksonville St. (AL)"
"W" "10-09-1916" "3" "Blount County" "0" "?" "" 10 9 1916 "Jacksonville St. (AL)"
"L" "10-16-1916" "3" "Guntersville (AL)" "6" "?" "" 10 16 1916 "Jacksonville St. (AL)"
"L" "00-00-1916" "6" "Marshall County HS (AL)" "12" "?" "" 0 0 1916 "Jacksonville St. (AL)"
"W" "00-00-1916" "3" "Oneonta (AL)" "0" "?" "" 0 0 1916 "Jacksonville St. (AL)"
"L" "00-00-1916" "0" "Birmingham College (AL)" "57" "?" "" 0 0 1916 "Jacksonville St. (AL)"
"L" "11-17-1916" "0" "Samford (AL)" "27" "Birmingham, AL" "" 11 17 1916 "Jacksonville St. (AL)"
"T" "11-30-1916" "0" "Alabama Presbyterian" "0" "?" "" 11 30 1916 "Jacksonville St. (AL)"
"W" "00-00-1917" "27" "Fort McClelland (AL)" "0" "?" "" 0 0 1917 "Jacksonville St. (AL)"
"W" "00-00-1917" "34" "Albertville Agriculture School (AL)" "0" "?" "" 0 0 1917 "Jacksonville St. (AL)"
"W" "00-00-1917" "59" "Lineville HS (AL)" "0" "?" "" 0 0 1917 "Jacksonville St. (AL)"
"W" "00-00-1917" "6" "Alabama Presbyterian" "2" "?" "" 0 0 1917 "Jacksonville St. (AL)"
