"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1923" "25" "South Park HS" "0" "Beaumont, TX" "Magnolia Park" 0 0 1923 "Lamar (TX)"
"W" "00-00-1923" "10" "Stephen F. Austin (TX)" "0" "?" "" 0 0 1923 "Lamar (TX)"
"T" "00-00-1923" "0" "Port Arthur HS (TX)" "0" "?" "" 0 0 1923 "Lamar (TX)"
"L" "10-27-1923" "16" "Louisiana-Lafayette" "19" "Beaumont, TX" "" 10 27 1923 "Lamar (TX)"
"L" "00-00-1923" "0" "Texas A&M Freshmen" "25" "?" "" 0 0 1923 "Lamar (TX)"
"L" "00-00-1923" "0" "Louisiana St. Freshmen" "13" "?" "" 0 0 1923 "Lamar (TX)"
"L" "00-00-1923" "13" "Louisiana College" "20" "?" "" 0 0 1923 "Lamar (TX)"
"W" "00-00-1924" "28" "Orange HS (TX)" "0" "?" "" 0 0 1924 "Lamar (TX)"
"W" "00-00-1924" "14" "Sour Lake HS (TX)" "0" "?" "" 0 0 1924 "Lamar (TX)"
"W" "00-00-1924" "47" "DeQuincy HS (LA)" "0" "?" "" 0 0 1924 "Lamar (TX)"
"W" "00-00-1924" "23" "Rusk Baptist College (TX)" "0" "?" "" 0 0 1924 "Lamar (TX)"
"W" "00-00-1924" "19" "Stephen F. Austin (TX)" "7" "?" "" 0 0 1924 "Lamar (TX)"
"L" "00-00-1924" "7" "Texas Freshmen" "9" "?" "" 0 0 1924 "Lamar (TX)"
"L" "11-08-1924" "8" "Louisiana-Lafayette" "20" "Lafayette, LA" "" 11 8 1924 "Lamar (TX)"
"L" "00-00-1924" "6" "Rice Freshmen (TX)" "7" "?" "" 0 0 1924 "Lamar (TX)"
"W" "00-00-1924" "13" "Louisiana College" "7" "?" "" 0 0 1924 "Lamar (TX)"
"W" "00-00-1924" "24" "Port Arthur Independents (TX)" "0" "?" "" 0 0 1924 "Lamar (TX)"
"L" "10-10-1925" "0" "Louisiana-Lafayette" "14" "Lafayette, LA" "" 10 10 1925 "Lamar (TX)"
"W" "00-00-1925" "6" "Beaumont HS (TX)" "0" "?" "" 0 0 1925 "Lamar (TX)"
"L" "10-23-1925" "0" "Northwestern St. (LA)" "14" "Natchitoches, LA" "" 10 23 1925 "Lamar (TX)"
"L" "00-00-1925" "0" "Texas A&M Freshmen" "12" "?" "" 0 0 1925 "Lamar (TX)"
"T" "00-00-1925" "2" "Rice Freshmen (TX)" "2" "?" "" 0 0 1925 "Lamar (TX)"
"L" "00-00-1925" "0" "Texas Freshmen" "7" "?" "" 0 0 1925 "Lamar (TX)"
"L" "00-00-1925" "10" "Beaumont HS (TX)" "19" "?" "" 0 0 1925 "Lamar (TX)"
"T" "00-00-1925" "0" "Stephen F. Austin (TX)" "0" "?" "" 0 0 1925 "Lamar (TX)"
"W" "00-00-1926" "24" "Victoria JC (TX)" "0" "?" "" 0 0 1926 "Lamar (TX)"
"L" "00-00-1926" "7" "Centenary Freshmen (LA)" "13" "?" "" 0 0 1926 "Lamar (TX)"
"W" "00-00-1926" "9" "Sam Houston St. Freshmen (TX)" "0" "?" "" 0 0 1926 "Lamar (TX)"
"L" "10-23-1926" "0" "Louisiana-Lafayette" "19" "Lafayette, LA" "" 10 23 1926 "Lamar (TX)"
"L" "00-00-1926" "0" "Rice Freshmen (TX)" "29" "?" "" 0 0 1926 "Lamar (TX)"
