"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "10-29-1892" "0" "Colby (ME)" "12" "Waterville, ME" "" 10 29 1892 "Maine"
"L" "11-09-1892" "3" "Bangor HS (ME)" "33" "Orono, ME" "" 11 9 1892 "Maine"
"L" "10-31-1893" "4" "Bangor HS (ME)" "10" "Maplewood, ME" "" 10 31 1893 "Maine"
"L" "11-04-1893" "0" "Bates (ME)" "18" "Orono, ME" "Orono Driving Park" 11 4 1893 "Maine"
"L" "11-08-1893" "6" "Bates (ME)" "52" "Lewiston, ME" "" 11 8 1893 "Maine"
"L" "00-00-1893" "10" "Bowdoin (ME)" "12" "?" "" 0 0 1893 "Maine"
"L" "11-15-1893" "4" "Colby (ME)" "30" "Orono, ME" "" 11 15 1893 "Maine"
"L" "10-20-1894" "0" "Bangor HS (ME)" "6" "Bangor, ME" "Maplewood Park" 10 20 1894 "Maine"
"W" "00-00-1895" "22" "Foxcroft Academy (ME)" "0" "?" "" 0 0 1895 "Maine"
"L" "10-12-1895" "6" "Colby (ME)" "18" "Orono, ME" "" 10 12 1895 "Maine"
"L" "10-19-1895" "0" "Colby (ME)" "56" "Waterville, ME" "" 10 19 1895 "Maine"
"L" "10-26-1895" "0" "Bates (ME)" "20" "Orono, ME" "" 10 26 1895 "Maine"
"L" "11-05-1895" "0" "Bates (ME)" "18" "Lewiston, ME" "Lee Park" 11 5 1895 "Maine"
"L" "10-10-1896" "0" "Colby (ME)" "10" "Orono, ME" "" 10 10 1896 "Maine"
"T" "10-17-1896" "4" "Bates (ME)" "4" "Orono, ME" "" 10 17 1896 "Maine"
"W" "10-24-1896" "24" "Bates (ME)" "0" "Bangor, ME" "" 10 24 1896 "Maine"
"L" "10-31-1896" "0" "Colby (ME)" "4" "Waterville, ME" "" 10 31 1896 "Maine"
"L" "11-14-1896" "6" "Bowdoin (ME)" "12" "Brunswick, ME" "" 11 14 1896 "Maine"
"T" "00-00-1896" "0" "Bangor HS (ME)" "0" "?" "" 0 0 1896 "Maine"
"L" "10-09-1897" "6" "Bates (ME)" "8" "Orono, ME" "" 10 9 1897 "Maine"
"L" "10-16-1897" "4" "Bates (ME)" "5" "Lewiston, ME" "" 10 16 1897 "Maine"
"W" "10-23-1897" "14" "MIT (MA)" "0" "Bangor, ME" "" 10 23 1897 "Maine"
"L" "09-24-1898" "0" "Bowdoin (ME)" "28" "Brunswick, ME" "" 9 24 1898 "Maine"
"W" "00-00-1898" "60" "Dover-Foxcroft AA (ME)" "0" "?" "" 0 0 1898 "Maine"
"L" "10-08-1898" "0" "Bates (ME)" "36" "Orono, ME" "" 10 8 1898 "Maine"
"L" "10-15-1898" "0" "Bates (ME)" "34" "Lewiston, ME" "" 10 15 1898 "Maine"
"L" "00-00-1898" "5" "Colby (ME)" "6" "?" "" 0 0 1898 "Maine"
"L" "09-30-1899" "0" "Bowdoin (ME)" "14" "Brunswick, ME" "" 9 30 1899 "Maine"
"W" "00-00-1899" "26" "Colby (ME)" "0" "?" "" 0 0 1899 "Maine"
"L" "10-28-1899" "0" "Bates (ME)" "16" "Orono, ME" "" 10 28 1899 "Maine"
"L" "11-04-1899" "0" "Bates (ME)" "27" "Lewiston, ME" "" 11 4 1899 "Maine"
"W" "11-11-1899" "5" "Colby (ME)" "0" "Bangor, ME" "" 11 11 1899 "Maine"
"W" "00-00-1900" "22" "Auburn Edward Little HS (ME)" "0" "?" "" 0 0 1900 "Maine"
"W" "00-00-1900" "16" "Fort Preble (ME)" "0" "?" "" 0 0 1900 "Maine"
"L" "00-00-1900" "0" "Colby (ME)" "5" "?" "" 0 0 1900 "Maine"
"W" "00-00-1900" "29" "Fort Preble (ME)" "0" "?" "" 0 0 1900 "Maine"
"L" "10-20-1900" "0" "Bates (ME)" "26" "Lewiston, ME" "" 10 20 1900 "Maine"
"W" "00-00-1900" "18" "Colby (ME)" "0" "?" "" 0 0 1900 "Maine"
"L" "11-03-1900" "0" "Bates (ME)" "8" "Orono, ME" "" 11 3 1900 "Maine"
"L" "11-10-1900" "0" "Bowdoin (ME)" "38" "Bangor, ME" "" 11 10 1900 "Maine"
"W" "00-00-1901" "5" "Bar Harbor HS (ME)" "0" "?" "" 0 0 1901 "Maine"
"W" "00-00-1901" "5" "Bar Harbor HS (ME)" "0" "?" "Duplicate Game?" 0 0 1901 "Maine"
"W" "00-00-1901" "12" "Colby (ME)" "0" "?" "" 0 0 1901 "Maine"
"W" "10-15-1901" "6" "Bates (ME)" "0" "Lewiston, ME" "" 10 15 1901 "Maine"
"W" "10-19-1901" "17" "Bates (ME)" "0" "Lewiston, ME" "" 10 19 1901 "Maine"
"L" "10-23-1901" "5" "Tufts (MA)" "18" "Medford, MA" "" 10 23 1901 "Maine"
"W" "00-00-1901" "29" "Colby (ME)" "0" "?" "" 0 0 1901 "Maine"
"W" "11-23-1901" "22" "Bowdoin (ME)" "5" "Orono, ME" "" 11 23 1901 "Maine"
"W" "09-20-1902" "18" "Bar Harbor HS (ME)" "0" "Bar Harbor, ME" "" 9 20 1902 "Maine"
"W" "09-24-1902" "30" "Eastern Maine Conference Seminary (ME)" "0" "Orono, ME" "" 9 24 1902 "Maine"
"L" "10-11-1902" "0" "Harvard (MA)" "22" "Cambridge, MA" "" 10 11 1902 "Maine"
"W" "10-18-1902" "12" "Tufts (MA)" "0" "Bangor, ME" "" 10 18 1902 "Maine"
"L" "11-01-1902" "0" "Bates (ME)" "6" "Lewiston, ME" "" 11 1 1902 "Maine"
"W" "11-08-1902" "6" "Colby (ME)" "0" "Orono, ME" "" 11 8 1902 "Maine"
"W" "11-08-1902" "17" "Colby (ME)" "5" "Orono, ME" "" 11 8 1902 "Maine"
"W" "11-15-1902" "11" "Bowdoin (ME)" "0" "Bangor, ME" "" 11 15 1902 "Maine"
"W" "09-26-1903" "10" "New Hampshire" "0" "Orono, ME" "" 9 26 1903 "Maine"
"L" "10-03-1903" "0" "Harvard (MA)" "6" "Cambridge, MA" "" 10 3 1903 "Maine"
"W" "10-17-1903" "6" "Colby (ME)" "5" "Orono, ME" "" 10 17 1903 "Maine"
"W" "10-24-1903" "27" "New Hampshire" "0" "Dover, NH" "" 10 24 1903 "Maine"
"W" "10-31-1903" "16" "Bowdoin (ME)" "0" "Brunswick, ME" "" 10 31 1903 "Maine"
"W" "11-09-1903" "16" "Bates (ME)" "0" "Orono, ME" "" 11 9 1903 "Maine"
"L" "11-14-1903" "0" "Holy Cross (MA)" "5" "Bangor, ME" "" 11 14 1903 "Maine"
"L" "11-20-1903" "6" "Tufts (MA)" "11" "Medford, MA" "" 11 20 1903 "Maine"
"W" "00-00-1904" "23" "Maine Central Institute" "0" "?" "" 0 0 1904 "Maine"
"W" "10-01-1904" "6" "Brown (RI)" "0" "Providence, RI" "" 10 1 1904 "Maine"
"L" "10-08-1904" "0" "Harvard (MA)" "23" "Cambridge, MA" "" 10 8 1904 "Maine"
"W" "10-15-1904" "6" "New Hampshire" "0" "Orono, ME" "" 10 15 1904 "Maine"
"L" "10-22-1904" "0" "Bates (ME)" "6" "Lewiston, ME" "" 10 22 1904 "Maine"
"L" "10-29-1904" "11" "Colby (ME)" "12" "Orono, ME" "" 10 29 1904 "Maine"
"L" "11-05-1904" "5" "Bowdoin (ME)" "22" "Orono, ME" "" 11 5 1904 "Maine"
"W" "11-12-1904" "28" "Tufts (MA)" "0" "Bangor, ME" "" 11 12 1904 "Maine"
"W" "00-00-1904" "6" "Tufts (MA)" "0" "Medford, MA" "" 0 0 1904 "Maine"
"W" "09-30-1905" "22" "Kents Hill School (ME)" "0" "Orono, ME" "" 9 30 1905 "Maine"
"L" "10-07-1905" "0" "Harvard (MA)" "22" "Cambridge, MA" "" 10 7 1905 "Maine"
"L" "10-14-1905" "0" "Brown (RI)" "34" "Providence, RI" "" 10 14 1905 "Maine"
"W" "10-21-1905" "16" "Colby (ME)" "0" "Orono, ME" "" 10 21 1905 "Maine"
"W" "10-28-1905" "12" "New Hampshire" "0" "Orono, ME" "" 10 28 1905 "Maine"
"T" "11-04-1905" "0" "Bates (ME)" "0" "Orono, ME" "" 11 4 1905 "Maine"
"L" "11-11-1905" "0" "Tufts (MA)" "12" "Medford, MA" "" 11 11 1905 "Maine"
"W" "11-18-1905" "18" "Bowdoin (ME)" "0" "Brunswick, ME" "" 11 18 1905 "Maine"
"W" "09-22-1906" "7" "New Hampshire" "0" "Orono, ME" "" 9 22 1906 "Maine"
"L" "10-06-1906" "0" "Harvard (MA)" "17" "Cambridge, MA" "" 10 6 1906 "Maine"
"L" "10-13-1906" "0" "Dartmouth (NH)" "4" "Hanover, NH" "" 10 13 1906 "Maine"
"T" "10-20-1906" "0" "Holy Cross (MA)" "0" "Portland, ME" "" 10 20 1906 "Maine"
"L" "10-27-1906" "0" "Tufts (MA)" "6" "Orono, ME" "" 10 27 1906 "Maine"
"W" "11-03-1906" "8" "Colby (ME)" "0" "Waterville, ME" "" 11 3 1906 "Maine"
"T" "11-10-1906" "0" "Bates (ME)" "0" "Lewiston, ME" "" 11 10 1906 "Maine"
"L" "11-17-1906" "0" "Bowdoin (ME)" "6" "Orono, ME" "" 11 17 1906 "Maine"
"T" "00-00-1907" "0" "Hebron Academy (ME)" "0" "?" "" 0 0 1907 "Maine"
"L" "10-05-1907" "0" "Harvard (MA)" "30" "Cambridge, MA" "" 10 5 1907 "Maine"
"L" "10-12-1907" "0" "Brown (RI)" "40" "Providence, RI" "" 10 12 1907 "Maine"
"L" "10-19-1907" "0" "Dartmouth (NH)" "27" "Portland, ME" "" 10 19 1907 "Maine"
"W" "10-26-1907" "4" "Tufts (MA)" "0" "Medford, MA" "" 10 26 1907 "Maine"
"T" "11-02-1907" "6" "Bates (ME)" "6" "Orono, ME" "" 11 2 1907 "Maine"
"W" "11-09-1907" "8" "Colby (ME)" "0" "Orono, ME" "" 11 9 1907 "Maine"
"L" "11-16-1907" "5" "Bowdoin (ME)" "34" "Brunswick, ME" "" 11 16 1907 "Maine"
"W" "09-26-1908" "37" "Ricker Classical Institute (ME)" "0" "Orono, ME" "" 9 26 1908 "Maine"
"L" "10-03-1908" "0" "Harvard (MA)" "16" "Cambridge, MA" "" 10 3 1908 "Maine"
"W" "10-10-1908" "36" "Fort McKinley (ME)" "0" "Orono, ME" "" 10 10 1908 "Maine"
"W" "10-17-1908" "6" "New Hampshire" "4" "Orono, ME" "" 10 17 1908 "Maine"
"L" "10-24-1908" "5" "Tufts (MA)" "23" "Orono, ME" "" 10 24 1908 "Maine"
"W" "10-31-1908" "6" "Bates (ME)" "0" "Lewiston, ME" "" 10 31 1908 "Maine"
"L" "11-07-1908" "5" "Colby (ME)" "16" "Waterville, ME" "" 11 7 1908 "Maine"
"L" "11-14-1908" "0" "Bowdoin (ME)" "10" "Orono, ME" "" 11 14 1908 "Maine"
"T" "09-25-1909" "0" "Massachusetts" "0" "Orono, ME" "" 9 25 1909 "Maine"
"W" "10-02-1909" "16" "Fort McKinley (ME)" "0" "Orono, ME" "" 10 2 1909 "Maine"
"W" "10-09-1909" "16" "New Hampshire" "0" "Orono, ME" "" 10 9 1909 "Maine"
"L" "10-16-1909" "0" "Harvard (MA)" "17" "Cambridge, MA" "" 10 16 1909 "Maine"
"L" "10-23-1909" "0" "Tufts (MA)" "9" "Medford, MA" "" 10 23 1909 "Maine"
"W" "10-30-1909" "15" "Bates (ME)" "6" "Orono, ME" "" 10 30 1909 "Maine"
"L" "11-06-1909" "6" "Colby (ME)" "17" "Orono, ME" "" 11 6 1909 "Maine"
"L" "11-13-1909" "0" "Bowdoin (ME)" "22" "Orono, ME" "" 11 13 1909 "Maine"
"W" "09-24-1910" "6" "Bangor HS (ME)" "0" "Orono, ME" "" 9 24 1910 "Maine"
"W" "10-01-1910" "16" "Fort McKinley (ME)" "0" "Orono, ME" "" 10 1 1910 "Maine"
"T" "10-08-1910" "0" "Vermont" "0" "Orono, ME" "" 10 8 1910 "Maine"
"W" "10-15-1910" "14" "Tufts (MA)" "6" "Orono, ME" "" 10 15 1910 "Maine"
"W" "10-22-1910" "29" "Massachusetts" "2" "Orono, ME" "" 10 22 1910 "Maine"
"L" "10-29-1910" "0" "Bates (ME)" "10" "Lewiston, ME" "" 10 29 1910 "Maine"
"W" "11-05-1910" "6" "Colby (ME)" "0" "Waterville, ME" "" 11 5 1910 "Maine"
"T" "11-12-1910" "0" "Bowdoin (ME)" "0" "Orono, ME" "" 11 12 1910 "Maine"
"W" "09-23-1911" "19" "Fort McKinley (ME)" "0" "Orono, ME" "" 9 23 1911 "Maine"
"L" "09-30-1911" "0" "Rhode Island" "3" "Orono, ME" "" 9 30 1911 "Maine"
"W" "10-07-1911" "12" "New Hampshire" "0" "Orono, ME" "" 10 7 1911 "Maine"
"W" "10-14-1911" "6" "Tufts (MA)" "0" "Medford, MA" "" 10 14 1911 "Maine"
"W" "10-21-1911" "17" "Vermont" "0" "Orono, ME" "" 10 21 1911 "Maine"
"L" "10-28-1911" "0" "Bates (ME)" "5" "Orono, ME" "" 10 28 1911 "Maine"
"W" "11-04-1911" "20" "Colby (ME)" "0" "Orono, ME" "" 11 4 1911 "Maine"
"W" "11-11-1911" "15" "Bowdoin (ME)" "0" "Brunswick, ME" "" 11 11 1911 "Maine"
