"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "11-22-1879" "4" "Amherst Freshmen (MA)" "0" "Amherst, MA" "Massachusetts 1t - Amherst 0" 11 22 1879 "Massachusetts"
"L" "11-10-1880" "1" "Williston Seminary (MA)" "2" "Amherst, MA" "Williston Academy 2g - Massachusetts 1g,1t" 11 10 1880 "Massachusetts"
"T" "11-13-1880" "0" "Amherst Freshmen (MA)" "0" "Amherst, MA" "Massachusetts 5s - Amherst Freshmen 3s" 11 13 1880 "Massachusetts"
"W" "10-15-1881" "5" "Williston Seminary (MA)" "4" "Amherst, MA" "Massachusetts 5g - Willison Academy 4g" 10 15 1881 "Massachusetts"
"L" "10-19-1881" "0" "Williston Seminary (MA)" "1" "Easthampton, MA" "Willison Academy 1g - Massachusetts 1t" 10 19 1881 "Massachusetts"
"T" "10-22-1881" "0" "Amherst (MA)" "0" "Amherst, MA" "Amherst 0 - Massachusetts 0" 10 22 1881 "Massachusetts"
"W" "10-31-1881" "1" "Wesleyan (CT)" "0" "Middletown, CT" "Massachusetts 1g - Wesleyan 0" 10 31 1881 "Massachusetts"
"L" "11-12-1881" "0" "MIT (MA)" "1" "Amherst, MA" "MIT 1g,1t - Massachusetts 0" 11 12 1881 "Massachusetts"
"L" "11-02-1882" "1" "Amherst (MA)" "3" "Amherst, MA" "Amherst 3g,3t - Massachusetts 1g,1t,2s" 11 2 1882 "Massachusetts"
"L" "11-04-1882" "0" "Wesleyan (CT)" "7" "Amherst, MA" "Wesleyan 7g,2t - Massachusetts 3s" 11 4 1882 "Massachusetts"
"L" "11-08-1883" "0" "Williston Seminary (MA)" "13" "Easthampton, MA" "" 11 8 1883 "Massachusetts"
"W" "11-21-1883" "9" "Amherst Sophomores (MA)" "8" "Amherst, MA" "" 11 21 1883 "Massachusetts"
"W" "10-11-1884" "8" "Wesleyan Academy (MA)" "0" "Wilbraham, MA" "" 10 11 1884 "Massachusetts"
"L" "10-18-1884" "0" "Williston Seminary (MA)" "1" "Easthampton, MA" "Williston Academy won - score unknown" 10 18 1884 "Massachusetts"
"L" "10-29-1884" "0" "Amherst (MA)" "13" "Amherst, MA" "" 10 29 1884 "Massachusetts"
"W" "10-03-1885" "4" "Amherst (MA)" "0" "Amherst, MA" "" 10 3 1885 "Massachusetts"
"T" "10-05-1885" "0" "Amherst (MA)" "0" "Amherst, MA" "" 10 5 1885 "Massachusetts"
"W" "10-07-1885" "12" "Amherst (MA)" "0" "Amherst, MA" "" 10 7 1885 "Massachusetts"
"L" "10-24-1885" "0" "Wesleyan (CT)" "80" "Middletown, CT" "" 10 24 1885 "Massachusetts"
"W" "10-31-1885" "42" "Williston Seminary (MA)" "12" "Easthampton, MA" "" 10 31 1885 "Massachusetts"
"L" "11-04-1885" "0" "Amherst (MA)" "8" "Amherst, MA" "" 11 4 1885 "Massachusetts"
"L" "10-13-1886" "5" "Amherst (MA)" "15" "Amherst, MA" "" 10 13 1886 "Massachusetts"
"W" "10-20-1886" "7" "Williston Seminary (MA)" "6" "Easthampton, MA" "" 10 20 1886 "Massachusetts"
"W" "11-08-1886" "6" "Tufts (MA)" "5" "Medford, MA" "" 11 8 1886 "Massachusetts"
"W" "10-08-1887" "17" "Williston Seminary (MA)" "10" "Amherst, MA" "" 10 8 1887 "Massachusetts"
"L" "10-15-1887" "4" "Trinity (CT)" "32" "Hartford, CT" "" 10 15 1887 "Massachusetts"
"L" "10-25-1887" "0" "Amherst (MA)" "10" "Amherst, MA" "" 10 25 1887 "Massachusetts"
"W" "10-26-1887" "26" "Williston Seminary (MA)" "0" "Easthampton, MA" "" 10 26 1887 "Massachusetts"
"L" "11-05-1887" "0" "Worcester Tech (MA)" "10" "Worcester, MA" "" 11 5 1887 "Massachusetts"
"L" "10-06-1888" "0" "Trinity (CT)" "28" "Amherst, MA" "" 10 6 1888 "Massachusetts"
"W" "10-13-1888" "27" "Williston Seminary (MA)" "0" "Amherst, MA" "" 10 13 1888 "Massachusetts"
"W" "10-17-1888" "17" "Williston Seminary (MA)" "9" "Amherst, MA" "" 10 17 1888 "Massachusetts"
"L" "10-17-1888" "0" "Yale Freshmen (CT)" "32" "Amherst, MA" "" 10 17 1888 "Massachusetts"
"L" "10-18-1888" "0" "Amherst (MA)" "58" "Amherst, MA" "" 10 18 1888 "Massachusetts"
"L" "10-30-1888" "4" "Amherst (MA)" "45" "Amherst, MA" "" 10 30 1888 "Massachusetts"
"L" "11-03-1888" "0" "Worcester Tech (MA)" "49" "Worcester, MA" "" 11 3 1888 "Massachusetts"
"W" "11-22-1889" "12" "Williston Seminary (MA)" "8" "Amherst, MA" "" 11 22 1889 "Massachusetts"
"W" "11-22-1889" "18" "Williston Seminary (MA)" "6" "Easthampton, MA" "" 11 22 1889 "Massachusetts"
"L" "09-29-1890" "0" "Trinity (CT)" "30" "Amherst, MA" "" 9 29 1890 "Massachusetts"
"L" "10-09-1890" "0" "Amherst (MA)" "52" "Amherst, MA" "" 10 9 1890 "Massachusetts"
"L" "10-18-1890" "10" "Springfield (MA)" "14" "Amherst, MA" "" 10 18 1890 "Massachusetts"
"L" "10-25-1890" "12" "Vermont" "16" "Burlington, VT" "" 10 25 1890 "Massachusetts"
"W" "11-01-1890" "18" "Springfield (MA)" "12" "Springfield, MA" "" 11 1 1890 "Massachusetts"
"L" "09-26-1891" "0" "Trinity (CT)" "16" "Amherst, MA" "" 9 26 1891 "Massachusetts"
"L" "10-03-1891" "0" "Amherst (MA)" "44" "Amherst, MA" "" 10 3 1891 "Massachusetts"
"L" "10-10-1891" "0" "Springfield (MA)" "30" "Springfield, MA" "" 10 10 1891 "Massachusetts"
"W" "10-24-1891" "36" "Worcester Tech (MA)" "10" "Worcester, MA" "" 10 24 1891 "Massachusetts"
"L" "10-24-1891" "0" "Amherst (MA)" "16" "Amherst, MA" "" 10 24 1891 "Massachusetts"
"L" "10-31-1891" "4" "Amherst (MA)" "20" "Amherst, MA" "" 10 31 1891 "Massachusetts"
"W" "11-07-1891" "16" "Holy Cross Team" "6" "Worcester, MA" "" 11 7 1891 "Massachusetts"
"L" "09-24-1892" "0" "Trinity (CT)" "6" "Hartford, CT" "" 9 24 1892 "Massachusetts"
"W" "10-01-1892" "28" "Worcester Tech (MA)" "10" "Amherst, MA" "" 10 1 1892 "Massachusetts"
"L" "10-05-1892" "10" "Amherst (MA)" "58" "Amherst, MA" "" 10 5 1892 "Massachusetts"
"T" "10-07-1892" "10" "Mount Hermon School (MA)" "10" "Amherst, MA" "" 10 7 1892 "Massachusetts"
"L" "10-11-1892" "0" "Amherst (MA)" "4" "Amherst, MA" "" 10 11 1892 "Massachusetts"
"W" "10-15-1892" "18" "Worcester Tech (MA)" "4" "Worcester, MA" "" 10 15 1892 "Massachusetts"
"W" "10-19-1892" "22" "Williston Seminary (MA)" "12" "Amherst, MA" "" 10 19 1892 "Massachusetts"
"L" "10-25-1892" "4" "Amherst (MA)" "22" "Amherst, MA" "" 10 25 1892 "Massachusetts"
"W" "10-29-1892" "62" "Boston (MA)" "0" "Amherst, MA" "" 10 29 1892 "Massachusetts"
"T" "11-03-1892" "12" "Mount Hermon School (MA)" "12" "Northfield, MA" "" 11 3 1892 "Massachusetts"
"L" "11-07-1892" "1" "Springfield (MA)" "18" "Amherst, MA" "" 11 7 1892 "Massachusetts"
"L" "11-14-1892" "12" "Harvard Freshmen (MA)" "46" "Cambridge, MA" "" 11 14 1892 "Massachusetts"
"L" "09-25-1893" "0" "Mount Hermon School (MA)" "26" "Northfield, MA" "" 9 25 1893 "Massachusetts"
"L" "09-30-1893" "0" "Worcester Tech (MA)" "16" "Worcester, MA" "" 9 30 1893 "Massachusetts"
"L" "10-04-1893" "0" "Amherst (MA)" "26" "Amherst, MA" "" 10 4 1893 "Massachusetts"
"L" "10-13-1893" "12" "Wesleyan (CT)" "18" "Middletown, CT" "" 10 13 1893 "Massachusetts"
