"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1953" "0" "Miles (AL)" "33" "?" "" 0 0 1953 "Mississippi Valley St."
"L" "00-00-1953" "6" "Jackson St. (MS)" "7" "?" "" 0 0 1953 "Mississippi Valley St."
"L" "00-00-1953" "13" "Mississippi Industrial Training School" "33" "?" "" 0 0 1953 "Mississippi Valley St."
"L" "00-00-1953" "0" "Paul Quinn (TX)" "13" "?" "" 0 0 1953 "Mississippi Valley St."
"W" "11-07-1953" "20" "Philander-Smith (AR)" "12" "Little Rock, AR" "" 11 7 1953 "Mississippi Valley St."
"W" "00-00-1953" "20" "Rust (MS)" "8" "?" "" 0 0 1953 "Mississippi Valley St."
"L" "09-18-1954" "0" "Alcorn St. (MS)" "6" "Itta Bena, MS" "" 9 18 1954 "Mississippi Valley St."
"W" "00-00-1954" "19" "Jackson St. (MS)" "8" "?" "" 0 0 1954 "Mississippi Valley St."
"W" "00-00-1954" "25" "Jarvis Christian (TX)" "0" "?" "" 0 0 1954 "Mississippi Valley St."
"L" "00-00-1954" "19" "Miles (AL)" "26" "?" "" 0 0 1954 "Mississippi Valley St."
"W" "00-00-1954" "27" "Philander-Smith (AR)" "0" "Greenwood, MS" "" 0 0 1954 "Mississippi Valley St."
"W" "11-13-1954" "19" "Lane (TN)" "6" "Jackson, TN" "" 11 13 1954 "Mississippi Valley St."
"L" "11-20-1954" "6" "Mississippi Industrial Training School" "7" "Holly Springs, MS" "" 11 20 1954 "Mississippi Valley St."
"W" "00-00-1954" "51" "Rust (MS)" "0" "?" "" 0 0 1954 "Mississippi Valley St."
"W" "00-00-1954" "29" "Tougaloo (MS)" "20" "?" "" 0 0 1954 "Mississippi Valley St."
"L" "09-17-1955" "12" "Alcorn St. (MS)" "25" "Lorman, MS" "" 9 17 1955 "Mississippi Valley St."
"L" "10-01-1955" "6" "Jackson St. (MS)" "7" "Itta Bena, MS" "" 10 1 1955 "Mississippi Valley St."
"W" "10-08-1955" "57" "Arkansas Baptist" "6" "Little Rock, AR" "" 10 8 1955 "Mississippi Valley St."
