"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1897" "12" "Butte HS (MT)" "22" "?" "" 0 0 1897 "Montana St."
"W" "00-00-1897" "8" "Helena HS (MT)" "0" "?" "" 0 0 1897 "Montana St."
"L" "00-00-1897" "6" "Butte HS (MT)" "18" "?" "" 0 0 1897 "Montana St."
"L" "11-25-1897" "6" "Montana" "18" "Missoula, MT" "" 11 25 1897 "Montana St."
"L" "00-00-1898" "0" "Montana" "6" "Missoula, MT" "" 0 0 1898 "Montana St."
"L" "00-00-1898" "0" "Montana" "16" "Missoula, MT" "" 0 0 1898 "Montana St."
"W" "00-00-1899" "38" "Montana" "0" "Missoula, MT" "" 0 0 1899 "Montana St."
"W" "00-00-1899" "11" "Helena HS (MT)" "6" "?" "" 0 0 1899 "Montana St."
"W" "00-00-1899" "5" "Montana" "0" "Missoula, MT" "" 0 0 1899 "Montana St."
"W" "00-00-1900" "6" "Butte HS (MT)" "0" "?" "" 0 0 1900 "Montana St."
"L" "00-00-1900" "0" "Butte HS (MT)" "5" "?" "" 0 0 1900 "Montana St."
"W" "00-00-1900" "12" "Montana" "11" "Missoula, MT" "" 0 0 1900 "Montana St."
"L" "00-00-1901" "0" "Butte Business College (MT)" "23" "?" "" 0 0 1901 "Montana St."
"W" "00-00-1901" "11" "Butte Business College (MT)" "0" "?" "" 0 0 1901 "Montana St."
"W" "00-00-1901" "31" "Montana" "0" "Bozeman, MT" "" 0 0 1901 "Montana St."
"W" "00-00-1902" "21" "Montana Tech" "6" "?" "" 0 0 1902 "Montana St."
"T" "00-00-1902" "5" "Butte AC (MT)" "5" "?" "" 0 0 1902 "Montana St."
"W" "00-00-1902" "15" "Butte AC (MT)" "0" "?" "" 0 0 1902 "Montana St."
"W" "00-00-1902" "15" "Montana Tech" "11" "?" "" 0 0 1902 "Montana St."
"W" "00-00-1902" "38" "Montana" "0" "Missoula, MT" "" 0 0 1902 "Montana St."
"T" "00-00-1903" "0" "Montana Tech" "0" "?" "" 0 0 1903 "Montana St."
"W" "00-00-1903" "13" "Montana" "6" "Bozeman, MT" "" 0 0 1903 "Montana St."
"W" "00-00-1904" "5" "Utah St." "0" "Bozeman, MT" "" 0 0 1904 "Montana St."
"W" "00-00-1904" "30" "Billings HS (MT)" "4" "?" "" 0 0 1904 "Montana St."
"L" "00-00-1904" "0" "Montana" "79" "Missoula, MT" "" 0 0 1904 "Montana St."
"W" "00-00-1905" "40" "Fort Shaw Indian School (MT)" "11" "?" "" 0 0 1905 "Montana St."
"L" "10-11-1905" "0" "Washington St." "32" "Pullman, WA" "" 10 11 1905 "Montana St."
"L" "00-00-1905" "0" "Idaho" "50" "Moscow, ID" "" 0 0 1905 "Montana St."
"T" "00-00-1905" "5" "Utah St." "5" "?" "" 0 0 1905 "Montana St."
"W" "00-00-1908" "30" "Fort Shaw Indian School (MT)" "0" "?" "" 0 0 1908 "Montana St."
"T" "00-00-1908" "0" "Montana Tech" "0" "?" "" 0 0 1908 "Montana St."
"L" "00-00-1908" "5" "Montana Tech" "25" "?" "" 0 0 1908 "Montana St."
"T" "11-07-1908" "0" "Montana" "0" "Missoula, MT" "" 11 7 1908 "Montana St."
"W" "11-21-1908" "5" "Montana" "0" "Bozeman, MT" "" 11 21 1908 "Montana St."
"L" "00-00-1909" "0" "Butte HS (MT)" "5" "?" "" 0 0 1909 "Montana St."
"L" "00-00-1909" "0" "Montana Tech" "6" "?" "" 0 0 1909 "Montana St."
"L" "00-00-1909" "6" "Montana Tech" "10" "Logan, UT" "" 0 0 1909 "Montana St."
"L" "10-22-1909" "0" "Montana" "3" "Bozeman, MT" "" 10 22 1909 "Montana St."
"T" "11-06-1909" "0" "Utah St." "0" "Logan, UT" "" 11 6 1909 "Montana St."
"L" "11-13-1909" "0" "Utah" "46" "Salt Lake City, UT" "" 11 13 1909 "Montana St."
"L" "11-25-1909" "5" "Montana" "15" "Missoula, MT" "" 11 25 1909 "Montana St."
"L" "00-00-1910" "0" "Montana Tech" "14" "?" "" 0 0 1910 "Montana St."
"T" "00-00-1910" "0" "Montana" "0" "Bozeman, MT" "" 0 0 1910 "Montana St."
"T" "00-00-1910" "0" "Montana Tech" "0" "?" "" 0 0 1910 "Montana St."
"L" "00-00-1910" "0" "Utah St." "19" "Bozeman, MT" "" 0 0 1910 "Montana St."
"W" "00-00-1910" "2" "Butte Columbias (MT)" "0" "?" "" 0 0 1910 "Montana St."
"L" "00-00-1910" "0" "Montana" "10" "Missoula, MT" "" 0 0 1910 "Montana St."
"T" "00-00-1911" "0" "Montana Tech" "0" "?" "" 0 0 1911 "Montana St."
"L" "10-28-1911" "0" "Utah" "97" "Salt Lake City, UT" "" 10 28 1911 "Montana St."
"L" "11-11-1911" "0" "Utah St." "29" "Bozeman, MT" "" 11 11 1911 "Montana St."
"L" "00-00-1912" "0" "Montana" "7" "Bozeman, MT" "" 0 0 1912 "Montana St."
"L" "00-00-1912" "3" "Montana" "39" "Missoula, MT" "" 0 0 1912 "Montana St."
"W" "00-00-1913" "32" "Anaconda Indians (MT)" "6" "?" "" 0 0 1913 "Montana St."
"L" "00-00-1913" "0" "Montana" "7" "Bozeman, MT" "" 0 0 1913 "Montana St."
"W" "00-00-1913" "13" "Utah St." "0" "Bozeman, MT" "" 0 0 1913 "Montana St."
"L" "00-00-1913" "0" "Montana" "20" "Missoula, MT" "" 0 0 1913 "Montana St."
"W" "00-00-1914" "21" "Billings HS (MT)" "0" "?" "" 0 0 1914 "Montana St."
"W" "00-00-1914" "42" "Montana Tech" "0" "?" "" 0 0 1914 "Montana St."
"W" "10-17-1914" "52" "Utah St." "3" "Logan, UT" "" 10 17 1914 "Montana St."
"W" "00-00-1914" "26" "Montana Tech" "0" "?" "" 0 0 1914 "Montana St."
"L" "11-07-1914" "9" "Montana" "26" "Missoula, MT" "" 11 7 1914 "Montana St."
"W" "11-18-1914" "18" "North Dakota St." "0" "Bozeman, MT" "" 11 18 1914 "Montana St."
