"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1924" "0" "Eastern Kentucky" "14" "?" "" 0 0 1924 "Morehead St. (KY)"
"W" "00-00-1925" "10" "Union (KY)" "7" "?" "" 0 0 1925 "Morehead St. (KY)"
"L" "00-00-1925" "0" "Eastern Kentucky" "67" "?" "" 0 0 1925 "Morehead St. (KY)"
"L" "00-00-1925" "6" "Charleston (WV)" "12" "?" "" 0 0 1925 "Morehead St. (KY)"
"W" "11-11-1926" "12" "Charleston (WV)" "6" "Morehead, KY" "" 11 11 1926 "Morehead St. (KY)"
"T" "00-00-1926" "6" "Union (KY)" "6" "?" "" 0 0 1926 "Morehead St. (KY)"
"L" "00-00-1927" "0" "Charleston (WV)" "31" "?" "" 0 0 1927 "Morehead St. (KY)"
"W" "10-22-1927" "19" "Rio Grande (OH)" "7" "Rio Grande, OH" "" 10 22 1927 "Morehead St. (KY)"
"L" "00-00-1927" "6" "Eastern Kentucky" "12" "Morehead, KY" "" 0 0 1927 "Morehead St. (KY)"
"W" "11-11-1927" "39" "Union (KY)" "0" "Morehead, KY" "" 11 11 1927 "Morehead St. (KY)"
"W" "00-00-1927" "48" "Broaddus College (WV)" "0" "?" "" 0 0 1927 "Morehead St. (KY)"
"W" "00-00-1928" "13" "Charleston (WV)" "0" "?" "" 0 0 1928 "Morehead St. (KY)"
"L" "10-06-1928" "6" "Xavier (OH)" "45" "Cincinnati, OH" "" 10 6 1928 "Morehead St. (KY)"
"L" "10-12-1928" "0" "Marshall (WV)" "26" "Ashland, KY" "" 10 12 1928 "Morehead St. (KY)"
"W" "00-00-1928" "20" "Kentucky JV" "0" "?" "" 0 0 1928 "Morehead St. (KY)"
"W" "00-00-1928" "51" "Alderson (WV)" "0" "?" "" 0 0 1928 "Morehead St. (KY)"
"W" "10-27-1928" "18" "Eastern Kentucky" "0" "Richmond, KY" "" 10 27 1928 "Morehead St. (KY)"
"W" "11-03-1928" "26" "Rio Grande (OH)" "0" "Morehead, KY" "" 11 3 1928 "Morehead St. (KY)"
"W" "00-00-1928" "36" "Union (KY)" "6" "?" "" 0 0 1928 "Morehead St. (KY)"
"W" "00-00-1928" "50" "Sue Bennett (KY)" "0" "?" "" 0 0 1928 "Morehead St. (KY)"
"L" "00-00-1929" "13" "Kentucky Wesleyan" "21" "Winchester, KY" "" 0 0 1929 "Morehead St. (KY)"
"W" "00-00-1929" "51" "Transylvania (KY)" "13" "?" "" 0 0 1929 "Morehead St. (KY)"
"W" "00-00-1929" "54" "Campbellsville (KY)" "6" "?" "" 0 0 1929 "Morehead St. (KY)"
"W" "00-00-1929" "13" "Eastern Kentucky" "6" "Morehead, KY" "" 0 0 1929 "Morehead St. (KY)"
"L" "00-00-1929" "7" "Salem College (WV)" "36" "?" "" 0 0 1929 "Morehead St. (KY)"
"L" "00-00-1929" "7" "Glenville St. (WV)" "21" "?" "" 0 0 1929 "Morehead St. (KY)"
"W" "00-00-1929" "20" "Charleston (WV)" "0" "?" "" 0 0 1929 "Morehead St. (KY)"
"L" "00-00-1929" "0" "West Virginia Tech" "37" "?" "" 0 0 1929 "Morehead St. (KY)"
"W" "00-00-1930" "13" "Sue Bennett (KY)" "6" "Morehead, KY" "" 0 0 1930 "Morehead St. (KY)"
"L" "10-04-1930" "0" "West Liberty St. (WV)" "32" "Morehead, KY" "" 10 4 1930 "Morehead St. (KY)"
"L" "00-00-1930" "0" "Kentucky JV" "42" "Morehead, KY" "" 0 0 1930 "Morehead St. (KY)"
"L" "10-25-1930" "0" "Union (KY)" "34" "Morehead, KY" "" 10 25 1930 "Morehead St. (KY)"
"L" "00-00-1930" "0" "Eastern Kentucky" "13" "Richmond, KY" "" 0 0 1930 "Morehead St. (KY)"
"L" "11-15-1930" "6" "Charleston (WV)" "8" "Morehead, KY" "" 11 15 1930 "Morehead St. (KY)"
"W" "11-22-1930" "7" "Cedarville (OH)" "0" "Morehead, KY" "" 11 22 1930 "Morehead St. (KY)"
"L" "00-00-1930" "0" "Glenville St. (WV)" "33" "Glenville, WV" "" 0 0 1930 "Morehead St. (KY)"
"W" "10-10-1931" "6" "Concord (WV)" "0" "Morehead, KY" "" 10 10 1931 "Morehead St. (KY)"
"W" "10-17-1931" "7" "Sue Bennett (KY)" "0" "London, KY" "" 10 17 1931 "Morehead St. (KY)"
"L" "10-23-1931" "0" "Charleston (WV)" "19" "Huntington, WV" "" 10 23 1931 "Morehead St. (KY)"
"W" "10-31-1931" "32" "Transylvania Freshmen (KY)" "7" "Morehead, KY" "" 10 31 1931 "Morehead St. (KY)"
"W" "11-07-1931" "12" "Union (KY)" "0" "Barbourville, KY" "" 11 7 1931 "Morehead St. (KY)"
"T" "11-14-1931" "0" "Eastern Kentucky" "0" "Morehead, KY" "" 11 14 1931 "Morehead St. (KY)"
"L" "11-21-1931" "12" "Rio Grande (OH)" "20" "Rio Grande, OH" "" 11 21 1931 "Morehead St. (KY)"
"W" "00-00-1932" "12" "Armstrong" "0" "Morehead, KY" "" 0 0 1932 "Morehead St. (KY)"
"L" "10-15-1932" "0" "Concord (WV)" "13" "Athens, WV" "" 10 15 1932 "Morehead St. (KY)"
"W" "10-28-1932" "20" "Louisville (KY)" "0" "Louisville, KY" "" 10 28 1932 "Morehead St. (KY)"
"T" "00-00-1932" "0" "Union (KY)" "0" "Morehead, KY" "" 0 0 1932 "Morehead St. (KY)"
"L" "00-00-1932" "0" "Eastern Kentucky" "19" "Richmond, KY" "" 0 0 1932 "Morehead St. (KY)"
"W" "11-19-1932" "10" "Rio Grande (OH)" "7" "Morehead, KY" "" 11 19 1932 "Morehead St. (KY)"
"W" "11-19-1932" "19" "Transylvania (KY)" "7" "Lexington, KY" "" 11 19 1932 "Morehead St. (KY)"
"L" "10-06-1933" "6" "East Tennessee St." "7" "Johnson City, TN" "" 10 6 1933 "Morehead St. (KY)"
"L" "10-21-1933" "0" "Union (KY)" "20" "Barbourville, KY" "" 10 21 1933 "Morehead St. (KY)"
"W" "10-28-1933" "13" "Louisville (KY)" "0" "Morehead, KY" "" 10 28 1933 "Morehead St. (KY)"
"L" "11-11-1933" "0" "Eastern Kentucky" "6" "Morehead, KY" "" 11 11 1933 "Morehead St. (KY)"
"T" "11-18-1933" "0" "Transylvania (KY)" "0" "Morehead, KY" "" 11 18 1933 "Morehead St. (KY)"
"L" "00-00-1933" "7" "West Virginia Tech" "19" "Morehead, KY" "" 0 0 1933 "Morehead St. (KY)"
"L" "00-00-1934" "0" "Centre (KY)" "47" "Danville, KY" "" 0 0 1934 "Morehead St. (KY)"
"W" "00-00-1934" "13" "Rio Grande (OH)" "8" "Morehead, KY" "" 0 0 1934 "Morehead St. (KY)"
"L" "10-20-1934" "8" "Union (KY)" "15" "Morehead, KY" "" 10 20 1934 "Morehead St. (KY)"
"L" "10-26-1934" "2" "Transylvania (KY)" "12" "Lexington, KY" "" 10 26 1934 "Morehead St. (KY)"
"L" "11-02-1934" "0" "Eastern Kentucky" "7" "Richmond, KY" "" 11 2 1934 "Morehead St. (KY)"
"W" "11-10-1934" "13" "East Tennessee St." "12" "Morehead, KY" "" 11 10 1934 "Morehead St. (KY)"
"L" "00-00-1935" "6" "Rio Grande (OH)" "7" "Morehead, KY" "" 0 0 1935 "Morehead St. (KY)"
"L" "10-05-1935" "0" "Georgetown (KY)" "19" "Georgetown, KY" "" 10 5 1935 "Morehead St. (KY)"
"L" "10-19-1935" "0" "Union (KY)" "31" "Barbourville, KY" "" 10 19 1935 "Morehead St. (KY)"
"L" "10-25-1935" "0" "Transylvania (KY)" "19" "Morehead, KY" "" 10 25 1935 "Morehead St. (KY)"
"L" "11-02-1935" "0" "Eastern Kentucky" "53" "Morehead, KY" "" 11 2 1935 "Morehead St. (KY)"
"W" "11-09-1935" "7" "Alfred Holbrook (OH)" "0" "Morehead, KY" "" 11 9 1935 "Morehead St. (KY)"
"L" "11-16-1935" "0" "Louisville (KY)" "20" "Louisville, KY" "" 11 16 1935 "Morehead St. (KY)"
"L" "10-03-1936" "7" "Murray St. (KY)" "14" "Morehead, KY" "" 10 3 1936 "Morehead St. (KY)"
