"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1899" "0" "Howard (DC)" "71" "?" "" 0 0 1899 "Morgan St. (MD)"
"L" "00-00-1900" "0" "Howard (DC)" "41" "?" "" 0 0 1900 "Morgan St. (MD)"
"L" "00-00-1901" "0" "Howard (DC)" "34" "?" "" 0 0 1901 "Morgan St. (MD)"
"L" "00-00-1902" "0" "Howard (DC)" "23" "?" "" 0 0 1902 "Morgan St. (MD)"
"L" "00-00-1903" "0" "Howard (DC)" "28" "?" "" 0 0 1903 "Morgan St. (MD)"
"L" "11-11-1904" "0" "Virginia Union" "45" "Baltimore, MD" "" 11 11 1904 "Morgan St. (MD)"
"L" "11-12-1904" "0" "Virginia St." "48" "Baltimore, MD" "" 11 12 1904 "Morgan St. (MD)"
"T" "00-00-1913" "0" "Colored HS" "0" "Baltimore, MD" "" 0 0 1913 "Morgan St. (MD)"
"L" "00-00-1915" "7" "Annapolis All-Stars (MD)" "11" "Baltimore, MD" "" 0 0 1915 "Morgan St. (MD)"
"T" "00-00-1915" "0" "Colored HS" "0" "Baltimore, MD" "Score unknown" 0 0 1915 "Morgan St. (MD)"
"L" "11-25-1915" "0" "Manassas Industrial School (VA)" "25" "Manassas, VA" "" 11 25 1915 "Morgan St. (MD)"
"L" "00-00-1916" "0" "Annapolis AC (MD)" "43" "Annapolis, MD" "" 0 0 1916 "Morgan St. (MD)"
"L" "00-00-1916" "0" "Manassas Industrial School (VA)" "27" "Baltimore, MD" "" 0 0 1916 "Morgan St. (MD)"
"L" "11-18-1916" "7" "Storer College (WV)" "25" "Baltimore, MD" "" 11 18 1916 "Morgan St. (MD)"
"T" "11-30-1916" "0" "Dover" "0" "Dover, DE" "Score unknown" 11 30 1916 "Morgan St. (MD)"
"W" "00-00-1917" "18" "Colored HS" "0" "Baltimore, MD" "" 0 0 1917 "Morgan St. (MD)"
"L" "00-00-1917" "0" "Storer College (WV)" "12" "Harpers Ferry, WV" "" 0 0 1917 "Morgan St. (MD)"
"T" "00-00-1919" "0" "Annapolis AC (MD)" "0" "?" "Score unknown" 0 0 1919 "Morgan St. (MD)"
"W" "00-00-1919" "8" "Armstrong Tech" "0" "Baltimore, MD" "" 0 0 1919 "Morgan St. (MD)"
"L" "11-12-1919" "0" "Washington Dunbar HS (DC)" "6" "Baltimore, MD" "Dunbar HS won - score unknown" 11 12 1919 "Morgan St. (MD)"
"T" "00-00-1919" "0" "YCMA Team" "0" "Baltimore, MD" "Score unknown" 0 0 1919 "Morgan St. (MD)"
"W" "11-21-1919" "6" "Colored HS" "0" "Baltimore, MD" "" 11 21 1919 "Morgan St. (MD)"
"W" "00-00-1920" "7" "Annapolis AC (MD)" "0" "Baltimore, MD" "" 0 0 1920 "Morgan St. (MD)"
"L" "10-23-1920" "0" "Lincoln (PA)" "30" "Lincoln, PA" "" 10 23 1920 "Morgan St. (MD)"
"L" "10-30-1920" "0" "Virginia Union" "25" "Baltimore, MD" "" 10 30 1920 "Morgan St. (MD)"
"L" "11-13-1920" "0" "Storer College (WV)" "6" "Harpers Ferry, WV" "" 11 13 1920 "Morgan St. (MD)"
"T" "10-14-1921" "0" "Harrisburg YMCA (PA)" "0" "Harrisburg, PA" "Score unknown" 10 14 1921 "Morgan St. (MD)"
"L" "10-22-1921" "0" "Lincoln (PA)" "63" "Baltimore, MD" "" 10 22 1921 "Morgan St. (MD)"
"L" "10-29-1921" "0" "Virginia Union" "85" "Richmond, VA" "" 10 29 1921 "Morgan St. (MD)"
"T" "11-12-1921" "0" "Storer College (WV)" "0" "Baltimore, MD" "Score unknown" 11 12 1921 "Morgan St. (MD)"
"L" "10-14-1922" "0" "Hampton (VA)" "6" "Hampton, VA" "" 10 14 1922 "Morgan St. (MD)"
"L" "10-21-1922" "0" "Lincoln (PA)" "52" "Oxford, PA" "" 10 21 1922 "Morgan St. (MD)"
"L" "11-04-1922" "6" "Howard (DC)" "56" "Washington, DC" "" 11 4 1922 "Morgan St. (MD)"
"L" "11-20-1922" "8" "Storer College (WV)" "13" "Harpers Ferry, WV" "" 11 20 1922 "Morgan St. (MD)"
"L" "00-00-1923" "0" "Hampton (VA)" "44" "?" "" 0 0 1923 "Morgan St. (MD)"
"L" "10-20-1923" "0" "Lincoln (PA)" "69" "Baltimore, MD" "" 10 20 1923 "Morgan St. (MD)"
"L" "00-00-1923" "0" "Storer College (WV)" "7" "Baltimore, MD" "" 0 0 1923 "Morgan St. (MD)"
"W" "10-11-1924" "21" "Cheyney (PA)" "0" "Baltimore, MD" "" 10 11 1924 "Morgan St. (MD)"
"L" "11-01-1924" "0" "Virginia Union" "19" "Baltimore, MD" "" 11 1 1924 "Morgan St. (MD)"
"W" "00-00-1924" "78" "Bowie St. (MD)" "0" "Bowie, MD" "" 0 0 1924 "Morgan St. (MD)"
"L" "11-22-1924" "10" "Storer College (WV)" "12" "Baltimore, MD" "" 11 22 1924 "Morgan St. (MD)"
"L" "10-03-1925" "0" "Howard (DC)" "27" "Washington, DC" "" 10 3 1925 "Morgan St. (MD)"
"T" "00-00-1925" "7" "Lincoln (PA)" "7" "?" "" 0 0 1925 "Morgan St. (MD)"
"W" "11-14-1925" "7" "Bordentown Military Institute (NJ)" "6" "Trenton, NJ" "" 11 14 1925 "Morgan St. (MD)"
"W" "10-02-1926" "27" "Newark AC (DE)" "0" "Baltimore, MD" "" 10 2 1926 "Morgan St. (MD)"
"W" "10-09-1926" "39" "Bordentown Manual Training (NJ)" "0" "Baltimore, MD" "" 10 9 1926 "Morgan St. (MD)"
"L" "10-16-1926" "0" "West Virginia St." "19" "Charleston, WV" "" 10 16 1926 "Morgan St. (MD)"
"W" "10-23-1926" "27" "Ward AC" "0" "Baltimore, MD" "" 10 23 1926 "Morgan St. (MD)"
"T" "11-05-1926" "0" "Ward AC" "0" "Annapolis, MD" "Score unknown" 11 5 1926 "Morgan St. (MD)"
"L" "11-13-1926" "6" "Lincoln (PA)" "9" "Baltimore, MD" "" 11 13 1926 "Morgan St. (MD)"
"T" "11-20-1926" "0" "Storer College (WV)" "0" "Baltimore, MD" "Score unknown" 11 20 1926 "Morgan St. (MD)"
"W" "10-08-1927" "57" "Cheyney (PA)" "0" "Baltimore, MD" "" 10 8 1927 "Morgan St. (MD)"
"W" "10-15-1927" "40" "Bordentown Manual Training (NJ)" "7" "Bordentown, NJ" "" 10 15 1927 "Morgan St. (MD)"
