"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1938" "13" "Virginia Union Freshmen" "6" "" "" 0 0 1938 "Norfolk St. (VA)"
"L" "00-00-1938" "0" "Hampton Institute (VA)" "13" "?" "" 0 0 1938 "Norfolk St. (VA)"
"L" "00-00-1938" "0" "Fayetteville St. (NC)" "53" "?" "" 0 0 1938 "Norfolk St. (VA)"
"L" "00-00-1938" "0" "Elizabeth City St. (NC)" "52" "?" "" 0 0 1938 "Norfolk St. (VA)"
"L" "00-00-1938" "0" "Booker T. Washington HS (VA)" "9" "?" "" 0 0 1938 "Norfolk St. (VA)"
"W" "00-00-1939" "13" "Hampton Freshmen (VA)" "0" "?" "" 0 0 1939 "Norfolk St. (VA)"
"L" "00-00-1939" "0" "Virginia St. JV" "12" "?" "" 0 0 1939 "Norfolk St. (VA)"
"L" "00-00-1939" "0" "Fayetteville St. (NC)" "7" "?" "" 0 0 1939 "Norfolk St. (VA)"
"L" "10-07-1939" "6" "Virginia Union" "22" "Richmond, VA" "" 10 7 1939 "Norfolk St. (VA)"
"W" "00-00-1939" "20" "Elizabeth City St. (NC)" "0" "?" "" 0 0 1939 "Norfolk St. (VA)"
"W" "00-00-1939" "79" "Kittrell College (NC)" "0" "?" "" 0 0 1939 "Norfolk St. (VA)"
"W" "00-00-1939" "14" "Booker T. Washington HS (VA)" "8" "?" "" 0 0 1939 "Norfolk St. (VA)"
"W" "00-00-1940" "20" "Maryland-Eastern Shore" "6" "?" "" 0 0 1940 "Norfolk St. (VA)"
"L" "00-00-1940" "0" "Bordentown Military Institute (NJ)" "7" "?" "" 0 0 1940 "Norfolk St. (VA)"
"L" "00-00-1940" "20" "Fayetteville St. (NC)" "21" "?" "" 0 0 1940 "Norfolk St. (VA)"
"T" "00-00-1940" "0" "Virginia St. JV" "0" "?" "" 0 0 1940 "Norfolk St. (VA)"
"W" "00-00-1940" "20" "Hampton Freshmen (VA)" "12" "?" "" 0 0 1940 "Norfolk St. (VA)"
"L" "00-00-1940" "6" "Elizabeth City St. (NC)" "13" "?" "" 0 0 1940 "Norfolk St. (VA)"
"W" "00-00-1940" "12" "Saint Augustine's (NC)" "0" "Norfolk, VA" "" 0 0 1940 "Norfolk St. (VA)"
"W" "00-00-1941" "6" "Miner Teachers (DC)" "0" "Norfolk, VA" "" 0 0 1941 "Norfolk St. (VA)"
"W" "00-00-1941" "19" "Bordentown Military Institute (NJ)" "0" "?" "" 0 0 1941 "Norfolk St. (VA)"
"W" "00-00-1941" "26" "Fayetteville St. (NC)" "0" "?" "" 0 0 1941 "Norfolk St. (VA)"
"W" "00-00-1941" "13" "Hampton Freshmen (VA)" "0" "?" "" 0 0 1941 "Norfolk St. (VA)"
"T" "00-00-1941" "13" "Winston-Salem St. (NC)" "13" "?" "" 0 0 1941 "Norfolk St. (VA)"
"W" "00-00-1941" "25" "Saint Augustine's (NC)" "7" "?" "" 0 0 1941 "Norfolk St. (VA)"
"W" "11-28-1941" "21" "Elizabeth City St. (NC)" "6" "Elizabeth City, NC" "" 11 28 1941 "Norfolk St. (VA)"
"W" "00-00-1945" "39" "Hampton Freshmen (VA)" "0" "?" "" 0 0 1945 "Norfolk St. (VA)"
"L" "00-00-1945" "2" "Fayetteville St. (NC)" "4" "?" "" 0 0 1945 "Norfolk St. (VA)"
"T" "00-00-1945" "0" "Navy All-Stars" "0" "?" "" 0 0 1945 "Norfolk St. (VA)"
"L" "00-00-1945" "8" "Fayetteville St. (NC)" "12" "?" "" 0 0 1945 "Norfolk St. (VA)"
"W" "00-00-1945" "7" "Brown Bombers (VA)" "6" "?" "" 0 0 1945 "Norfolk St. (VA)"
"W" "00-00-1945" "13" "Booker T. Washington HS (VA)" "0" "?" "" 0 0 1945 "Norfolk St. (VA)"
"W" "00-00-1946" "7" "Elizabeth City St. (NC)" "0" "?" "" 0 0 1946 "Norfolk St. (VA)"
"W" "00-00-1946" "13" "Swift Memorial JC (TN)" "0" "?" "" 0 0 1946 "Norfolk St. (VA)"
"L" "00-00-1946" "6" "Brown Bombers (VA)" "7" "?" "" 0 0 1946 "Norfolk St. (VA)"
"L" "00-00-1946" "6" "Cheyney (PA)" "13" "?" "" 0 0 1946 "Norfolk St. (VA)"
"W" "00-00-1946" "20" "Elizabeth City St. (NC)" "6" "?" "" 0 0 1946 "Norfolk St. (VA)"
"L" "00-00-1946" "0" "Fayetteville St. (NC)" "13" "?" "" 0 0 1946 "Norfolk St. (VA)"
