"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1901" "0" "Livingstone (NC)" "6" "?" "Livingstone won - score unknown" 0 0 1901 "North Carolina A&T"
"L" "00-00-1906" "0" "Livingstone (NC)" "17" "?" "" 0 0 1906 "North Carolina A&T"
"L" "00-00-1909" "0" "Hampton (VA)" "11" "?" "" 0 0 1909 "North Carolina A&T"
"L" "00-00-1912" "0" "Livingstone (NC)" "13" "?" "" 0 0 1912 "North Carolina A&T"
"L" "00-00-1913" "0" "Livingstone (NC)" "7" "?" "" 0 0 1913 "North Carolina A&T"
"L" "00-00-1914" "0" "Livingstone (NC)" "7" "?" "" 0 0 1914 "North Carolina A&T"
"T" "00-00-1915" "0" "Livingstone (NC)" "0" "?" "" 0 0 1915 "North Carolina A&T"
"T" "00-00-1915" "12" "Livingstone (NC)" "12" "?" "" 0 0 1915 "North Carolina A&T"
"W" "00-00-1916" "17" "Livingstone (NC)" "0" "?" "" 0 0 1916 "North Carolina A&T"
"L" "11-10-1916" "0" "Johnson C. Smith (NC)" "7" "?" "" 11 10 1916 "North Carolina A&T"
"L" "11-27-1919" "0" "Bennett College (NC)" "6" "Greensboro, NC" "" 11 27 1919 "North Carolina A&T"
"W" "10-23-1920" "3" "Virginia Union" "0" "Richmond, VA" "" 10 23 1920 "North Carolina A&T"
"L" "00-00-1921" "0" "Virginia Union" "14" "?" "" 0 0 1921 "North Carolina A&T"
"T" "00-00-1921" "0" "Livingstone (NC)" "0" "?" "" 0 0 1921 "North Carolina A&T"
"L" "00-00-1921" "6" "Saint Paul's (VA)" "20" "?" "" 0 0 1921 "North Carolina A&T"
"L" "00-00-1921" "0" "Howard (DC)" "33" "?" "" 0 0 1921 "North Carolina A&T"
"W" "00-00-1922" "26" "Fayetteville St. (NC)" "6" "?" "" 0 0 1922 "North Carolina A&T"
"T" "10-14-1922" "0" "Virginia Union" "0" "Richmond, VA" "" 10 14 1922 "North Carolina A&T"
"L" "10-21-1922" "0" "Howard (DC)" "40" "Washington, DC" "" 10 21 1922 "North Carolina A&T"
"T" "00-00-1922" "7" "Saint Augustine's (NC)" "7" "?" "" 0 0 1922 "North Carolina A&T"
"W" "00-00-1922" "1" "Virginia Seminary" "0" "?" "Virginia Seminary Forfeits" 0 0 1922 "North Carolina A&T"
"L" "00-00-1922" "6" "Livingstone (NC)" "12" "?" "" 0 0 1922 "North Carolina A&T"
"W" "00-00-1922" "26" "Nat. Training" "0" "?" "" 0 0 1922 "North Carolina A&T"
"W" "11-30-1922" "18" "Bennett College (NC)" "0" "Greensboro, NC" "" 11 30 1922 "North Carolina A&T"
"W" "00-00-1922" "33" "Winston Mon." "0" "?" "" 0 0 1922 "North Carolina A&T"
