"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1922" "0" "Saint Paul's (VA)" "25" "?" "" 0 0 1922 "North Carolina Central"
"L" "00-00-1923" "0" "Virginia St." "70" "Durham, NC" "" 0 0 1923 "North Carolina Central"
"L" "00-00-1923" "0" "Benedict (SC)" "19" "?" "" 0 0 1923 "North Carolina Central"
"L" "00-00-1923" "0" "Saint Paul's (VA)" "38" "?" "" 0 0 1923 "North Carolina Central"
"L" "10-04-1924" "0" "Hampton (VA)" "31" "Hampton, VA" "" 10 4 1924 "North Carolina Central"
"L" "10-11-1924" "0" "Virginia St." "82" "Petersburg, VA" "" 10 11 1924 "North Carolina Central"
"W" "10-24-1924" "12" "Virginia Seminary" "9" "Durham, NC" "" 10 24 1924 "North Carolina Central"
"W" "11-20-1924" "32" "Saint Augustine's (NC)" "0" "Durham, NC" "" 11 20 1924 "North Carolina Central"
"T" "11-22-1924" "13" "North Carolina A&T" "13" "Durham, NC" "" 11 22 1924 "North Carolina Central"
"L" "11-27-1924" "0" "Saint Paul's (VA)" "16" "Lawrenceville, VA" "" 11 27 1924 "North Carolina Central"
"W" "00-00-1924" "6" "Bennett College (NC)" "0" "Durham, NC" "" 0 0 1924 "North Carolina Central"
"W" "00-00-1924" "13" "Livingstone (NC)" "0" "Durham, NC" "" 0 0 1924 "North Carolina Central"
"L" "10-03-1925" "3" "Saint Paul's (VA)" "15" "Lawrenceville, VA" "" 10 3 1925 "North Carolina Central"
"L" "10-17-1925" "0" "Virginia St." "14" "?" "" 10 17 1925 "North Carolina Central"
"L" "10-24-1925" "0" "North Carolina A&T" "19" "Greensboro, NC" "" 10 24 1925 "North Carolina Central"
"L" "10-31-1925" "0" "Howard (DC)" "70" "Washington, DC" "" 10 31 1925 "North Carolina Central"
"L" "11-14-1925" "6" "Livingstone (NC)" "13" "Salisbury, NC" "" 11 14 1925 "North Carolina Central"
"L" "11-26-1925" "6" "Johnson C. Smith (NC)" "19" "Charlotte, NC" "" 11 26 1925 "North Carolina Central"
"L" "10-09-1926" "0" "Virginia St." "40" "Durham, NC" "" 10 9 1926 "North Carolina Central"
"L" "10-16-1926" "0" "Hampton (VA)" "20" "Durham, NC" "" 10 16 1926 "North Carolina Central"
"L" "00-00-1927" "0" "Virginia St." "6" "?" "" 0 0 1927 "North Carolina Central"
"W" "10-01-1927" "26" "Claflin (SC)" "0" "Durham, NC" "" 10 1 1927 "North Carolina Central"
"T" "10-08-1927" "12" "Johnson C. Smith (NC)" "12" "Charlotte, NC" "" 10 8 1927 "North Carolina Central"
"L" "10-15-1927" "6" "South Carolina St." "10" "Orangeburg, SC" "" 10 15 1927 "North Carolina Central"
"L" "10-22-1927" "13" "North Carolina A&T" "28" "Greensboro, NC" "" 10 22 1927 "North Carolina Central"
"W" "10-29-1927" "18" "Saint Augustine's (NC)" "0" "Raleigh, NC" "" 10 29 1927 "North Carolina Central"
"W" "11-05-1927" "44" "Brick JC (NC)" "0" "Durham, NC" "" 11 5 1927 "North Carolina Central"
"W" "00-00-1927" "33" "Kittrell College (NC)" "0" "Durham, NC" "" 0 0 1927 "North Carolina Central"
"W" "00-00-1927" "13" "Livingstone (NC)" "0" "?" "" 0 0 1927 "North Carolina Central"
"L" "09-29-1928" "0" "Virginia St." "13" "Petersburg, VA" "" 9 29 1928 "North Carolina Central"
"W" "10-06-1928" "13" "Johnson C. Smith (NC)" "3" "Durham, NC" "" 10 6 1928 "North Carolina Central"
"L" "10-13-1928" "0" "North Carolina A&T" "20" "Winston-Salem, NC" "" 10 13 1928 "North Carolina Central"
"W" "10-20-1928" "6" "South Carolina St." "0" "Durham, NC" "" 10 20 1928 "North Carolina Central"
"L" "10-27-1928" "0" "West Virginia St." "37" "Institute, WV" "" 10 27 1928 "North Carolina Central"
"L" "11-03-1928" "7" "Hampton (VA)" "38" "Hampton, VA" "" 11 3 1928 "North Carolina Central"
"L" "11-10-1928" "0" "Livingstone (NC)" "7" "Salisbury, NC" "" 11 10 1928 "North Carolina Central"
"L" "11-17-1928" "6" "Saint Paul's (VA)" "12" "Lawrenceville, VA" "" 11 17 1928 "North Carolina Central"
"T" "11-29-1928" "0" "Shaw (NC)" "0" "Durham, NC" "" 11 29 1928 "North Carolina Central"
"L" "09-28-1929" "0" "Virginia St." "13" "Durham, NC" "" 9 28 1929 "North Carolina Central"
"L" "10-05-1929" "0" "Johnson C. Smith (NC)" "13" "Charlotte, NC" "" 10 5 1929 "North Carolina Central"
"L" "10-12-1929" "0" "Wilberforce (OH)" "41" "Durham, NC" "" 10 12 1929 "North Carolina Central"
"L" "10-19-1929" "0" "Saint Paul's (VA)" "52" "Durham, NC" "" 10 19 1929 "North Carolina Central"
"L" "10-26-1929" "0" "Hampton (VA)" "24" "Hampton, VA" "" 10 26 1929 "North Carolina Central"
"L" "11-09-1929" "0" "Lincoln (PA)" "32" "Jefferson City, TN" "" 11 9 1929 "North Carolina Central"
"L" "11-23-1929" "0" "Virginia Union" "13" "Richmond, VA" "" 11 23 1929 "North Carolina Central"
"T" "11-28-1929" "0" "Shaw (NC)" "0" "Raleigh, NC" "" 11 28 1929 "North Carolina Central"
"L" "09-27-1930" "7" "Johnson C. Smith (NC)" "13" "Durham, NC" "" 9 27 1930 "North Carolina Central"
"L" "10-03-1930" "0" "Lincoln (PA)" "34" "Durham, NC" "" 10 3 1930 "North Carolina Central"
"L" "10-11-1930" "0" "Wilberforce (OH)" "39" "Wilberforce, OH" "" 10 11 1930 "North Carolina Central"
"W" "10-18-1930" "12" "Livingstone (NC)" "0" "Durham, NC" "" 10 18 1930 "North Carolina Central"
"W" "10-25-1930" "9" "Virginia Seminary" "7" "Durham, NC" "" 10 25 1930 "North Carolina Central"
"W" "11-01-1930" "20" "North Carolina A&T" "14" "Durham, NC" "" 11 1 1930 "North Carolina Central"
"L" "11-08-1930" "2" "Howard (DC)" "6" "Washington, DC" "" 11 8 1930 "North Carolina Central"
"L" "11-15-1930" "7" "Morgan St. (MD)" "18" "Baltimore, MD" "" 11 15 1930 "North Carolina Central"
"T" "11-22-1930" "0" "Shaw (NC)" "0" "Raleigh, NC" "" 11 22 1930 "North Carolina Central"
"L" "11-27-1930" "0" "Saint Paul's (VA)" "6" "Lawrenceville, VA" "" 11 27 1930 "North Carolina Central"
"W" "09-26-1931" "13" "Johnson C. Smith (NC)" "0" "Charlotte, NC" "" 9 26 1931 "North Carolina Central"
"L" "10-03-1931" "0" "Hampton (VA)" "24" "Durham, NC" "" 10 3 1931 "North Carolina Central"
"L" "00-00-1931" "0" "Lincoln (PA)" "12" "?" "" 0 0 1931 "North Carolina Central"
"W" "10-17-1931" "33" "Livingstone (NC)" "0" "Salisbury, NC" "" 10 17 1931 "North Carolina Central"
"W" "10-31-1931" "6" "North Carolina A&T" "0" "Greensboro, NC" "" 10 31 1931 "North Carolina Central"
"W" "00-00-1931" "6" "Shaw (NC)" "0" "Durham, NC" "" 0 0 1931 "North Carolina Central"
"L" "11-14-1931" "12" "Morgan St. (MD)" "26" "Durham, NC" "" 11 14 1931 "North Carolina Central"
"L" "11-21-1931" "0" "Virginia Union" "13" "Durham, NC" "" 11 21 1931 "North Carolina Central"
"W" "11-26-1931" "6" "Saint Paul's (VA)" "0" "Durham, NC" "" 11 26 1931 "North Carolina Central"
"T" "12-05-1931" "0" "Bluefield St. (WV)" "0" "Bluefield, WV" "" 12 5 1931 "North Carolina Central"
"L" "10-01-1932" "0" "Hampton (VA)" "19" "Hampton, VA" "" 10 1 1932 "North Carolina Central"
"L" "10-08-1932" "13" "Virginia St." "19" "Durham, NC" "" 10 8 1932 "North Carolina Central"
"L" "10-15-1932" "0" "Bluefield St. (WV)" "13" "Durham, NC" "" 10 15 1932 "North Carolina Central"
"W" "10-22-1932" "21" "Johnson C. Smith (NC)" "0" "Durham, NC" "" 10 22 1932 "North Carolina Central"
"W" "11-05-1932" "13" "Shaw (NC)" "0" "Durham, NC" "" 11 5 1932 "North Carolina Central"
"L" "11-12-1932" "0" "Morgan St. (MD)" "33" "Baltimore, MD" "" 11 12 1932 "North Carolina Central"
"L" "11-19-1932" "7" "Virginia Union" "25" "Richmond, VA" "" 11 19 1932 "North Carolina Central"
"W" "11-24-1932" "20" "North Carolina A&T" "0" "Greensboro, NC" "" 11 24 1932 "North Carolina Central"
"L" "09-29-1933" "0" "Hampton (VA)" "7" "Durham, NC" "" 9 29 1933 "North Carolina Central"
"W" "10-07-1933" "7" "Virginia St." "0" "Petersburg, VA" "" 10 7 1933 "North Carolina Central"
"L" "10-14-1933" "6" "Bluefield St. (WV)" "7" "Roanoke, VA" "" 10 14 1933 "North Carolina Central"
"W" "10-21-1933" "25" "Johnson C. Smith (NC)" "0" "Charlotte, NC" "" 10 21 1933 "North Carolina Central"
"W" "11-04-1933" "34" "Shaw (NC)" "0" "Raleigh, NC" "" 11 4 1933 "North Carolina Central"
"L" "11-11-1933" "0" "Morgan St. (MD)" "47" "Durham, NC" "" 11 11 1933 "North Carolina Central"
"L" "11-18-1933" "0" "Howard (DC)" "7" "Durham, NC" "" 11 18 1933 "North Carolina Central"
"W" "11-30-1933" "20" "North Carolina A&T" "0" "Durham, NC" "" 11 30 1933 "North Carolina Central"
"W" "10-06-1934" "7" "Johnson C. Smith (NC)" "0" "Durham, NC" "" 10 6 1934 "North Carolina Central"
"L" "10-13-1934" "0" "Bluefield St. (WV)" "16" "Durham, NC" "" 10 13 1934 "North Carolina Central"
"L" "10-20-1934" "0" "Hampton (VA)" "20" "Hampton, VA" "" 10 20 1934 "North Carolina Central"
"W" "10-27-1934" "26" "Saint Augustine's (NC)" "0" "Durham, NC" "" 10 27 1934 "North Carolina Central"
"W" "11-03-1934" "25" "Shaw (NC)" "0" "Durham, NC" "" 11 3 1934 "North Carolina Central"
"L" "11-10-1934" "6" "Saint Paul's (VA)" "7" "Durham, NC" "" 11 10 1934 "North Carolina Central"
"W" "11-17-1934" "7" "Howard (DC)" "6" "Washington, DC" "" 11 17 1934 "North Carolina Central"
"L" "11-24-1934" "0" "West Virginia St." "32" "Institute, WV" "" 11 24 1934 "North Carolina Central"
"L" "11-29-1934" "0" "North Carolina A&T" "6" "Greensboro, NC" "" 11 29 1934 "North Carolina Central"
"W" "00-00-1934" "44" "Miner Teachers (DC)" "0" "?" "" 0 0 1934 "North Carolina Central"
"L" "10-05-1935" "0" "Hampton (VA)" "31" "Durham, NC" "" 10 5 1935 "North Carolina Central"
"L" "10-12-1935" "0" "Bluefield St. (WV)" "28" "Bluefield, WV" "" 10 12 1935 "North Carolina Central"
"W" "10-26-1935" "26" "Saint Augustine's (NC)" "0" "Durham, NC" "" 10 26 1935 "North Carolina Central"
"W" "11-02-1935" "6" "Shaw (NC)" "0" "Raleigh, NC" "" 11 2 1935 "North Carolina Central"
"W" "11-09-1935" "9" "Saint Paul's (VA)" "0" "Lawrenceville, VA" "" 11 9 1935 "North Carolina Central"
"L" "11-16-1935" "6" "West Virginia St." "47" "Durham, NC" "" 11 16 1935 "North Carolina Central"
"W" "11-23-1935" "6" "Johnson C. Smith (NC)" "0" "Charlotte, NC" "" 11 23 1935 "North Carolina Central"
"L" "11-28-1935" "0" "North Carolina A&T" "9" "Durham, NC" "" 11 28 1935 "North Carolina Central"
"W" "10-03-1936" "8" "Fayetteville St. (NC)" "0" "Durham, NC" "" 10 3 1936 "North Carolina Central"
"L" "10-10-1936" "7" "Bluefield St. (WV)" "44" "Durham, NC" "" 10 10 1936 "North Carolina Central"
"W" "10-17-1936" "14" "Saint Paul's (VA)" "0" "Durham, NC" "" 10 17 1936 "North Carolina Central"
"W" "10-24-1936" "9" "Saint Augustine's (NC)" "6" "Raleigh, NC" "" 10 24 1936 "North Carolina Central"
"W" "10-31-1936" "7" "Shaw (NC)" "6" "Durham, NC" "" 10 31 1936 "North Carolina Central"
"L" "11-07-1936" "0" "Virginia Union" "36" "Richmond, VA" "" 11 7 1936 "North Carolina Central"
"T" "11-14-1936" "13" "Johnson C. Smith (NC)" "13" "Durham, NC" "" 11 14 1936 "North Carolina Central"
"L" "11-26-1936" "0" "North Carolina A&T" "39" "Greensboro, NC" "" 11 26 1936 "North Carolina Central"
"W" "10-02-1937" "6" "Fayetteville St. (NC)" "0" "Fayetteville, NC" "" 10 2 1937 "North Carolina Central"
"T" "10-09-1937" "0" "Bluefield St. (WV)" "0" "Durham, NC" "" 10 9 1937 "North Carolina Central"
"W" "10-16-1937" "13" "Saint Paul's (VA)" "7" "Lawrenceville, VA" "" 10 16 1937 "North Carolina Central"
"W" "10-23-1937" "19" "Saint Augustine's (NC)" "0" "Raleigh, NC" "" 10 23 1937 "North Carolina Central"
"L" "10-30-1937" "7" "Shaw (NC)" "19" "Raleigh, NC" "" 10 30 1937 "North Carolina Central"
"L" "11-06-1937" "6" "Virginia Union" "18" "Durham, NC" "" 11 6 1937 "North Carolina Central"
"L" "11-13-1937" "0" "Johnson C. Smith (NC)" "21" "Charlotte, NC" "" 11 13 1937 "North Carolina Central"
"L" "11-25-1937" "7" "North Carolina A&T" "14" "Durham, NC" "" 11 25 1937 "North Carolina Central"
"L" "10-01-1938" "0" "Lincoln (PA)" "13" "Durham, NC" "" 10 1 1938 "North Carolina Central"
"L" "10-08-1938" "0" "Bluefield St. (WV)" "12" "Bluefield, WV" "" 10 8 1938 "North Carolina Central"
"W" "10-15-1938" "13" "Saint Paul's (VA)" "6" "Lawrenceville, VA" "" 10 15 1938 "North Carolina Central"
"W" "10-22-1938" "20" "Saint Augustine's (NC)" "0" "Durham, NC" "" 10 22 1938 "North Carolina Central"
"L" "10-29-1938" "0" "Shaw (NC)" "19" "Durham, NC" "" 10 29 1938 "North Carolina Central"
"L" "11-05-1938" "5" "Livingstone (NC)" "12" "Durham, NC" "" 11 5 1938 "North Carolina Central"
"T" "11-12-1938" "6" "Johnson C. Smith (NC)" "6" "Durham, NC" "" 11 12 1938 "North Carolina Central"
"L" "11-24-1938" "0" "North Carolina A&T" "25" "Greensboro, NC" "" 11 24 1938 "North Carolina Central"
"L" "10-07-1939" "8" "Lincoln (PA)" "13" "Lincoln, PA" "" 10 7 1939 "North Carolina Central"
"W" "10-14-1939" "13" "Bluefield St. (WV)" "6" "Durham, NC" "" 10 14 1939 "North Carolina Central"
"W" "10-21-1939" "20" "Saint Paul's (VA)" "0" "Durham, NC" "" 10 21 1939 "North Carolina Central"
"W" "10-28-1939" "19" "Howard (DC)" "0" "Durham, NC" "" 10 28 1939 "North Carolina Central"
"W" "11-04-1939" "7" "Shaw (NC)" "0" "Raleigh, NC" "" 11 4 1939 "North Carolina Central"
"L" "11-11-1939" "7" "Florida A&M" "20" "Tallahassee, FL" "" 11 11 1939 "North Carolina Central"
"L" "11-18-1939" "6" "Johnson C. Smith (NC)" "13" "Charlotte, NC" "" 11 18 1939 "North Carolina Central"
"W" "11-25-1939" "26" "Livingstone (NC)" "0" "Durham, NC" "" 11 25 1939 "North Carolina Central"
"L" "11-30-1939" "0" "North Carolina A&T" "7" "Durham, NC" "" 11 30 1939 "North Carolina Central"
"W" "10-05-1940" "55" "Livingstone (NC)" "0" "Durham, NC" "" 10 5 1940 "North Carolina Central"
"W" "10-12-1940" "13" "Bluefield St. (WV)" "0" "Bluefield, WV" "" 10 12 1940 "North Carolina Central"
"W" "10-19-1940" "6" "Saint Paul's (VA)" "0" "Durham, NC" "" 10 19 1940 "North Carolina Central"
"W" "10-26-1940" "14" "Howard (DC)" "0" "Washington, DC" "" 10 26 1940 "North Carolina Central"
"W" "11-02-1940" "29" "Shaw (NC)" "0" "Durham, NC" "" 11 2 1940 "North Carolina Central"
"T" "11-09-1940" "7" "Florida A&M" "7" "Durham, NC" "" 11 9 1940 "North Carolina Central"
"L" "11-16-1940" "0" "Johnson C. Smith (NC)" "6" "Durham, NC" "" 11 16 1940 "North Carolina Central"
"L" "11-28-1940" "6" "North Carolina A&T" "12" "Greensboro, NC" "" 11 28 1940 "North Carolina Central"
"W" "09-27-1941" "19" "South Carolina St." "0" "Durham, NC" "" 9 27 1941 "North Carolina Central"
"W" "10-11-1941" "9" "Bluefield St. (WV)" "6" "Lynchburg, VA" "" 10 11 1941 "North Carolina Central"
"W" "10-18-1941" "66" "Saint Paul's (VA)" "0" "Durham, NC" "" 10 18 1941 "North Carolina Central"
"W" "10-25-1941" "36" "Lincoln (PA)" "6" "Durham, NC" "" 10 25 1941 "North Carolina Central"
"W" "11-01-1941" "16" "Shaw (NC)" "0" "Raleigh, NC" "" 11 1 1941 "North Carolina Central"
"L" "11-08-1941" "6" "Johnson C. Smith (NC)" "0" "Charlotte, NC" "North Carolina Central Forfeits" 11 8 1941 "North Carolina Central"
"W" "11-15-1941" "45" "Livingstone (NC)" "0" "Salisbury, NC" "" 11 15 1941 "North Carolina Central"
"W" "11-20-1941" "9" "North Carolina A&T" "6" "Durham, NC" "" 11 20 1941 "North Carolina Central"
"T" "11-29-1941" "0" "Virginia St." "0" "Petersburg, VA" "" 11 29 1941 "North Carolina Central"
"L" "12-06-1941" "6" "Morris Brown (GA)" "7" "Columbus, GA" "Peach Blossom Classic" 12 6 1941 "North Carolina Central"
"L" "10-10-1942" "12" "Bluefield St. (WV)" "15" "Durham, NC" "" 10 10 1942 "North Carolina Central"
"L" "10-17-1942" "0" "Virginia St." "6" "Durham, NC" "" 10 17 1942 "North Carolina Central"
"W" "10-31-1942" "41" "Fayetteville St. (NC)" "0" "Durham, NC" "" 10 31 1942 "North Carolina Central"
"L" "11-07-1942" "0" "Johnson C. Smith (NC)" "17" "Durham, NC" "" 11 7 1942 "North Carolina Central"
"L" "11-11-1942" "6" "Kentucky St." "21" "Frankfort, KY" "" 11 11 1942 "North Carolina Central"
"W" "11-26-1942" "16" "North Carolina A&T" "12" "Greensboro, NC" "" 11 26 1942 "North Carolina Central"
"L" "09-29-1945" "12" "Delaware St." "13" "Durham, NC" "" 9 29 1945 "North Carolina Central"
"W" "10-06-1945" "23" "Bluefield St. (WV)" "0" "Bluefield, WV" "" 10 6 1945 "North Carolina Central"
"W" "10-13-1945" "34" "Winston-Salem St. (NC)" "0" "Durham, NC" "" 10 13 1945 "North Carolina Central"
"W" "10-20-1945" "40" "North Carolina A&T" "0" "Durham, NC" "" 10 20 1945 "North Carolina Central"
"L" "10-27-1945" "7" "Tuskegee (AL)" "14" "?" "" 10 27 1945 "North Carolina Central"
"L" "10-27-1945" "0" "Tuskegee AAF (AL)" "14" "Tuskegee, AL" "" 10 27 1945 "North Carolina Central"
"W" "11-03-1945" "34" "Virginia Union" "14" "Richmond, VA" "" 11 3 1945 "North Carolina Central"
"W" "11-10-1945" "27" "Johnson C. Smith (NC)" "0" "Charlotte, NC" "" 11 10 1945 "North Carolina Central"
"W" "11-22-1945" "54" "Shaw (NC)" "0" "Durham, NC" "" 11 22 1945 "North Carolina Central"
"L" "12-08-1945" "0" "Virginia St." "20" "Durham, NC" "Tobacco Bowl" 12 8 1945 "North Carolina Central"
"W" "09-21-1946" "85" "Fort Jackson (SC)" "0" "Fort Jackson, SC" "" 9 21 1946 "North Carolina Central"
"W" "09-28-1946" "32" "Delaware St." "6" "Dover, DE" "" 9 28 1946 "North Carolina Central"
"W" "10-05-1946" "19" "Bluefield St. (WV)" "0" "Durham, NC" "" 10 5 1946 "North Carolina Central"
