"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1893" "4" "Colorado School of Mines" "42" "?" "" 0 0 1893 "Northern Colorado"
"L" "11-07-1893" "0" "Denver (CO)" "24" "Denver, CO" "" 11 7 1893 "Northern Colorado"
"L" "11-29-1895" "0" "Wyoming" "34" "Laramie, WY" "" 11 29 1895 "Northern Colorado"
"L" "10-31-1896" "6" "Wyoming" "10" "Greeley, CO" "" 10 31 1896 "Northern Colorado"
"L" "11-06-1897" "0" "Colorado School of Mines" "36" "Golden, CO" "" 11 6 1897 "Northern Colorado"
"T" "00-00-1899" "5" "Colorado St." "5" "Fort Collins, CO" "" 0 0 1899 "Northern Colorado"
"T" "12-16-1899" "5" "Wyoming" "5" "Laramie, WY" "" 12 16 1899 "Northern Colorado"
"L" "00-00-1900" "0" "Colorado School of Mines" "28" "?" "" 0 0 1900 "Northern Colorado"
"W" "10-06-1900" "1" "Colorado St." "0" "Greeley, CO" "Colorado St. Forfeits" 10 6 1900 "Northern Colorado"
"L" "10-08-1900" "0" "Colorado" "41" "Greeley, CO" "" 10 8 1900 "Northern Colorado"
"L" "10-20-1900" "0" "Colorado College" "71" "?" "" 10 20 1900 "Northern Colorado"
"L" "11-29-1900" "0" "Wyoming" "56" "Laramie, WY" "" 11 29 1900 "Northern Colorado"
"T" "00-00-1905" "6" "Cheyenne HS (WY)" "6" "?" "" 0 0 1905 "Northern Colorado"
"T" "00-00-1905" "15" "Cheyenne HS (WY)" "15" "?" "" 0 0 1905 "Northern Colorado"
"L" "10-21-1905" "5" "Colorado St." "6" "Greeley, CO" "" 10 21 1905 "Northern Colorado"
"L" "11-05-1905" "0" "Wyoming" "22" "Laramie, WY" "" 11 5 1905 "Northern Colorado"
"L" "10-06-1917" "0" "Colorado" "54" "Boulder, CO" "" 10 6 1917 "Northern Colorado"
"L" "00-00-1917" "7" "Colorado St. Freshmen" "20" "Fort Collins, CO" "" 0 0 1917 "Northern Colorado"
"L" "10-19-1917" "7" "Colorado St." "20" "Greeley, CO" "" 10 19 1917 "Northern Colorado"
"L" "11-10-1917" "0" "Wyoming" "7" "Laramie, WY" "" 11 10 1917 "Northern Colorado"
"L" "11-24-1917" "6" "Denver (CO)" "14" "Greeley, CO" "" 11 24 1917 "Northern Colorado"
"L" "11-29-1917" "0" "Wyoming" "8" "Greeley, CO" "" 11 29 1917 "Northern Colorado"
"L" "11-02-1918" "0" "Colorado School of Mines" "41" "Greeley, CO" "" 11 2 1918 "Northern Colorado"
"W" "11-16-1918" "9" "Colorado" "0" "Boulder, CO" "" 11 16 1918 "Northern Colorado"
"W" "12-07-1918" "26" "Denver (CO)" "7" "Denver, CO" "" 12 7 1918 "Northern Colorado"
"L" "00-00-1919" "0" "Colorado St. Freshmen" "20" "Greeley, CO" "" 0 0 1919 "Northern Colorado"
