"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "10-19-1895" "12" "Coe (IA)" "10" "Cedar Rapids, IA" "" 10 19 1895 "Northern Iowa"
"L" "00-00-1895" "4" "Lennox (IA)" "12" "?" "" 0 0 1895 "Northern Iowa"
"L" "11-02-1895" "0" "Upper Iowa" "14" "Cedar Falls, IA" "" 11 2 1895 "Northern Iowa"
"L" "10-10-1896" "5" "Coe (IA)" "10" "Cedar Falls, IA" "" 10 10 1896 "Northern Iowa"
"W" "00-00-1896" "22" "Waterloo HS (IA)" "0" "?" "" 0 0 1896 "Northern Iowa"
"L" "10-17-1896" "0" "Coe (IA)" "17" "Cedar Falls, IA" "" 10 17 1896 "Northern Iowa"
"L" "00-00-1896" "0" "Lennox (IA)" "42" "?" "" 0 0 1896 "Northern Iowa"
"W" "11-07-1896" "12" "Cedar Valley Seminary (IA)" "0" "Cedar Falls, IA" "" 11 7 1896 "Northern Iowa"
"W" "00-00-1896" "28" "Reinbeck HS (IA)" "10" "?" "" 0 0 1896 "Northern Iowa"
"W" "00-00-1896" "6" "Cedar Falls HS (IA)" "2" "?" "" 0 0 1896 "Northern Iowa"
"W" "00-00-1897" "56" "Waterloo HS (IA)" "0" "?" "" 0 0 1897 "Northern Iowa"
"L" "10-16-1897" "10" "Ellsworth CC (IA)" "26" "Cedar Falls, IA" "" 10 16 1897 "Northern Iowa"
"W" "10-28-1897" "10" "Coe (IA)" "8" "Cedar Falls, IA" "" 10 28 1897 "Northern Iowa"
"W" "00-00-1897" "6" "Waterloo HS (IA)" "0" "?" "" 0 0 1897 "Northern Iowa"
"W" "00-00-1897" "8" "Northern Iowa Alumni" "0" "?" "" 0 0 1897 "Northern Iowa"
"W" "11-14-1897" "16" "Leander Clark (IA)" "12" "Cedar Falls, IA" "" 11 14 1897 "Northern Iowa"
"W" "11-20-1897" "10" "Upper Iowa" "6" "Cedar Falls, IA" "" 11 20 1897 "Northern Iowa"
"W" "11-25-1897" "8" "Northern Iowa Alumni" "0" "?" "" 11 25 1897 "Northern Iowa"
"W" "00-00-1898" "23" "Waterloo YMCA (IA)" "0" "?" "" 0 0 1898 "Northern Iowa"
"W" "10-15-1898" "40" "Cornell College (IA)" "0" "Cedar Falls, IA" "" 10 15 1898 "Northern Iowa"
"W" "10-22-1898" "18" "Coe (IA)" "0" "Cedar Falls, IA" "" 10 22 1898 "Northern Iowa"
"T" "00-00-1898" "0" "Upper Iowa" "0" "?" "" 0 0 1898 "Northern Iowa"
"W" "11-05-1898" "11" "Iowa" "5" "Cedar Falls, IA" "" 11 5 1898 "Northern Iowa"
"L" "09-23-1899" "0" "Iowa" "22" "Iowa City, IA" "" 9 23 1899 "Northern Iowa"
"L" "00-00-1899" "6" "Grinnell (IA)" "12" "?" "" 0 0 1899 "Northern Iowa"
"L" "10-28-1899" "0" "Cornell College (IA)" "11" "Mount Vernon, IA" "" 10 28 1899 "Northern Iowa"
"T" "11-11-1899" "0" "Iowa St." "0" "Cedar Falls, IA" "" 11 11 1899 "Northern Iowa"
"W" "00-00-1899" "57" "Coe (IA)" "0" "?" "" 0 0 1899 "Northern Iowa"
"T" "11-30-1899" "0" "South Dakota" "0" "?" "" 11 30 1899 "Northern Iowa"
"W" "00-00-1900" "42" "Waterloo HS (IA)" "0" "?" "" 0 0 1900 "Northern Iowa"
"L" "10-06-1900" "0" "Iowa" "68" "Iowa City, IA" "" 10 6 1900 "Northern Iowa"
"L" "10-13-1900" "0" "Drake (IA)" "50" "Des Moines, IA" "" 10 13 1900 "Northern Iowa"
"W" "00-00-1900" "12" "Upper Iowa" "5" "?" "" 0 0 1900 "Northern Iowa"
"L" "00-00-1900" "6" "Coe (IA)" "16" "?" "" 0 0 1900 "Northern Iowa"
"L" "11-17-1900" "0" "Simpson (IA)" "33" "Indianola, IA" "" 11 17 1900 "Northern Iowa"
"W" "11-17-1900" "5" "Iowa St." "0" "Ames, IA" "" 11 17 1900 "Northern Iowa"
"T" "11-24-1900" "6" "Cornell College (IA)" "6" "Cedar Falls, IA" "" 11 24 1900 "Northern Iowa"
"W" "00-00-1901" "11" "Cornell College (IA)" "6" "?" "" 0 0 1901 "Northern Iowa"
"L" "10-05-1901" "0" "Iowa" "16" "Iowa City, IA" "" 10 5 1901 "Northern Iowa"
"T" "10-12-1901" "0" "Iowa St." "0" "Cedar Falls, IA" "" 10 12 1901 "Northern Iowa"
"L" "10-19-1901" "2" "Drake (IA)" "32" "Cedar Falls, IA" "" 10 19 1901 "Northern Iowa"
"T" "00-00-1901" "6" "Simpson (IA)" "6" "Cedar Falls, IA" "" 0 0 1901 "Northern Iowa"
"W" "11-02-1901" "22" "William Penn (IA)" "0" "Oskaloosa, IA" "" 11 2 1901 "Northern Iowa"
"W" "11-16-1901" "72" "Des Moines (IA)" "0" "Cedar Falls, IA" "" 11 16 1901 "Northern Iowa"
"W" "00-00-1901" "12" "Woodbine Normal School (IA)" "6" "?" "" 0 0 1901 "Northern Iowa"
"W" "11-28-1901" "10" "South Dakota" "6" "Sioux City, IA" "" 11 28 1901 "Northern Iowa"
"L" "11-30-1901" "0" "Coe (IA)" "6" "?" "" 11 30 1901 "Northern Iowa"
"L" "10-04-1902" "5" "Iowa" "26" "Iowa City, IA" "" 10 4 1902 "Northern Iowa"
"L" "10-11-1902" "0" "Iowa St." "52" "Cedar Falls, IA" "" 10 11 1902 "Northern Iowa"
"W" "10-18-1902" "12" "Cornell College (IA)" "11" "Cedar Falls, IA" "" 10 18 1902 "Northern Iowa"
"L" "10-25-1902" "5" "Drake (IA)" "36" "Des Moines, IA" "" 10 25 1902 "Northern Iowa"
"L" "11-08-1902" "12" "Coe (IA)" "18" "Cedar Falls, IA" "" 11 8 1902 "Northern Iowa"
"T" "11-15-1902" "6" "William Penn (IA)" "6" "Cedar Falls, IA" "" 11 15 1902 "Northern Iowa"
"L" "00-00-1902" "8" "Omaha Light Guards (NE)" "16" "?" "" 0 0 1902 "Northern Iowa"
"L" "11-18-1902" "5" "Simpson (IA)" "29" "Indianola, IA" "" 11 18 1902 "Northern Iowa"
"T" "00-00-1903" "0" "Iowa Industrial School" "0" "?" "" 0 0 1903 "Northern Iowa"
