"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1907" "4" "Louisiana Tech" "43" "Ruston, LA" "" 0 0 1907 "Northwestern St. (LA)"
"L" "00-00-1908" "0" "Centenary (LA)" "16" "?" "" 0 0 1908 "Northwestern St. (LA)"
"T" "00-00-1908" "0" "Natchitoches AC (LA)" "0" "?" "" 0 0 1908 "Northwestern St. (LA)"
"W" "00-00-1908" "7" "Louisiana College" "0" "?" "" 0 0 1908 "Northwestern St. (LA)"
"L" "00-00-1908" "5" "Shreveport HS (LA)" "16" "?" "" 0 0 1908 "Northwestern St. (LA)"
"W" "00-00-1909" "70" "Alexandria AC (LA)" "0" "?" "" 0 0 1909 "Northwestern St. (LA)"
"W" "00-00-1909" "17" "Centenary (LA)" "0" "?" "" 0 0 1909 "Northwestern St. (LA)"
"L" "00-00-1909" "0" "Louisiana Tech" "45" "Ruston, LA" "" 0 0 1909 "Northwestern St. (LA)"
"W" "00-00-1909" "47" "Louisiana-Lafayette" "0" "Natchitoches, LA" "" 0 0 1909 "Northwestern St. (LA)"
"W" "12-11-1909" "11" "Louisiana-Lafayette" "0" "Lafayette, LA" "" 12 11 1909 "Northwestern St. (LA)"
"W" "00-00-1910" "5" "Natchitoches AC (LA)" "0" "?" "" 0 0 1910 "Northwestern St. (LA)"
"W" "00-00-1910" "5" "Louisiana College" "0" "?" "" 0 0 1910 "Northwestern St. (LA)"
"W" "00-00-1910" "22" "Northwestern St. Alumni (LA)" "0" "?" "" 0 0 1910 "Northwestern St. (LA)"
"W" "00-00-1910" "34" "Winnfield HS (LA)" "5" "?" "" 0 0 1910 "Northwestern St. (LA)"
"W" "00-00-1910" "26" "Louisiana College" "0" "?" "" 0 0 1910 "Northwestern St. (LA)"
"L" "00-00-1910" "0" "Louisiana Tech" "32" "Ruston, LA" "" 0 0 1910 "Northwestern St. (LA)"
"W" "00-00-1910" "28" "Centenary (LA)" "0" "?" "" 0 0 1910 "Northwestern St. (LA)"
"L" "10-14-1911" "0" "Louisiana St." "46" "Baton Rouge, LA" "" 10 14 1911 "Northwestern St. (LA)"
"L" "10-21-1911" "0" "Tulane (LA)" "27" "New Orleans, LA" "" 10 21 1911 "Northwestern St. (LA)"
"L" "00-00-1911" "3" "Louisiana College" "10" "?" "" 0 0 1911 "Northwestern St. (LA)"
"L" "00-00-1911" "0" "Louisiana Tech" "39" "Ruston, LA" "" 0 0 1911 "Northwestern St. (LA)"
"L" "00-00-1911" "6" "Louisiana-Lafayette" "30" "?" "" 0 0 1911 "Northwestern St. (LA)"
"W" "00-00-1911" "25" "Centenary (LA)" "0" "?" "" 0 0 1911 "Northwestern St. (LA)"
"W" "00-00-1911" "23" "Monroe HS (LA)" "0" "?" "" 0 0 1911 "Northwestern St. (LA)"
"W" "00-00-1911" "35" "Winnfield HS (LA)" "5" "?" "" 0 0 1911 "Northwestern St. (LA)"
"W" "00-00-1912" "42" "Winnfield HS (LA)" "6" "?" "" 0 0 1912 "Northwestern St. (LA)"
"W" "00-00-1912" "20" "Monroe HS (LA)" "0" "?" "" 0 0 1912 "Northwestern St. (LA)"
"T" "00-00-1912" "6" "Centenary (LA)" "6" "?" "" 0 0 1912 "Northwestern St. (LA)"
