"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "09-26-1930" "0" "Suffolk HS (VA)" "7" "Suffolk, VA" "" 9 26 1930 "Old Dominion (VA)"
"W" "10-03-1930" "47" "Richmond Oceana HS (VA)" "0" "?" "" 10 3 1930 "Old Dominion (VA)"
"W" "10-15-1930" "13" "William & Mary Freshmen (VA)" "7" "Williamsburg, VA" "" 10 15 1930 "Old Dominion (VA)"
"W" "10-24-1930" "6" "Hertford HS" "0" "?" "Old Dominion won - score unknown" 10 24 1930 "Old Dominion (VA)"
"W" "00-00-1932" "18" "Norfolk South HS (VA)" "0" "?" "" 0 0 1932 "Old Dominion (VA)"
"W" "00-00-1932" "29" "Portsmouth Woodrow Wilson HS (VA)" "0" "?" "" 0 0 1932 "Old Dominion (VA)"
"W" "00-00-1932" "13" "William & Mary Freshmen (VA)" "0" "?" "" 0 0 1932 "Old Dominion (VA)"
"L" "00-00-1932" "0" "Wake Forest Freshmen (NC)" "6" "?" "" 0 0 1932 "Old Dominion (VA)"
"L" "10-14-1932" "2" "Miami (FL)" "6" "Norfolk, VA" "" 10 14 1932 "Old Dominion (VA)"
"W" "00-00-1932" "13" "Virginia Tech Freshmen" "0" "?" "" 0 0 1932 "Old Dominion (VA)"
"W" "00-00-1932" "29" "Shenandoah (VA)" "12" "?" "" 0 0 1932 "Old Dominion (VA)"
"W" "00-00-1932" "29" "Louisburg (NC)" "0" "?" "" 0 0 1932 "Old Dominion (VA)"
"T" "00-00-1932" "0" "Davidson Freshmen (NC)" "0" "?" "" 0 0 1932 "Old Dominion (VA)"
"L" "00-00-1932" "0" "Campbell (NC)" "7" "?" "" 0 0 1932 "Old Dominion (VA)"
"W" "00-00-1933" "7" "William & Mary Freshmen (VA)" "0" "?" "" 0 0 1933 "Old Dominion (VA)"
"L" "00-00-1933" "0" "Shenandoah (VA)" "6" "?" "" 0 0 1933 "Old Dominion (VA)"
