"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "11-11-1876" "0" "Princeton (NJ)" "6" "Philadelphia, PA" "Princeton 6g - Pennsylvania 0" 11 11 1876 "Pennsylvania"
"W" "11-17-1876" "4" "Philadelphia All-Stars (PA)" "0" "Philadelphia, PA" "Pennsylvania 4g - Philadelphia All-Stars 0" 11 17 1876 "Pennsylvania"
"L" "11-25-1876" "0" "Princeton (NJ)" "6" "Princeton, NJ" "Princeton 6g - Pennsylvania 0" 11 25 1876 "Pennsylvania"
"L" "10-19-1878" "0" "Princeton (NJ)" "2" "Princeton, NJ" "Princeton 2g,4t - Pennsylvania 0" 10 19 1878 "Pennsylvania"
"W" "11-02-1878" "9" "Swarthmore (PA)" "0" "Philadelphia, PA" "Pennsylvania 9g,16t - Swarthmore 0" 11 2 1878 "Pennsylvania"
"L" "11-09-1878" "1" "Princeton (NJ)" "2" "Philadelphia, PA" "Princeton 2g,5t - Pennsylvania 1g" 11 9 1878 "Pennsylvania"
"T" "11-16-1878" "0" "Columbia (NY)" "0" "Hoboken, NJ" "Columbia 8s - Pennsylvania 2s" 11 16 1878 "Pennsylvania"
"L" "10-18-1879" "0" "Princeton (NJ)" "6" "Princeton, NJ" "Pennsylvania 11s - Princeton 6g,4t" 10 18 1879 "Pennsylvania"
"L" "11-01-1879" "0" "Yale (CT)" "3" "Hoboken, NJ" "Yale 3g,5t - Pennsylvania 3s" 11 1 1879 "Pennsylvania"
"W" "11-08-1879" "1" "Columbia (NY)" "0" "Philadelphia, PA" "Pennsylvania 1t - Columbia 0" 11 8 1879 "Pennsylvania"
"W" "11-15-1879" "7" "Widener (PA)" "0" "Chester, PA" "Pennsylvania 7g,1t - Widener 0" 11 15 1879 "Pennsylvania"
"W" "10-23-1880" "5" "Crescent AC (PA)" "0" "Philadelphia, PA" "Pennsylvania 5g,6t - Crescent AC 1t" 10 23 1880 "Pennsylvania"
"L" "10-30-1880" "0" "Princeton (NJ)" "2" "Philadelphia, PA" "Princeton 2t,2s - Pennsylvania 0" 10 30 1880 "Pennsylvania"
"L" "11-06-1880" "0" "Princeton (NJ)" "1" "Princeton, NJ" "Princeton 1t,3s - Pennsylvania 1s" 11 6 1880 "Pennsylvania"
"W" "11-13-1880" "3" "Stevens Tech (NJ)" "0" "Hoboken, NJ" "Pennsylvania 3g,5t - Stevens Tech 0" 11 13 1880 "Pennsylvania"
"L" "11-17-1880" "0" "Yale (CT)" "8" "New York, NY" "Yale 8g,1t - Pennsylvania 6s" 11 17 1880 "Pennsylvania"
"L" "10-29-1881" "0" "Princeton (NJ)" "7" "Philadelphia, PA" "Princeton 7g,5t - Pennsylvania 2s" 10 29 1881 "Pennsylvania"
"L" "11-02-1881" "0" "Harvard (MA)" "2" "New York, NY" "Harvard 2g,2t - Pennsylvania 6s" 11 2 1881 "Pennsylvania"
"L" "11-05-1881" "0" "Princeton (NJ)" "4" "Princeton, NJ" "Princeton 4g,6t - Pennsylvania 4s" 11 5 1881 "Pennsylvania"
"L" "11-22-1881" "0" "Rutgers (NJ)" "1" "New Brunswick, NJ" "Rutgers 1g,2t - Pennsylvania 3t" 11 22 1881 "Pennsylvania"
"L" "11-26-1881" "0" "Columbia (NY)" "2" "Philadelphia, PA" "Columbia 2g,2t - Pennsylvania 0" 11 26 1881 "Pennsylvania"
"W" "10-14-1882" "5" "Crescent AC (PA)" "0" "Philadelphia, PA" "Pennsylvania 5g,7t - Crescent AC 3s" 10 14 1882 "Pennsylvania"
"L" "10-28-1882" "0" "Princeton (NJ)" "8" "Princeton, NJ" "Princeton 8g,4t - Pennsylvania 0" 10 28 1882 "Pennsylvania"
"L" "11-04-1882" "1" "Rutgers (NJ)" "3" "Philadelphia, PA" "Rutgers 3t,1s - Pennsylvania 1t" 11 4 1882 "Pennsylvania"
"L" "11-11-1882" "0" "Princeton (NJ)" "10" "Philadelphia, PA" "Princeton 10g,4t - Pennsylvania 0" 11 11 1882 "Pennsylvania"
"L" "11-18-1882" "0" "Rutgers (NJ)" "1" "New Brunswick, NJ" "Rutgers 1g,2t,1s - Pennsylvania 2t" 11 18 1882 "Pennsylvania"
"W" "11-25-1882" "1" "Lafayette (PA)" "0" "Easton, PA" "Pennsylvania 1g,3t - Lafayette 2s" 11 25 1882 "Pennsylvania"
"L" "10-13-1883" "0" "Harvard (MA)" "4" "Cambridge, MA" "" 10 13 1883 "Pennsylvania"
"W" "10-20-1883" "26" "Johns Hopkins (MD)" "6" "Philadelphia, PA" "" 10 20 1883 "Pennsylvania"
"W" "10-27-1883" "44" "Lafayette (PA)" "4" "Philadelphia, PA" "" 10 27 1883 "Pennsylvania"
"L" "11-03-1883" "6" "Princeton (NJ)" "39" "Princeton, NJ" "" 11 3 1883 "Pennsylvania"
"W" "11-10-1883" "30" "Johns Hopkins (MD)" "0" "Philadelphia, PA" "" 11 10 1883 "Pennsylvania"
"W" "11-14-1883" "35" "Columbia (NY)" "1" "Philadelphia, PA" "" 11 14 1883 "Pennsylvania"
"W" "11-17-1883" "18" "Rutgers (NJ)" "0" "New Brunswick, NJ" "" 11 17 1883 "Pennsylvania"
"W" "11-24-1883" "39" "Pennsylvania Alumni" "7" "Philadelphia, PA" "" 11 24 1883 "Pennsylvania"
"T" "11-29-1883" "6" "Stevens Tech (NJ)" "6" "Hoboken, NJ" "" 11 29 1883 "Pennsylvania"
"W" "10-22-1884" "4" "Harvard (MA)" "0" "Cambridge, MA" "" 10 22 1884 "Pennsylvania"
"L" "10-25-1884" "0" "Princeton (NJ)" "31" "Philadelphia, PA" "" 10 25 1884 "Pennsylvania"
"W" "11-01-1884" "21" "Lafayette (PA)" "0" "Easton, PA" "" 11 1 1884 "Pennsylvania"
"W" "11-08-1884" "30" "Stevens Tech (NJ)" "0" "Philadelphia, PA" "" 11 8 1884 "Pennsylvania"
"W" "11-15-1884" "33" "Johns Hopkins (MD)" "0" "Philadelphia, PA" "" 11 15 1884 "Pennsylvania"
"T" "11-20-1884" "16" "Pennsylvania Alumni" "16" "Philadelphia, PA" "" 11 20 1884 "Pennsylvania"
"W" "11-27-1884" "14" "Wesleyan (CT)" "12" "Philadelphia, PA" "" 11 27 1884 "Pennsylvania"
"W" "10-07-1885" "6" "Pennsylvania Alumni" "5" "Philadelphia, PA" "" 10 7 1885 "Pennsylvania"
"W" "10-10-1885" "54" "Lehigh (PA)" "0" "Philadelphia, PA" "" 10 10 1885 "Pennsylvania"
"W" "10-14-1885" "68" "Swarthmore (PA)" "6" "Philadelphia, PA" "" 10 14 1885 "Pennsylvania"
"W" "10-17-1885" "42" "Pennsylvania Alumni" "0" "Philadelphia, PA" "Pennsylvania played 2 Games on this date" 10 17 1885 "Pennsylvania"
"L" "10-17-1885" "6" "Tioga AA (NY)" "26" "Philadelphia, PA" "Pennsylvania played 2 Games on this date" 10 17 1885 "Pennsylvania"
"L" "10-24-1885" "0" "Princeton (NJ)" "57" "Philadelphia, PA" "" 10 24 1885 "Pennsylvania"
"W" "10-28-1885" "30" "Lafayette (PA)" "22" "Easton, PA" "" 10 28 1885 "Pennsylvania"
"L" "10-31-1885" "10" "Princeton (NJ)" "80" "Princeton, NJ" "" 10 31 1885 "Pennsylvania"
"W" "11-04-1885" "54" "Lafayette (PA)" "10" "Philadelphia, PA" "" 11 4 1885 "Pennsylvania"
"L" "11-07-1885" "18" "Wesleyan (CT)" "25" "New York, NY" "" 11 7 1885 "Pennsylvania"
"L" "11-14-1885" "5" "Yale (CT)" "53" "Philadelphia, PA" "" 11 14 1885 "Pennsylvania"
"W" "11-18-1885" "35" "Lehigh (PA)" "0" "Philadelphia, PA" "" 11 18 1885 "Pennsylvania"
"W" "11-21-1885" "22" "Stevens Tech (NJ)" "9" "Philadelphia, PA" "" 11 21 1885 "Pennsylvania"
"L" "11-26-1885" "10" "Princeton (NJ)" "76" "Philadelphia, PA" "" 11 26 1885 "Pennsylvania"
"W" "09-29-1886" "64" "Falls of Schuylkill" "0" "Philadelphia, PA" "" 9 29 1886 "Pennsylvania"
"W" "10-02-1886" "18" "Tioga AA (NY)" "0" "Philadelphia, PA" "" 10 2 1886 "Pennsylvania"
"W" "10-09-1886" "26" "Lehigh (PA)" "4" "Philadelphia, PA" "" 10 9 1886 "Pennsylvania"
"W" "10-13-1886" "4" "Pennsylvania Alumni" "0" "Philadelphia, PA" "" 10 13 1886 "Pennsylvania"
"L" "10-16-1886" "0" "Princeton (NJ)" "30" "Philadelphia, PA" "" 10 16 1886 "Pennsylvania"
"T" "10-18-1886" "6" "Philadelphia All-Stars (PA)" "6" "Philadelphia, PA" "" 10 18 1886 "Pennsylvania"
"L" "10-20-1886" "0" "Lafayette (PA)" "12" "Easton, PA" "" 10 20 1886 "Pennsylvania"
"L" "10-23-1886" "9" "Princeton (NJ)" "55" "Princeton, NJ" "" 10 23 1886 "Pennsylvania"
"W" "10-27-1886" "14" "Wesleyan (CT)" "0" "Philadelphia, PA" "" 10 27 1886 "Pennsylvania"
"W" "10-30-1886" "20" "Lafayette (PA)" "10" "Philadelphia, PA" "" 10 30 1886 "Pennsylvania"
"W" "11-03-1886" "16" "Haverford (PA)" "4" "Philadelphia, PA" "" 11 3 1886 "Pennsylvania"
"L" "11-06-1886" "6" "Princeton (NJ)" "28" "Philadelphia, PA" "" 11 6 1886 "Pennsylvania"
"W" "11-10-1886" "65" "Rutgers (NJ)" "0" "Philadelphia, PA" "" 11 10 1886 "Pennsylvania"
"L" "11-13-1886" "0" "Yale (CT)" "75" "New Haven, CT" "" 11 13 1886 "Pennsylvania"
"W" "11-15-1886" "96" "Vineland AC (NJ)" "6" "Philadelphia, PA" "" 11 15 1886 "Pennsylvania"
"L" "11-18-1886" "0" "Lehigh (PA)" "28" "Bethlehem, PA" "" 11 18 1886 "Pennsylvania"
"L" "11-25-1886" "0" "Harvard (MA)" "28" "Philadelphia, PA" "" 11 25 1886 "Pennsylvania"
"W" "10-08-1887" "14" "Pennsylvania Alumni" "6" "Philadelphia, PA" "" 10 8 1887 "Pennsylvania"
"W" "10-12-1887" "46" "Tioga AA (NY)" "0" "Philadelphia, PA" "" 10 12 1887 "Pennsylvania"
"W" "10-15-1887" "18" "Pennsylvania Alumni" "0" "Philadelphia, PA" "" 10 15 1887 "Pennsylvania"
"L" "10-19-1887" "0" "Princeton (NJ)" "57" "Philadelphia, PA" "" 10 19 1887 "Pennsylvania"
"L" "10-22-1887" "0" "Princeton (NJ)" "42" "Princeton, NJ" "" 10 22 1887 "Pennsylvania"
"L" "10-29-1887" "0" "Yale (CT)" "50" "Philadelphia, PA" "" 10 29 1887 "Pennsylvania"
"W" "11-02-1887" "13" "Rutgers (NJ)" "10" "New Brunswick, NJ" "Rutgers led 10-8 as time expires- time extended to allow Penn goal from field for 13-10 win" 11 2 1887 "Pennsylvania"
"L" "11-05-1887" "0" "Princeton (NJ)" "95" "Philadelphia, PA" "" 11 5 1887 "Pennsylvania"
"W" "11-09-1887" "36" "Haverford (PA)" "0" "Philadelphia, PA" "" 11 9 1887 "Pennsylvania"
"W" "11-12-1887" "6" "Lehigh (PA)" "4" "Philadelphia, PA" "" 11 12 1887 "Pennsylvania"
"L" "11-16-1887" "0" "Lafayette (PA)" "20" "Philadelphia, PA" "" 11 16 1887 "Pennsylvania"
"L" "11-19-1887" "0" "Harvard (MA)" "42" "Cambridge, MA" "" 11 19 1887 "Pennsylvania"
"L" "11-24-1887" "4" "Wesleyan (CT)" "10" "New York, NY" "" 11 24 1887 "Pennsylvania"
"W" "10-03-1888" "20" "Philadelphia All-Stars (PA)" "6" "Philadelphia, PA" "" 10 3 1888 "Pennsylvania"
"W" "10-06-1888" "48" "Stevens Tech (NJ)" "0" "Philadelphia, PA" "" 10 6 1888 "Pennsylvania"
"L" "10-10-1888" "0" "Princeton (NJ)" "63" "Princeton, NJ" "" 10 10 1888 "Pennsylvania"
"L" "10-13-1888" "0" "Yale (CT)" "34" "Philadelphia, PA" "" 10 13 1888 "Pennsylvania"
"W" "10-17-1888" "44" "Swarthmore (PA)" "6" "Swarthmore, PA" "" 10 17 1888 "Pennsylvania"
"L" "10-20-1888" "0" "Princeton (NJ)" "38" "Princeton, NJ" "" 10 20 1888 "Pennsylvania"
"W" "10-24-1888" "12" "Tioga AA (NY)" "4" "Philadelphia, PA" "" 10 24 1888 "Pennsylvania"
"W" "10-27-1888" "36" "Lehigh (PA)" "0" "Bethlehem, PA" "" 10 27 1888 "Pennsylvania"
"L" "11-03-1888" "0" "Yale (CT)" "54" "New Haven, CT" "" 11 3 1888 "Pennsylvania"
"L" "11-07-1888" "6" "Lafayette (PA)" "12" "Easton, PA" "" 11 7 1888 "Pennsylvania"
"L" "11-10-1888" "0" "Princeton (NJ)" "4" "Philadelphia, PA" "" 11 10 1888 "Pennsylvania"
"L" "11-19-1888" "0" "Harvard (MA)" "50" "Philadelphia, PA" "" 11 19 1888 "Pennsylvania"
"W" "11-21-1888" "50" "Lafayette (PA)" "0" "Philadelphia, PA" "" 11 21 1888 "Pennsylvania"
"W" "11-27-1888" "18" "Wesleyan (CT)" "6" "New York, NY" "" 11 27 1888 "Pennsylvania"
"W" "11-30-1888" "24" "Johns Hopkins (MD)" "10" "Baltimore, MD" "" 11 30 1888 "Pennsylvania"
"W" "12-01-1888" "20" "Navy (MD)" "9" "Annapolis, MD" "" 12 1 1888 "Pennsylvania"
"W" "01-19-1889" "10" "Rutgers (NJ)" "0" "New York, NY" "Madison Square Garden" 1 19 1889 "Pennsylvania"
"W" "10-03-1889" "30" "Philadelphia All-Stars (PA)" "6" "Philadelphia, PA" "" 10 3 1889 "Pennsylvania"
"W" "10-05-1889" "82" "Swarthmore (PA)" "0" "Philadelphia, PA" "" 10 5 1889 "Pennsylvania"
"W" "10-12-1889" "4" "Rutgers (NJ)" "0" "New Brunswick, NJ" "" 10 12 1889 "Pennsylvania"
"W" "10-19-1889" "6" "Lehigh (PA)" "4" "Philadelphia, PA" "" 10 19 1889 "Pennsylvania"
"L" "10-26-1889" "4" "Princeton (NJ)" "72" "Philadelphia, PA" "" 10 26 1889 "Pennsylvania"
"W" "10-26-1889" "14" "Rutgers (NJ)" "0" "Philadelphia, PA" "" 10 26 1889 "Pennsylvania"
"L" "10-30-1889" "10" "Yale (CT)" "22" "Philadelphia, PA" "" 10 30 1889 "Pennsylvania"
"L" "11-02-1889" "0" "Harvard (MA)" "35" "Cambridge, MA" "" 11 2 1889 "Pennsylvania"
"L" "11-06-1889" "8" "Lafayette (PA)" "10" "Easton, PA" "" 11 6 1889 "Pennsylvania"
"W" "11-09-1889" "24" "Columbia (NY)" "0" "New York, NY" "" 11 9 1889 "Pennsylvania"
"L" "11-20-1889" "0" "Lehigh (PA)" "8" "Bethlehem, PA" "" 11 20 1889 "Pennsylvania"
"W" "11-23-1889" "14" "Lafayette (PA)" "0" "Philadelphia, PA" "" 11 23 1889 "Pennsylvania"
"L" "11-28-1889" "2" "Wesleyan (CT)" "10" "New York, NY" "" 11 28 1889 "Pennsylvania"
"W" "10-01-1890" "10" "Swarthmore (PA)" "0" "Swarthmore, PA" "" 10 1 1890 "Pennsylvania"
"W" "10-04-1890" "16" "Rutgers (NJ)" "4" "Philadelphia, PA" "" 10 4 1890 "Pennsylvania"
"W" "10-10-1890" "20" "Penn St." "0" "Philadelphia, PA" "" 10 10 1890 "Pennsylvania"
"L" "10-15-1890" "0" "Princeton (NJ)" "18" "Princeton, NJ" "" 10 15 1890 "Pennsylvania"
"W" "10-18-1890" "8" "Lehigh (PA)" "0" "Philadelphia, PA" "" 10 18 1890 "Pennsylvania"
"W" "10-22-1890" "18" "Columbia (NY)" "0" "New York, NY" "" 10 22 1890 "Pennsylvania"
"W" "10-25-1890" "28" "Franklin & Marshall (PA)" "0" "Philadelphia, PA" "" 10 25 1890 "Pennsylvania"
"W" "10-31-1890" "72" "Virginia" "0" "Washington, DC" "" 10 31 1890 "Pennsylvania"
"W" "11-05-1890" "34" "Schuylkill Navy AC (PA)" "10" "Philadelphia, PA" "" 11 5 1890 "Pennsylvania"
"L" "11-08-1890" "0" "Princeton (NJ)" "6" "Princeton, NJ" "" 11 8 1890 "Pennsylvania"
"L" "11-15-1890" "0" "Yale (CT)" "60" "New Haven, CT" "" 11 15 1890 "Pennsylvania"
"W" "11-22-1890" "17" "Lehigh (PA)" "14" "Bethlehem, PA" "" 11 22 1890 "Pennsylvania"
"W" "11-26-1890" "16" "Wesleyan (CT)" "10" "Brooklyn, NY" "" 11 26 1890 "Pennsylvania"
"W" "12-13-1890" "20" "Rutgers (NJ)" "12" "New York, NY" "" 12 13 1890 "Pennsylvania"
"W" "10-03-1891" "4" "Philadelphia All-Stars (PA)" "0" "Philadelphia, PA" "" 10 3 1891 "Pennsylvania"
"W" "10-08-1891" "24" "Schuylkill Navy AC (PA)" "0" "Philadelphia, PA" "" 10 8 1891 "Pennsylvania"
"W" "10-10-1891" "34" "Haverford (PA)" "0" "Philadelphia, PA" "" 10 10 1891 "Pennsylvania"
"W" "10-17-1891" "26" "Orange AC (NJ)" "0" "Orange, NJ" "" 10 17 1891 "Pennsylvania"
"W" "10-21-1891" "32" "Rutgers (NJ)" "6" "Philadelphia, PA" "" 10 21 1891 "Pennsylvania"
"W" "10-24-1891" "42" "Lehigh (PA)" "0" "Bethlehem, PA" "" 10 24 1891 "Pennsylvania"
"W" "10-28-1891" "15" "Lafayette (PA)" "6" "Philadelphia, PA" "" 10 28 1891 "Pennsylvania"
"W" "10-31-1891" "28" "Trinity (CT)" "5" "Philadelphia, PA" "" 10 31 1891 "Pennsylvania"
"L" "11-07-1891" "0" "Princeton (NJ)" "24" "Manheim, PA" "" 11 7 1891 "Pennsylvania"
"L" "11-14-1891" "0" "Yale (CT)" "48" "New York, NY" "" 11 14 1891 "Pennsylvania"
"W" "11-18-1891" "12" "Lafayette (PA)" "10" "Easton, PA" "" 11 18 1891 "Pennsylvania"
"W" "11-21-1891" "32" "Lehigh (PA)" "0" "Philadelphia, PA" "" 11 21 1891 "Pennsylvania"
"W" "11-25-1891" "18" "Wesleyan (CT)" "10" "New York, NY" "" 11 25 1891 "Pennsylvania"
"W" "09-28-1892" "22" "Swarthmore (PA)" "0" "Swarthmore, PA" "" 9 28 1892 "Pennsylvania"
"W" "10-01-1892" "20" "Penn St." "0" "Philadelphia, PA" "" 10 1 1892 "Pennsylvania"
"W" "10-05-1892" "56" "Haverford (PA)" "0" "Philadelphia, PA" "" 10 5 1892 "Pennsylvania"
"W" "10-11-1892" "32" "Virginia" "0" "Charlottesville, VA" "" 10 11 1892 "Pennsylvania"
"W" "10-12-1892" "16" "Navy (MD)" "0" "Annapolis, MD" "" 10 12 1892 "Pennsylvania"
"W" "10-15-1892" "23" "Crescent AC (NY)" "0" "New York, NY" "" 10 15 1892 "Pennsylvania"
"W" "10-19-1892" "78" "Dickinson (PA)" "0" "Philadelphia, PA" "" 10 19 1892 "Pennsylvania"
"W" "10-21-1892" "50" "Williams (MA)" "0" "Philadelphia, PA" "" 10 21 1892 "Pennsylvania"
"W" "10-22-1892" "34" "Franklin & Marshall (PA)" "0" "Philadelphia, PA" "" 10 22 1892 "Pennsylvania"
"W" "10-26-1892" "8" "Lafayette (PA)" "6" "Easton, PA" "" 10 26 1892 "Pennsylvania"
"W" "10-29-1892" "12" "Chicago AA (IL)" "10" "Philadelphia, PA" "" 10 29 1892 "Pennsylvania"
"W" "11-05-1892" "6" "Princeton (NJ)" "4" "Manheim, PA" "" 11 5 1892 "Pennsylvania"
"W" "11-08-1892" "4" "Lehigh (PA)" "0" "Philadelphia, PA" "" 11 8 1892 "Pennsylvania"
"L" "11-12-1892" "0" "Yale (CT)" "28" "New York, NY" "" 11 12 1892 "Pennsylvania"
"W" "11-16-1892" "10" "Lafayette (PA)" "4" "Philadelphia, PA" "" 11 16 1892 "Pennsylvania"
"W" "11-25-1892" "34" "Wesleyan (CT)" "0" "Manheim, PA" "" 11 25 1892 "Pennsylvania"
"W" "09-30-1893" "48" "Franklin & Marshall (PA)" "0" "Philadelphia, PA" "" 9 30 1893 "Pennsylvania"
"W" "10-04-1893" "74" "Gettysburg (PA)" "0" "Philadelphia, PA" "" 10 4 1893 "Pennsylvania"
"W" "10-07-1893" "30" "Columbia AC (DC)" "0" "Philadelphia, PA" "" 10 7 1893 "Pennsylvania"
"W" "10-09-1893" "20" "Columbia AC (DC)" "6" "Washington, DC" "" 10 9 1893 "Pennsylvania"
"W" "10-10-1893" "12" "Georgetown (DC)" "0" "Washington, DC" "" 10 10 1893 "Pennsylvania"
"W" "10-11-1893" "34" "Navy (MD)" "0" "Annapolis, MD" "" 10 11 1893 "Pennsylvania"
"W" "10-14-1893" "34" "Volunteer AC (NY)" "0" "Philadelphia, PA" "" 10 14 1893 "Pennsylvania"
"W" "10-18-1893" "32" "Lehigh (PA)" "6" "Bethlehem, PA" "" 10 18 1893 "Pennsylvania"
"W" "10-21-1893" "40" "Crescent AC (NY)" "0" "New York, NY" "" 10 21 1893 "Pennsylvania"
"W" "10-25-1893" "18" "Penn St." "6" "Philadelphia, PA" "" 10 25 1893 "Pennsylvania"
"W" "10-28-1893" "82" "Lafayette (PA)" "0" "Philadelphia, PA" "" 10 28 1893 "Pennsylvania"
"L" "11-04-1893" "0" "Princeton (NJ)" "4" "Manheim, PA" "" 11 4 1893 "Pennsylvania"
"L" "11-11-1893" "6" "Yale (CT)" "14" "New York, NY" "" 11 11 1893 "Pennsylvania"
"W" "11-18-1893" "50" "Cornell (NY)" "0" "Manheim, PA" "" 11 18 1893 "Pennsylvania"
"L" "11-30-1893" "4" "Harvard (MA)" "26" "Cambridge, MA" "" 11 30 1893 "Pennsylvania"
"W" "10-03-1894" "34" "Franklin & Marshall (PA)" "0" "Lancaster, PA" "" 10 3 1894 "Pennsylvania"
"W" "10-06-1894" "66" "Swarthmore (PA)" "0" "Philadelphia, PA" "" 10 6 1894 "Pennsylvania"
