"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1947" "0" "Pacific (OR)" "48" "?" "" 0 0 1947 "Portland St. (OR)"
"L" "00-00-1947" "7" "Portland JV (OR)" "18" "?" "" 0 0 1947 "Portland St. (OR)"
"L" "00-00-1947" "0" "Lower Columbia JC (WA)" "7" "?" "" 0 0 1947 "Portland St. (OR)"
"L" "00-00-1947" "0" "Western Oregon" "13" "Monmouth, OR" "" 0 0 1947 "Portland St. (OR)"
"L" "00-00-1947" "0" "Lewis-Clark St. (ID)" "25" "?" "" 0 0 1947 "Portland St. (OR)"
"L" "00-00-1947" "0" "Oregon St. Freshmen" "20" "?" "" 0 0 1947 "Portland St. (OR)"
"L" "00-00-1947" "0" "Everett JC (WA)" "26" "?" "" 0 0 1947 "Portland St. (OR)"
"L" "00-00-1947" "7" "Saint Martin's (WA)" "14" "?" "" 0 0 1947 "Portland St. (OR)"
"W" "00-00-1947" "36" "Sand Point NAS (WA)" "7" "?" "" 0 0 1947 "Portland St. (OR)"
"W" "00-00-1948" "12" "Portland JV (OR)" "0" "?" "" 0 0 1948 "Portland St. (OR)"
"L" "10-02-1948" "0" "Lewis & Clark (OR)" "20" "Portland, OR" "" 10 2 1948 "Portland St. (OR)"
"W" "00-00-1948" "19" "Lower Columbia JC (WA)" "0" "?" "" 0 0 1948 "Portland St. (OR)"
"L" "00-00-1948" "6" "Oregon Freshmen" "20" "?" "" 0 0 1948 "Portland St. (OR)"
"L" "10-30-1948" "7" "Humboldt St. (CA)" "13" "Arcata, CA" "" 10 30 1948 "Portland St. (OR)"
"T" "11-06-1948" "0" "Oregon Tech" "0" "Portland, OR" "" 11 6 1948 "Portland St. (OR)"
"T" "11-06-1948" "13" "Western Oregon" "13" "Portland, OR" "" 11 6 1948 "Portland St. (OR)"
"L" "11-13-1948" "6" "Lewis-Clark St. (ID)" "18" "Portland, OR" "" 11 13 1948 "Portland St. (OR)"
"W" "00-00-1949" "46" "Wenatchee Valley JC (WA)" "7" "?" "" 0 0 1949 "Portland St. (OR)"
"L" "10-15-1949" "13" "Western Oregon" "25" "Monmouth, OR" "" 10 15 1949 "Portland St. (OR)"
"L" "00-00-1949" "13" "Grays Harbor JC (WA)" "26" "?" "" 0 0 1949 "Portland St. (OR)"
"W" "00-00-1949" "33" "Oregon Tech" "7" "?" "" 0 0 1949 "Portland St. (OR)"
"L" "11-05-1949" "6" "Everett JC (WA)" "12" "Everett, WA" "" 11 5 1949 "Portland St. (OR)"
"W" "00-00-1949" "21" "Clark College (WA)" "16" "?" "" 0 0 1949 "Portland St. (OR)"
"W" "00-00-1949" "38" "Olympic JC (WA)" "7" "?" "" 0 0 1949 "Portland St. (OR)"
"W" "00-00-1949" "36" "Tongue Point Navy Base (OR)" "7" "?" "" 0 0 1949 "Portland St. (OR)"
