"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1907" "7" "Wiley (TX)" "0" "?" "" 0 0 1907 "Prairie View A&M (TX)"
"L" "00-00-1917" "0" "Camp Logan - 370th Infantry (TX)" "3" "?" "" 0 0 1917 "Prairie View A&M (TX)"
"L" "00-00-1920" "6" "Tuskegee (AL)" "7" "?" "" 0 0 1920 "Prairie View A&M (TX)"
"L" "00-00-1921" "3" "Wiley (TX)" "7" "?" "" 0 0 1921 "Prairie View A&M (TX)"
"W" "00-00-1922" "19" "Wiley (TX)" "6" "?" "" 0 0 1922 "Prairie View A&M (TX)"
"L" "00-00-1922" "7" "Paul Quinn (TX)" "13" "?" "" 0 0 1922 "Prairie View A&M (TX)"
"W" "00-00-1923" "15" "Texas College" "0" "?" "" 0 0 1923 "Prairie View A&M (TX)"
"W" "10-17-1924" "74" "Sour Lake College (TX)" "0" "Prairie View, TX" "" 10 17 1924 "Prairie View A&M (TX)"
"W" "10-24-1924" "16" "Texas College" "0" "Prairie View, TX" "" 10 24 1924 "Prairie View A&M (TX)"
"W" "10-31-1924" "23" "Samuel Huston (TX)" "0" "Austin, TX" "" 10 31 1924 "Prairie View A&M (TX)"
"W" "11-07-1924" "3" "Wiley (TX)" "0" "Marshall, TX" "" 11 7 1924 "Prairie View A&M (TX)"
"L" "11-14-1924" "0" "Bishop (TX)" "6" "Prairie View, TX" "" 11 14 1924 "Prairie View A&M (TX)"
"T" "11-20-1924" "0" "Paul Quinn (TX)" "0" "Prairie View, TX" "" 11 20 1924 "Prairie View A&M (TX)"
"W" "00-00-1924" "21" "Southwestern College" "0" "?" "" 0 0 1924 "Prairie View A&M (TX)"
"W" "00-00-1925" "13" "Houston College for Negroes (TX)" "0" "?" "" 0 0 1925 "Prairie View A&M (TX)"
"W" "00-00-1925" "44" "Southern Pacific College" "0" "?" "" 0 0 1925 "Prairie View A&M (TX)"
"L" "10-17-1925" "0" "Langston (OK)" "19" "Langston, OK" "" 10 17 1925 "Prairie View A&M (TX)"
"W" "10-24-1925" "12" "Wiley (TX)" "6" "Prairie View, TX" "" 10 24 1925 "Prairie View A&M (TX)"
"L" "00-00-1925" "6" "Paul Quinn (TX)" "13" "?" "" 0 0 1925 "Prairie View A&M (TX)"
"L" "00-00-1925" "3" "Bishop (TX)" "13" "?" "" 0 0 1925 "Prairie View A&M (TX)"
"W" "00-00-1925" "34" "Texas College" "0" "?" "" 0 0 1925 "Prairie View A&M (TX)"
"W" "00-00-1925" "19" "Samuel Huston (TX)" "7" "?" "" 0 0 1925 "Prairie View A&M (TX)"
"W" "12-04-1925" "49" "New Orleans (LA)" "6" "Houston, TX" "" 12 4 1925 "Prairie View A&M (TX)"
"W" "00-00-1926" "46" "Houston HS (TX)" "0" "?" "" 0 0 1926 "Prairie View A&M (TX)"
"L" "10-22-1926" "0" "Samuel Huston (TX)" "31" "Austin, TX" "" 10 22 1926 "Prairie View A&M (TX)"
"L" "10-28-1926" "0" "Langston (OK)" "12" "Houston, TX" "" 10 28 1926 "Prairie View A&M (TX)"
"T" "11-04-1926" "6" "Paul Quinn (TX)" "6" "Prairie View, TX" "" 11 4 1926 "Prairie View A&M (TX)"
"W" "11-11-1926" "27" "Bishop (TX)" "0" "Prairie View, TX" "" 11 11 1926 "Prairie View A&M (TX)"
"W" "11-18-1926" "3" "Wiley (TX)" "0" "Marshall, TX" "" 11 18 1926 "Prairie View A&M (TX)"
"W" "11-25-1926" "72" "Texas College" "12" "Prairie View, TX" "" 11 25 1926 "Prairie View A&M (TX)"
"W" "00-00-1927" "44" "Beaumont HS (TX)" "0" "?" "" 0 0 1927 "Prairie View A&M (TX)"
"L" "00-00-1927" "6" "Langston (OK)" "13" "?" "" 0 0 1927 "Prairie View A&M (TX)"
"L" "10-28-1927" "2" "Wiley (TX)" "7" "Prairie View, TX" "" 10 28 1927 "Prairie View A&M (TX)"
"W" "00-00-1927" "2" "Paul Quinn (TX)" "0" "?" "" 0 0 1927 "Prairie View A&M (TX)"
"W" "00-00-1927" "20" "Bishop (TX)" "7" "?" "" 0 0 1927 "Prairie View A&M (TX)"
"W" "11-18-1927" "9" "Samuel Huston (TX)" "0" "Prairie View, TX" "" 11 18 1927 "Prairie View A&M (TX)"
"T" "00-00-1927" "12" "Texas College" "12" "?" "" 0 0 1927 "Prairie View A&M (TX)"
"W" "00-00-1928" "24" "Beaumont HS (TX)" "6" "?" "" 0 0 1928 "Prairie View A&M (TX)"
"W" "00-00-1928" "32" "Houston College for Negroes (TX)" "6" "?" "" 0 0 1928 "Prairie View A&M (TX)"
"T" "00-00-1928" "19" "Langston (OK)" "19" "?" "" 0 0 1928 "Prairie View A&M (TX)"
"W" "11-03-1928" "20" "Paul Quinn (TX)" "6" "Prairie View, TX" "" 11 3 1928 "Prairie View A&M (TX)"
"L" "11-12-1928" "6" "Bishop (TX)" "26" "Prairie View, TX" "" 11 12 1928 "Prairie View A&M (TX)"
"L" "11-23-1928" "15" "Wiley (TX)" "19" "Marshall, TX" "Wiley Field" 11 23 1928 "Prairie View A&M (TX)"
"W" "11-29-1928" "38" "Texas College" "0" "Prairie View, TX" "" 11 29 1928 "Prairie View A&M (TX)"
"W" "12-07-1928" "6" "Samuel Huston (TX)" "2" "Austin, TX" "" 12 7 1928 "Prairie View A&M (TX)"
"L" "01-01-1929" "0" "Clark Atlanta (GA)" "7" "Houston, TX" "Prairie View Bowl" 1 1 1929 "Prairie View A&M (TX)"
"W" "00-00-1929" "28" "Bryan Baptist Academy (TX)" "0" "?" "" 0 0 1929 "Prairie View A&M (TX)"
"W" "00-00-1929" "6" "Beaumont YMCA (TX)" "0" "?" "" 0 0 1929 "Prairie View A&M (TX)"
"W" "00-00-1929" "32" "Houston College for Negroes (TX)" "0" "?" "" 0 0 1929 "Prairie View A&M (TX)"
"T" "10-21-1929" "0" "Wiley (TX)" "0" "Dallas, TX" "" 10 21 1929 "Prairie View A&M (TX)"
"W" "00-00-1929" "73" "Jarvis Christian (TX)" "0" "?" "" 0 0 1929 "Prairie View A&M (TX)"
"L" "11-11-1929" "6" "Bishop (TX)" "14" "Marshall, TX" "" 11 11 1929 "Prairie View A&M (TX)"
"W" "00-00-1929" "110" "Conroe HS (TX)" "0" "?" "" 0 0 1929 "Prairie View A&M (TX)"
"T" "11-28-1929" "6" "Texas College" "6" "Tyler, TX" "" 11 28 1929 "Prairie View A&M (TX)"
"W" "12-07-1929" "7" "Samuel Huston (TX)" "0" "Prairie View, TX" "" 12 7 1929 "Prairie View A&M (TX)"
"W" "12-14-1929" "6" "Alcorn St. (MS)" "0" "Jackson, MS" "" 12 14 1929 "Prairie View A&M (TX)"
"L" "01-01-1930" "0" "Fisk (TN)" "20" "?" "Prairie View Bowl" 1 1 1930 "Prairie View A&M (TX)"
"W" "00-00-1930" "15" "Houston College for Negroes (TX)" "0" "?" "" 0 0 1930 "Prairie View A&M (TX)"
