"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "11-06-1869" "4" "Rutgers (NJ)" "6" "New Brunswick, NJ" "Rutgers 6g - Princeton 4g" 11 6 1869 "Princeton (NJ)"
"W" "11-13-1869" "8" "Rutgers (NJ)" "0" "Princeton, NJ" "Princeton 8g - Rutgers 0" 11 13 1869 "Princeton (NJ)"
"W" "11-19-1870" "6" "Rutgers (NJ)" "2" "Princeton, NJ" "Princeton 6g - Rutgers 2g" 11 19 1870 "Princeton (NJ)"
"W" "11-23-1872" "4" "Rutgers (NJ)" "1" "Princeton, NJ" "Princeton 4g - Rutgers 1g" 11 23 1872 "Princeton (NJ)"
"W" "11-15-1873" "3" "Yale (CT)" "0" "New Haven, CT" "Princeton 3g - Yale 0" 11 15 1873 "Princeton (NJ)"
"W" "11-14-1874" "6" "Columbia (NY)" "0" "Princeton, NJ" "Princeton 6g - Columbia 0" 11 14 1874 "Princeton (NJ)"
"W" "11-21-1874" "6" "Rutgers (NJ)" "0" "Princeton, NJ" "Princeton 6g - Rutgers 0" 11 21 1874 "Princeton (NJ)"
"W" "11-13-1875" "6" "Columbia (NY)" "2" "Princeton, NJ" "Princeton 6g - Columbia 2g" 11 13 1875 "Princeton (NJ)"
"W" "11-20-1875" "6" "Stevens Tech (NJ)" "0" "Princeton, NJ" "Princeton 6g - Stevens Tech 0" 11 20 1875 "Princeton (NJ)"
"W" "11-11-1876" "6" "Pennsylvania" "0" "Philadelphia, PA" "Princeton 6g - Pennsylvania 0" 11 11 1876 "Princeton (NJ)"
"W" "11-18-1876" "3" "Columbia (NY)" "0" "New York, NY" "Princeton 3g - Columbia 0" 11 18 1876 "Princeton (NJ)"
"W" "11-25-1876" "6" "Pennsylvania" "0" "Princeton, NJ" "Princeton 6g - Pennsylvania 0" 11 25 1876 "Princeton (NJ)"
"L" "11-30-1876" "0" "Yale (CT)" "2" "Hoboken, NJ" "Yale 2g,2t - Princeton 0" 11 30 1876 "Princeton (NJ)"
"L" "04-28-1877" "0" "Harvard (MA)" "1" "Cambridge, MA" "Harvard 1g,2t - Princeton 1t" 4 28 1877 "Princeton (NJ)"
"W" "11-03-1877" "1" "Harvard (MA)" "0" "Princeton, NJ" "Princeton 1g,1t - Harvard 2t" 11 3 1877 "Princeton (NJ)"
"W" "11-17-1877" "4" "Columbia (NY)" "0" "Princeton, NJ" "Princeton 4g,6t - Columbia 0" 11 17 1877 "Princeton (NJ)"
"T" "12-08-1877" "0" "Yale (CT)" "0" "Hoboken, NJ" "Yale 2t,2s - Princeton 5s" 12 8 1877 "Princeton (NJ)"
"W" "10-19-1878" "2" "Pennsylvania" "0" "Princeton, NJ" "Princeton 2g,4t - Pennsylvania 0" 10 19 1878 "Princeton (NJ)"
"W" "10-26-1878" "4" "Stevens Tech (NJ)" "0" "Princeton, NJ" "Princeton 4g,6t - Stevens Tech 0" 10 26 1878 "Princeton (NJ)"
"W" "11-02-1878" "5" "Rutgers (NJ)" "0" "Princeton, NJ" "Princeton 5g,8t - Rutgers 0" 11 2 1878 "Princeton (NJ)"
"W" "11-09-1878" "2" "Pennsylvania" "1" "Philadelphia, PA" "Princeton 2g,5t - Pennsylvania 1g" 11 9 1878 "Princeton (NJ)"
