"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "10-24-1895" "6" "Pawtucket HS (RI)" "0" "Kingston, RI" "" 10 24 1895 "Rhode Island"
"L" "11-16-1895" "0" "Friends School" "10" "?" "" 11 16 1895 "Rhode Island"
"L" "10-11-1896" "0" "Friends School" "8" "Kingston, RI" "" 10 11 1896 "Rhode Island"
"L" "10-18-1896" "0" "Camp Street Athletics" "8" "Kingston, RI" "" 10 18 1896 "Rhode Island"
"L" "10-25-1896" "0" "Providence HS (RI)" "2" "Kingston, RI" "" 10 25 1896 "Rhode Island"
"L" "11-15-1896" "6" "Friends School" "18" "?" "" 11 15 1896 "Rhode Island"
"L" "10-16-1897" "0" "New London HS (CT)" "6" "New London, CT" "" 10 16 1897 "Rhode Island"
"L" "10-23-1897" "8" "Connecticut" "22" "Storrs, CT" "" 10 23 1897 "Rhode Island"
"W" "11-13-1897" "22" "Pawtucket HS (RI)" "0" "Kingston, RI" "" 11 13 1897 "Rhode Island"
"W" "10-07-1898" "12" "Westerly HS (RI)" "6" "Kingston, RI" "" 10 7 1898 "Rhode Island"
"W" "10-15-1898" "33" "Westerly AA (RI)" "0" "Kingston, RI" "" 10 15 1898 "Rhode Island"
"W" "10-29-1898" "16" "Providence HS (RI)" "0" "Kingston, RI" "" 10 29 1898 "Rhode Island"
"W" "11-05-1898" "5" "Brown Freshmen (RI)" "0" "Kingston, RI" "" 11 5 1898 "Rhode Island"
"W" "11-12-1898" "2" "East Greenwich Academy (RI)" "0" "Kingston, RI" "" 11 12 1898 "Rhode Island"
"W" "10-01-1899" "11" "Dean Academy (MA)" "0" "Kingston, RI" "" 10 1 1899 "Rhode Island"
"L" "10-14-1899" "5" "Brown Freshmen (RI)" "6" "Kingston, RI" "" 10 14 1899 "Rhode Island"
"T" "10-18-1899" "0" "Westerly HS (RI)" "0" "Kingston, RI" "" 10 18 1899 "Rhode Island"
"W" "11-08-1899" "22" "South Kingstown HS" "0" "Kingston, RI" "" 11 8 1899 "Rhode Island"
"L" "11-11-1899" "6" "Friends School" "27" "Kingston, RI" "" 11 11 1899 "Rhode Island"
"L" "11-18-1899" "0" "Connecticut" "17" "Storrs, CT" "" 11 18 1899 "Rhode Island"
"T" "10-13-1900" "5" "Newport HS (RI)" "5" "?" "" 10 13 1900 "Rhode Island"
"T" "10-19-1900" "0" "Westerly HS (RI)" "0" "?" "" 10 19 1900 "Rhode Island"
"W" "10-24-1900" "28" "S.K. HS" "0" "?" "" 10 24 1900 "Rhode Island"
"T" "10-27-1900" "0" "Friends School" "0" "?" "" 10 27 1900 "Rhode Island"
"W" "11-06-1900" "5" "Attleboro HS (MA)" "0" "?" "" 11 6 1900 "Rhode Island"
"L" "11-10-1900" "0" "Connecticut" "42" "Kingston, RI" "" 11 10 1900 "Rhode Island"
"L" "11-16-1900" "6" "Westerly HS (RI)" "11" "?" "" 11 16 1900 "Rhode Island"
"L" "11-03-1901" "0" "Connecticut" "27" "Storrs, CT" "" 11 3 1901 "Rhode Island"
"L" "11-17-1901" "0" "Brown Sophomores (RI)" "10" "Kingston, RI" "" 11 17 1901 "Rhode Island"
"T" "10-03-1903" "0" "Fall River HS (MA)" "0" "?" "" 10 3 1903 "Rhode Island"
"L" "10-14-1903" "0" "Massachusetts" "46" "Amherst, MA" "" 10 14 1903 "Rhode Island"
"L" "10-17-1903" "0" "Brown Freshmen (RI)" "22" "?" "" 10 17 1903 "Rhode Island"
"W" "10-24-1903" "5" "Friends School" "0" "?" "Friends School Forfeits" 10 24 1903 "Rhode Island"
"L" "10-31-1903" "0" "Worcester Tech (MA)" "45" "?" "" 10 31 1903 "Rhode Island"
"L" "11-07-1903" "0" "Dean Academy (MA)" "30" "?" "" 11 7 1903 "Rhode Island"
