"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "12-03-1881" "3" "Randolph-Macon (VA)" "0" "Ashland, VA" "Richmond 3g - Randolph-Macon 0" 12 3 1881 "Richmond (VA)"
"W" "12-17-1881" "3" "Randolph-Macon (VA)" "0" "Richmond, VA" "Richmond 3g - Randolph-Macon 0" 12 17 1881 "Richmond (VA)"
"W" "12-09-1882" "5" "Randolph-Macon (VA)" "1" "Richmond, VA" "Richmond 5g - Randolph-Macon 0" 12 9 1882 "Richmond (VA)"
"W" "11-12-1885" "3" "Randolph-Macon (VA)" "1" "Richmond, VA" "" 11 12 1885 "Richmond (VA)"
"L" "11-12-1885" "1" "Randolph-Macon (VA)" "2" "Richmond, VA" "" 11 12 1885 "Richmond (VA)"
"L" "10-21-1886" "0" "Randolph-Macon (VA)" "1" "Richmond, VA" "" 10 21 1886 "Richmond (VA)"
"W" "11-20-1886" "3" "Randolph-Macon (VA)" "1" "Ashland, VA" "" 11 20 1886 "Richmond (VA)"
"L" "11-12-1887" "0" "McCabe's University School (VA)" "57" "?" "" 11 12 1887 "Richmond (VA)"
"W" "11-24-1887" "14" "McCabe's University School (VA)" "13" "Richmond, VA" "" 11 24 1887 "Richmond (VA)"
"W" "11-12-1888" "11" "Randolph-Macon (VA)" "0" "Ashland, VA" "" 11 12 1888 "Richmond (VA)"
"L" "11-29-1888" "0" "Petersburg AC (VA)" "6" "Richmond, VA" "" 11 29 1888 "Richmond (VA)"
"L" "12-09-1888" "0" "McCabe's University School (VA)" "6" "Richmond, VA" "" 12 9 1888 "Richmond (VA)"
"L" "11-28-1889" "0" "Petersburg AC (VA)" "6" "Richmond, VA" "" 11 28 1889 "Richmond (VA)"
"L" "12-10-1889" "14" "Wake Forest (NC)" "32" "Wake Forest, NC" "" 12 10 1889 "Richmond (VA)"
"W" "12-16-1889" "42" "Randolph-Macon (VA)" "0" "Richmond, VA" "" 12 16 1889 "Richmond (VA)"
"L" "11-01-1890" "4" "Randolph-Macon (VA)" "6" "Ashland, VA" "" 11 1 1890 "Richmond (VA)"
"L" "11-20-1890" "6" "Washington & Lee (VA)" "28" "Lexington, VA" "" 11 20 1890 "Richmond (VA)"
"L" "11-27-1890" "0" "Randolph-Macon (VA)" "4" "Richmond, VA" "" 11 27 1890 "Richmond (VA)"
"L" "11-09-1891" "4" "Randolph-Macon (VA)" "12" "Richmond, VA" "" 11 9 1891 "Richmond (VA)"
"L" "11-23-1891" "4" "Keswick School" "12" "Richmond, VA" "" 11 23 1891 "Richmond (VA)"
"L" "10-15-1892" "6" "Washington & Lee (VA)" "8" "Richmond, VA" "" 10 15 1892 "Richmond (VA)"
"L" "10-21-1892" "0" "North Carolina" "40" "Richmond, VA" "" 10 21 1892 "Richmond (VA)"
"L" "10-24-1892" "0" "Wake Forest (NC)" "16" "Richmond, VA" "" 10 24 1892 "Richmond (VA)"
"W" "11-24-1892" "24" "Hampden-Sydney (VA)" "0" "Hampden-Sydney, VA" "" 11 24 1892 "Richmond (VA)"
"W" "12-19-1892" "16" "Randolph-Macon (VA)" "0" "Ashland, VA" "" 12 19 1892 "Richmond (VA)"
"W" "09-30-1893" "22" "Capitol City AC" "0" "Richmond, VA" "" 9 30 1893 "Richmond (VA)"
"L" "10-09-1893" "4" "Virginia" "34" "Charlottesville, VA" "" 10 9 1893 "Richmond (VA)"
"L" "11-10-1893" "0" "Virginia Military Institute" "34" "Lexington, VA" "" 11 10 1893 "Richmond (VA)"
"W" "11-13-1893" "24" "Alleghany Collegiate Institute (WV)" "4" "?" "" 11 13 1893 "Richmond (VA)"
"W" "11-18-1893" "12" "Randolph-Macon (VA)" "0" "Richmond, VA" "" 11 18 1893 "Richmond (VA)"
"L" "10-02-1894" "0" "Virginia" "48" "Charlottesville, VA" "" 10 2 1894 "Richmond (VA)"
"L" "10-18-1894" "0" "Virginia" "28" "Richmond, VA" "" 10 18 1894 "Richmond (VA)"
"T" "11-03-1894" "4" "Norfolk YMCA (VA)" "4" "Norfolk, VA" "" 11 3 1894 "Richmond (VA)"
"L" "11-10-1894" "0" "North Carolina" "28" "Greensboro, NC" "" 11 10 1894 "Richmond (VA)"
"L" "11-17-1894" "0" "Georgetown (DC)" "34" "Washington, DC" "" 11 17 1894 "Richmond (VA)"
"T" "12-01-1894" "0" "Hampden-Sydney (VA)" "0" "Hampden-Sydney, VA" "" 12 1 1894 "Richmond (VA)"
"L" "10-10-1895" "4" "Hampton AC (VA)" "16" "Richmond, VA" "" 10 10 1895 "Richmond (VA)"
"L" "10-18-1895" "0" "North Carolina St." "40" "Raleigh, NC" "" 10 18 1895 "Richmond (VA)"
"T" "11-02-1895" "0" "Hampden-Sydney (VA)" "0" "Richmond, VA" "" 11 2 1895 "Richmond (VA)"
"L" "11-11-1895" "0" "Virginia Military Institute" "44" "Lexington, VA" "" 11 11 1895 "Richmond (VA)"
"L" "11-12-1895" "0" "Virginia" "62" "Charlottesville, VA" "" 11 12 1895 "Richmond (VA)"
"L" "11-19-1895" "0" "North Carolina" "34" "Chapel Hill, NC" "" 11 19 1895 "Richmond (VA)"
"L" "10-02-1897" "0" "Richmond AC (VA)" "26" "Richmond, VA" "" 10 2 1897 "Richmond (VA)"
"L" "10-09-1897" "0" "Hampton AC (VA)" "32" "Hampton, VA" "" 10 9 1897 "Richmond (VA)"
"W" "10-16-1897" "6" "Randolph-Macon (VA)" "4" "Richmond, VA" "" 10 16 1897 "Richmond (VA)"
"W" "10-30-1897" "26" "Petersburg YMCA (VA)" "0" "Petersburg, VA" "" 10 30 1897 "Richmond (VA)"
"W" "11-02-1897" "8" "Hampden-Sydney (VA)" "6" "Richmond, VA" "" 11 2 1897 "Richmond (VA)"
"L" "11-05-1897" "0" "George Washington (DC)" "22" "Richmond, VA" "" 11 5 1897 "Richmond (VA)"
"L" "11-09-1897" "0" "Saint Albans (VA)" "20" "Richmond, VA" "" 11 9 1897 "Richmond (VA)"
"L" "11-13-1897" "0" "Virginia Tech" "36" "Richmond, VA" "" 11 13 1897 "Richmond (VA)"
"T" "10-22-1898" "6" "Hampden-Sydney (VA)" "6" "Richmond, VA" "" 10 22 1898 "Richmond (VA)"
"W" "10-25-1898" "15" "Randolph-Macon (VA)" "0" "Ashland, VA" "" 10 25 1898 "Richmond (VA)"
"L" "10-29-1898" "0" "Virginia Military Institute" "16" "Lexington, VA" "" 10 29 1898 "Richmond (VA)"
"L" "10-31-1898" "0" "Washington & Lee (VA)" "6" "Lexington, VA" "" 10 31 1898 "Richmond (VA)"
"W" "11-14-1898" "12" "Washington & Lee (VA)" "0" "Richmond, VA" "" 11 14 1898 "Richmond (VA)"
"W" "11-19-1898" "15" "William & Mary (VA)" "0" "Richmond, VA" "" 11 19 1898 "Richmond (VA)"
"L" "11-24-1898" "0" "Newport News AC (VA)" "11" "Newport News, VA" "" 11 24 1898 "Richmond (VA)"
"L" "10-14-1899" "0" "Portsmouth AC (VA)" "16" "Portsmouth, VA" "" 10 14 1899 "Richmond (VA)"
"W" "10-19-1899" "17" "Pantops Academy (VA)" "0" "Richmond, VA" "" 10 19 1899 "Richmond (VA)"
"W" "10-21-1899" "41" "William & Mary (VA)" "0" "Richmond, VA" "" 10 21 1899 "Richmond (VA)"
"L" "10-28-1899" "5" "Hampden-Sydney (VA)" "17" "Richmond, VA" "" 10 28 1899 "Richmond (VA)"
"L" "10-10-1900" "0" "Virginia" "51" "Charlottesville, VA" "" 10 10 1900 "Richmond (VA)"
"W" "10-15-1900" "5" "Randolph-Macon (VA)" "0" "Richmond, VA" "" 10 15 1900 "Richmond (VA)"
"W" "10-20-1900" "11" "Fredericksburg College (VA)" "0" "Richmond, VA" "" 10 20 1900 "Richmond (VA)"
"L" "10-27-1900" "0" "Woodberry Forest School (VA)" "16" "Richmond, VA" "" 10 27 1900 "Richmond (VA)"
"L" "10-31-1900" "0" "Georgetown (DC)" "84" "Washington, DC" "" 10 31 1900 "Richmond (VA)"
"W" "11-13-1900" "11" "Randolph-Macon (VA)" "6" "Ashland, VA" "" 11 13 1900 "Richmond (VA)"
"L" "11-15-1900" "0" "Hampden-Sydney (VA)" "34" "Richmond, VA" "" 11 15 1900 "Richmond (VA)"
"L" "00-00-1901" "0" "Hampden-Sydney (VA)" "16" "?" "" 0 0 1901 "Richmond (VA)"
"L" "10-10-1901" "0" "Randolph-Macon (VA)" "6" "Richmond, VA" "" 10 10 1901 "Richmond (VA)"
"L" "10-26-1901" "0" "Washington & Lee (VA)" "39" "Lexington, VA" "" 10 26 1901 "Richmond (VA)"
"L" "10-28-1901" "0" "Virginia Military Institute" "79" "Lexington, VA" "" 10 28 1901 "Richmond (VA)"
"L" "11-02-1901" "0" "Hampden-Sydney (VA)" "70" "Richmond, VA" "" 11 2 1901 "Richmond (VA)"
"W" "11-09-1901" "27" "William & Mary (VA)" "11" "Williamsburg, VA" "" 11 9 1901 "Richmond (VA)"
"L" "11-20-1901" "0" "Randolph-Macon (VA)" "11" "Ashland, VA" "" 11 20 1901 "Richmond (VA)"
"W" "10-18-1902" "30" "Randolph-Macon (VA)" "0" "Richmond, VA" "" 10 18 1902 "Richmond (VA)"
"L" "10-25-1902" "0" "Virginia Military Institute" "33" "Lexington, VA" "" 10 25 1902 "Richmond (VA)"
"L" "10-27-1902" "0" "Washington & Lee (VA)" "29" "Lexington, VA" "" 10 27 1902 "Richmond (VA)"
"W" "11-08-1902" "50" "Hoge Academy (VA)" "0" "Richmond, VA" "" 11 8 1902 "Richmond (VA)"
"W" "11-15-1902" "23" "Hampden-Sydney (VA)" "11" "Richmond, VA" "" 11 15 1902 "Richmond (VA)"
"L" "11-27-1902" "5" "North Carolina St." "30" "Raleigh, NC" "" 11 27 1902 "Richmond (VA)"
"W" "10-03-1903" "38" "Petersburg YMCA (VA)" "0" "Richmond, VA" "" 10 3 1903 "Richmond (VA)"
"W" "10-10-1903" "34" "Fredericksburg College (VA)" "0" "Richmond, VA" "" 10 10 1903 "Richmond (VA)"
"L" "10-19-1903" "0" "Washington & Lee (VA)" "11" "Richmond, VA" "" 10 19 1903 "Richmond (VA)"
"T" "10-26-1903" "6" "Danville Military Institute (VA)" "6" "Richmond, VA" "" 10 26 1903 "Richmond (VA)"
"W" "10-31-1903" "23" "Hampden-Sydney (VA)" "0" "Norfolk, VA" "" 10 31 1903 "Richmond (VA)"
"W" "11-07-1903" "22" "George Washington (DC)" "6" "Richmond, VA" "" 11 7 1903 "Richmond (VA)"
"L" "11-12-1903" "0" "North Carolina St." "53" "Raleigh, NC" "" 11 12 1903 "Richmond (VA)"
"W" "11-14-1903" "24" "William & Mary (VA)" "0" "Richmond, VA" "" 11 14 1903 "Richmond (VA)"
"W" "11-21-1903" "16" "Randolph-Macon (VA)" "0" "Richmond, VA" "" 11 21 1903 "Richmond (VA)"
"L" "11-26-1903" "5" "Tulane (LA)" "18" "New Orleans, LA" "" 11 26 1903 "Richmond (VA)"
"L" "10-01-1904" "0" "Virginia Tech" "18" "Blacksburg, VA" "" 10 1 1904 "Richmond (VA)"
"W" "10-08-1904" "34" "Norfolk HS (VA)" "0" "Richmond, VA" "" 10 8 1904 "Richmond (VA)"
"L" "10-15-1904" "0" "George Washington (DC)" "17" "Washington, DC" "" 10 15 1904 "Richmond (VA)"
"L" "10-22-1904" "0" "Fort Monroe (VA)" "32" "Richmond, VA" "" 10 22 1904 "Richmond (VA)"
"L" "11-04-1904" "6" "William & Mary (VA)" "15" "Williamsburg, VA" "" 11 4 1904 "Richmond (VA)"
"L" "11-12-1904" "5" "Randolph-Macon (VA)" "16" "Richmond, VA" "" 11 12 1904 "Richmond (VA)"
"L" "10-03-1905" "0" "Washington & Lee (VA)" "34" "Lexington, VA" "" 10 3 1905 "Richmond (VA)"
"L" "10-07-1905" "0" "Randolph-Macon (VA)" "35" "Richmond, VA" "" 10 7 1905 "Richmond (VA)"
"T" "10-11-1905" "0" "William & Mary (VA)" "0" "Richmond, VA" "" 10 11 1905 "Richmond (VA)"
"L" "10-18-1905" "0" "William & Mary (VA)" "4" "Richmond, VA" "" 10 18 1905 "Richmond (VA)"
"W" "10-18-1905" "13" "Virginia Boat Club" "5" "Richmond, VA" "" 10 18 1905 "Richmond (VA)"
"L" "10-21-1905" "0" "Saint John's (MD)" "10" "Annapolis, MD" "" 10 21 1905 "Richmond (VA)"
"W" "10-28-1905" "5" "Richmond Indian School (VA)" "0" "Richmond, VA" "" 10 28 1905 "Richmond (VA)"
"L" "11-01-1905" "0" "Washington & Lee (VA)" "16" "Richmond, VA" "" 11 1 1905 "Richmond (VA)"
"W" "11-08-1905" "23" "William & Mary (VA)" "4" "Richmond, VA" "" 11 8 1905 "Richmond (VA)"
"T" "11-11-1905" "18" "Randolph-Macon (VA)" "18" "Richmond, VA" "" 11 11 1905 "Richmond (VA)"
"L" "09-29-1906" "0" "Woodberry Forest School (VA)" "12" "Richmond, VA" "" 9 29 1906 "Richmond (VA)"
"L" "10-03-1906" "0" "Virginia" "22" "Charlottesville, VA" "" 10 3 1906 "Richmond (VA)"
"L" "10-06-1906" "0" "Randolph-Macon (VA)" "6" "Richmond, VA" "" 10 6 1906 "Richmond (VA)"
"T" "10-11-1906" "0" "North Carolina St." "0" "Raleigh, NC" "" 10 11 1906 "Richmond (VA)"
"L" "10-12-1906" "0" "North Carolina" "12" "Chapel Hill, NC" "" 10 12 1906 "Richmond (VA)"
"W" "10-17-1906" "1" "Hampden-Sydney (VA)" "0" "Richmond, VA" "" 10 17 1906 "Richmond (VA)"
"L" "10-27-1906" "6" "Virginia" "12" "Charlottesville, VA" "" 10 27 1906 "Richmond (VA)"
"W" "11-03-1906" "24" "William & Mary (VA)" "0" "Williamsburg, VA" "" 11 3 1906 "Richmond (VA)"
"W" "11-10-1906" "29" "Roanoke (VA)" "6" "?" "" 11 10 1906 "Richmond (VA)"
"W" "11-17-1906" "6" "Virginia Military Institute" "4" "Richmond, VA" "" 11 17 1906 "Richmond (VA)"
"W" "11-24-1906" "17" "Randolph-Macon (VA)" "0" "Richmond, VA" "" 11 24 1906 "Richmond (VA)"
"W" "11-28-1906" "6" "William & Mary (VA)" "0" "Newport News, VA" "" 11 28 1906 "Richmond (VA)"
"L" "10-02-1907" "0" "Virginia" "38" "Charlottesville, VA" "" 10 2 1907 "Richmond (VA)"
"W" "10-05-1907" "11" "Maryland" "5" "Richmond, VA" "" 10 5 1907 "Richmond (VA)"
"L" "10-12-1907" "4" "North Carolina St." "7" "Richmond, VA" "" 10 12 1907 "Richmond (VA)"
"L" "10-19-1907" "11" "Randolph-Macon (VA)" "12" "Richmond, VA" "" 10 19 1907 "Richmond (VA)"
"L" "10-26-1907" "0" "North Carolina St." "11" "Raleigh, NC" "" 10 26 1907 "Richmond (VA)"
"W" "11-09-1907" "38" "Hampden-Sydney (VA)" "0" "Richmond, VA" "" 11 9 1907 "Richmond (VA)"
"L" "11-16-1907" "11" "North Carolina" "13" "Chapel Hill, NC" "" 11 16 1907 "Richmond (VA)"
"W" "11-28-1907" "48" "William & Mary (VA)" "0" "Newport News, VA" "" 11 28 1907 "Richmond (VA)"
"L" "12-13-1907" "10" "Randolph-Macon (VA)" "14" "Richmond, VA" "" 12 13 1907 "Richmond (VA)"
"W" "10-03-1908" "22" "Maryland" "0" "Richmond, VA" "" 10 3 1908 "Richmond (VA)"
"L" "10-10-1908" "0" "Randolph-Macon (VA)" "16" "Richmond, VA" "" 10 10 1908 "Richmond (VA)"
"L" "10-17-1908" "5" "Washington & Lee (VA)" "33" "Richmond, VA" "" 10 17 1908 "Richmond (VA)"
"W" "10-24-1908" "16" "Gallaudet (DC)" "12" "Richmond, VA" "" 10 24 1908 "Richmond (VA)"
"L" "10-31-1908" "12" "North Carolina" "17" "Chapel Hill, NC" "" 10 31 1908 "Richmond (VA)"
"L" "11-07-1908" "17" "Hampden-Sydney (VA)" "18" "Richmond, VA" "" 11 7 1908 "Richmond (VA)"
"L" "11-21-1908" "18" "William & Mary (VA)" "21" "Richmond, VA" "" 11 21 1908 "Richmond (VA)"
"W" "11-28-1908" "12" "Randolph-Macon (VA)" "2" "Richmond, VA" "" 11 28 1908 "Richmond (VA)"
"W" "10-02-1909" "12" "Maryland" "0" "Richmond, VA" "" 10 2 1909 "Richmond (VA)"
"T" "10-05-1909" "0" "Virginia Boat Club" "0" "Richmond, VA" "" 10 5 1909 "Richmond (VA)"
"T" "10-09-1909" "0" "Randolph-Macon (VA)" "0" "Richmond, VA" "" 10 9 1909 "Richmond (VA)"
"L" "10-16-1909" "0" "Georgetown (DC)" "17" "Richmond, VA" "" 10 16 1909 "Richmond (VA)"
"L" "10-23-1909" "0" "Virginia Tech" "52" "Richmond, VA" "" 10 23 1909 "Richmond (VA)"
"L" "10-31-1909" "0" "North Carolina" "22" "Chapel Hill, NC" "" 10 31 1909 "Richmond (VA)"
"W" "11-05-1909" "5" "Wake Forest (NC)" "0" "Wake Forest, NC" "" 11 5 1909 "Richmond (VA)"
"W" "11-13-1909" "6" "Hampden-Sydney (VA)" "0" "Richmond, VA" "" 11 13 1909 "Richmond (VA)"
"L" "11-20-1909" "0" "William & Mary (VA)" "15" "Richmond, VA" "" 11 20 1909 "Richmond (VA)"
"L" "11-25-1909" "3" "Randolph-Macon (VA)" "29" "Richmond, VA" "" 11 25 1909 "Richmond (VA)"
"L" "10-01-1910" "0" "Maryland" "20" "Richmond, VA" "" 10 1 1910 "Richmond (VA)"
"W" "10-09-1910" "5" "Randolph-Macon (VA)" "0" "Richmond, VA" "" 10 9 1910 "Richmond (VA)"
"T" "10-15-1910" "0" "Rock Hill College (MD)" "0" "Richmond, VA" "" 10 15 1910 "Richmond (VA)"
"L" "10-29-1910" "15" "George Washington (DC)" "21" "Richmond, VA" "" 10 29 1910 "Richmond (VA)"
"L" "11-05-1910" "0" "Hampden-Sydney (VA)" "18" "Hampden-Sydney, VA" "" 11 5 1910 "Richmond (VA)"
"L" "11-12-1910" "0" "North Carolina St." "53" "Raleigh, NC" "" 11 12 1910 "Richmond (VA)"
"L" "11-19-1910" "6" "William & Mary (VA)" "18" "Richmond, VA" "" 11 19 1910 "Richmond (VA)"
"L" "11-26-1910" "6" "Randolph-Macon (VA)" "11" "Richmond, VA" "" 11 26 1910 "Richmond (VA)"
"T" "09-30-1911" "0" "Maryland" "0" "Richmond, VA" "" 9 30 1911 "Richmond (VA)"
"T" "10-07-1911" "0" "Fredericksburg College (VA)" "0" "Richmond, VA" "" 10 7 1911 "Richmond (VA)"
"L" "10-14-1911" "0" "Randolph-Macon (VA)" "13" "Richmond, VA" "" 10 14 1911 "Richmond (VA)"
"L" "10-21-1911" "0" "Georgetown (DC)" "65" "Richmond, VA" "" 10 21 1911 "Richmond (VA)"
"L" "10-28-1911" "0" "Hampden-Sydney (VA)" "3" "Richmond, VA" "" 10 28 1911 "Richmond (VA)"
"L" "11-04-1911" "0" "Virginia Military Institute" "38" "Lexington, VA" "" 11 4 1911 "Richmond (VA)"
"L" "11-11-1911" "0" "William & Mary (VA)" "3" "Williamsburg, VA" "" 11 11 1911 "Richmond (VA)"
"L" "11-25-1911" "0" "Randolph-Macon (VA)" "9" "Richmond, VA" "" 11 25 1911 "Richmond (VA)"
"L" "10-05-1912" "0" "Maryland" "46" "College Park, MD" "" 10 5 1912 "Richmond (VA)"
"L" "10-12-1912" "0" "Randolph-Macon (VA)" "21" "Richmond, VA" "" 10 12 1912 "Richmond (VA)"
