"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "10-10-1970" "6" "Kean (NJ)" "34" "Union, NJ" "Club Football Game" 10 10 1970 "SUNY-Stony Brook (NY)"
"L" "10-17-1970" "0" "Concordia College (NY)" "48" "Bronxville, NY" "Club Football Game" 10 17 1970 "SUNY-Stony Brook (NY)"
"L" "10-24-1970" "0" "Brooklyn (NY)" "21" "Brooklyn, NY" "Club Football Game" 10 24 1970 "SUNY-Stony Brook (NY)"
"L" "10-31-1970" "6" "Pace (NY)" "20" "Stony Brook, NY" "Club Football Game" 10 31 1970 "SUNY-Stony Brook (NY)"
"L" "11-07-1970" "20" "Western Connecticut St." "26" "Stony Brook, NY" "Club Football Game" 11 7 1970 "SUNY-Stony Brook (NY)"
"L" "11-14-1970" "0" "New York Tech" "35" "Stony Brook, NY" "Club Football Game" 11 14 1970 "SUNY-Stony Brook (NY)"
"W" "10-02-1971" "6" "Rutgers-Livingston (NJ)" "0" "Stony Brook, NY" "Club Football Game" 10 2 1971 "SUNY-Stony Brook (NY)"
"L" "10-09-1971" "6" "Kean (NJ)" "28" "Stony Brook, NY" "Club Football Game" 10 9 1971 "SUNY-Stony Brook (NY)"
"L" "10-16-1971" "12" "Concordia College (NY)" "33" "Stony Brook, NY" "Club Football Game" 10 16 1971 "SUNY-Stony Brook (NY)"
"L" "10-23-1971" "14" "Brooklyn (NY)" "24" "Stony Brook, NY" "Club Football Game" 10 23 1971 "SUNY-Stony Brook (NY)"
"W" "10-30-1971" "28" "New York Maritime" "6" "Fort Schuyler, NY" "Club Football Game" 10 30 1971 "SUNY-Stony Brook (NY)"
"L" "11-13-1971" "14" "New York Tech" "22" "Old Westbury, NY" "Club Football Game" 11 13 1971 "SUNY-Stony Brook (NY)"
"L" "09-23-1972" "0" "SUNY-Albany (NY)" "14" "Stony Brook, NY" "Club Football Game" 9 23 1972 "SUNY-Stony Brook (NY)"
"W" "10-07-1972" "26" "Queens (NY)" "0" "Stony Brook, NY" "Club Football Game" 10 7 1972 "SUNY-Stony Brook (NY)"
"W" "10-21-1972" "35" "Brooklyn (NY)" "30" "Brooklyn, NY" "Club Football Game" 10 21 1972 "SUNY-Stony Brook (NY)"
"L" "10-28-1972" "6" "New York Maritime" "23" "Stony Brook, NY" "Club Football Game" 10 28 1972 "SUNY-Stony Brook (NY)"
"L" "11-11-1972" "27" "New York Tech" "38" "Stony Brook, NY" "Club Football Game" 11 11 1972 "SUNY-Stony Brook (NY)"
"L" "11-18-1972" "10" "Manhattan (NY)" "26" "Stony Brook, NY" "Club Football Game" 11 18 1972 "SUNY-Stony Brook (NY)"
"L" "09-22-1973" "6" "SUNY-Albany (NY)" "69" "Albany, NY" "Club Football Game" 9 22 1973 "SUNY-Stony Brook (NY)"
"L" "10-13-1973" "23" "Concordia College (NY)" "26" "?" "Club Football Game" 10 13 1973 "SUNY-Stony Brook (NY)"
"L" "10-20-1973" "3" "Saint John's (NY)" "28" "Jamaica, NY" "Club Football Game" 10 20 1973 "SUNY-Stony Brook (NY)"
