"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1909" "0" "Gallitzin" "15" "?" "" 0 0 1909 "Saint Francis (PA)"
"W" "00-00-1909" "7" "Hastings" "0" "?" "" 0 0 1909 "Saint Francis (PA)"
"W" "00-00-1909" "23" "Raleigh AC" "0" "?" "" 0 0 1909 "Saint Francis (PA)"
"L" "00-00-1909" "0" "Hastings" "6" "?" "" 0 0 1909 "Saint Francis (PA)"
"W" "00-00-1910" "5" "Raleigh AC" "0" "?" "" 0 0 1910 "Saint Francis (PA)"
"W" "00-00-1910" "13" "South Fork HS (PA)" "0" "?" "" 0 0 1910 "Saint Francis (PA)"
"W" "00-00-1910" "22" "Patton Independents (PA)" "2" "?" "" 0 0 1910 "Saint Francis (PA)"
"L" "00-00-1910" "0" "South Fork HS (PA)" "10" "?" "" 0 0 1910 "Saint Francis (PA)"
"L" "00-00-1910" "3" "Patton Independents (PA)" "5" "?" "" 0 0 1910 "Saint Francis (PA)"
"T" "00-00-1910" "5" "Altoona Scholastics" "5" "?" "" 0 0 1910 "Saint Francis (PA)"
"W" "00-00-1911" "11" "Patton Independents (PA)" "0" "?" "" 0 0 1911 "Saint Francis (PA)"
"T" "00-00-1911" "0" "Johnston Conemaugh HS (PA)" "0" "?" "" 0 0 1911 "Saint Francis (PA)"
"L" "00-00-1911" "0" "Altoona AA (PA)" "15" "?" "" 0 0 1911 "Saint Francis (PA)"
"L" "00-00-1911" "0" "South Fork HS (PA)" "5" "?" "" 0 0 1911 "Saint Francis (PA)"
"W" "00-00-1911" "3" "Altoona AA (PA)" "0" "?" "" 0 0 1911 "Saint Francis (PA)"
"T" "00-00-1911" "0" "Johnston Conemaugh HS (PA)" "0" "?" "" 0 0 1911 "Saint Francis (PA)"
"W" "00-00-1911" "5" "South Fork HS (PA)" "0" "?" "" 0 0 1911 "Saint Francis (PA)"
"W" "00-00-1911" "3" "Altoona Apprentice School (PA)" "0" "?" "" 0 0 1911 "Saint Francis (PA)"
"L" "00-00-1911" "0" "Altoona AA (PA)" "11" "?" "" 0 0 1911 "Saint Francis (PA)"
"W" "00-00-1912" "6" "Indiana (PA)" "0" "?" "" 0 0 1912 "Saint Francis (PA)"
"W" "00-00-1912" "7" "Bellwood HS (PA)" "6" "?" "" 0 0 1912 "Saint Francis (PA)"
"W" "00-00-1912" "19" "Bellwood HS (PA)" "0" "?" "" 0 0 1912 "Saint Francis (PA)"
"L" "00-00-1912" "0" "Johnstown HS (PA)" "40" "?" "" 0 0 1912 "Saint Francis (PA)"
"W" "00-00-1912" "40" "Patton Independents (PA)" "0" "?" "" 0 0 1912 "Saint Francis (PA)"
"L" "00-00-1912" "0" "Indiana (PA)" "49" "?" "" 0 0 1912 "Saint Francis (PA)"
"W" "00-00-1912" "9" "Altoona Apprentice School (PA)" "0" "?" "" 0 0 1912 "Saint Francis (PA)"
