"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1915" "21" "Allen (SC)" "0" "?" "" 0 0 1915 "Savannah St. (GA)"
"L" "00-00-1915" "7" "South Carolina St." "12" "?" "" 0 0 1915 "Savannah St. (GA)"
"W" "00-00-1923" "35" "Voorhees College (SC)" "0" "?" "" 0 0 1923 "Savannah St. (GA)"
"L" "10-24-1924" "0" "Paine (GA)" "24" "Augusta, GA" "" 10 24 1924 "Savannah St. (GA)"
"L" "00-00-1924" "0" "Benedict (SC)" "6" "?" "Savannah St. Forfeits" 0 0 1924 "Savannah St. (GA)"
"W" "00-00-1925" "6" "Bethune-Cookman (FL)" "3" "?" "" 0 0 1925 "Savannah St. (GA)"
"L" "00-00-1926" "0" "South Carolina St." "24" "?" "" 0 0 1926 "Savannah St. (GA)"
"W" "00-00-1927" "13" "Morehouse JV (GA)" "6" "?" "" 0 0 1927 "Savannah St. (GA)"
"L" "00-00-1927" "0" "Florida A&M" "18" "?" "" 0 0 1927 "Savannah St. (GA)"
"L" "11-05-1927" "0" "South Carolina St." "45" "Savannah, GA" "" 11 5 1927 "Savannah St. (GA)"
"L" "11-25-1927" "6" "Paine (GA)" "19" "Savannah, GA" "" 11 25 1927 "Savannah St. (GA)"
"L" "10-19-1928" "0" "Claflin (SC)" "7" "Savannah, GA" "" 10 19 1928 "Savannah St. (GA)"
"L" "11-02-1928" "0" "South Carolina St." "39" "Orangeburg, SC" "" 11 2 1928 "Savannah St. (GA)"
"L" "11-29-1928" "13" "Paine (GA)" "33" "Augusta, GA" "" 11 29 1928 "Savannah St. (GA)"
"L" "00-00-1929" "0" "Morris Brown (GA)" "19" "?" "" 0 0 1929 "Savannah St. (GA)"
"W" "11-28-1929" "14" "Paine (GA)" "7" "Savannah, GA" "" 11 28 1929 "Savannah St. (GA)"
"L" "00-00-1929" "0" "Claflin (SC)" "27" "?" "" 0 0 1929 "Savannah St. (GA)"
"W" "10-25-1930" "6" "Paine (GA)" "0" "Augusta, GA" "" 10 25 1930 "Savannah St. (GA)"
"T" "11-22-1930" "13" "Edward Waters (FL)" "13" "Savannah, GA" "" 11 22 1930 "Savannah St. (GA)"
"W" "00-00-1931" "13" "Florida N&I" "0" "?" "" 0 0 1931 "Savannah St. (GA)"
"L" "00-00-1931" "0" "Allen (SC)" "20" "?" "" 0 0 1931 "Savannah St. (GA)"
"L" "00-00-1931" "0" "Claflin (SC)" "2" "?" "" 0 0 1931 "Savannah St. (GA)"
"L" "10-31-1931" "6" "Rollins (FL)" "37" "Orlando, FL" "" 10 31 1931 "Savannah St. (GA)"
"L" "11-14-1931" "6" "Paine (GA)" "13" "Savannah, GA" "" 11 14 1931 "Savannah St. (GA)"
"L" "00-00-1931" "12" "Parris Island Marines (SC)" "25" "?" "" 0 0 1931 "Savannah St. (GA)"
"T" "11-26-1931" "13" "Edward Waters (FL)" "13" "Jacksonville, FL" "" 11 26 1931 "Savannah St. (GA)"
"W" "00-00-1932" "20" "Parris Island Marines (SC)" "13" "?" "" 0 0 1932 "Savannah St. (GA)"
"W" "00-00-1932" "19" "Albany St. (GA)" "7" "?" "" 0 0 1932 "Savannah St. (GA)"
"L" "00-00-1932" "0" "Allen (SC)" "6" "?" "" 0 0 1932 "Savannah St. (GA)"
"L" "00-00-1932" "2" "Benedict (SC)" "6" "?" "" 0 0 1932 "Savannah St. (GA)"
"T" "11-19-1932" "0" "Edward Waters (FL)" "0" "Savannah, GA" "" 11 19 1932 "Savannah St. (GA)"
"L" "00-00-1933" "0" "Newberry (SC)" "26" "?" "" 0 0 1933 "Savannah St. (GA)"
"W" "00-00-1933" "14" "Bethune-Cookman (FL)" "6" "?" "" 0 0 1933 "Savannah St. (GA)"
