"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1907" "0" "Morehouse (GA)" "45" "?" "Morehouse won - score unknown" 0 0 1907 "South Carolina St."
"L" "11-09-1911" "0" "Allen (SC)" "11" "Columbia, SC" "" 11 9 1911 "South Carolina St."
"W" "00-00-1912" "19" "Savannah St. (GA)" "0" "?" "" 0 0 1912 "South Carolina St."
"W" "00-00-1912" "39" "Columbia HS (SC)" "0" "?" "" 0 0 1912 "South Carolina St."
"W" "00-00-1912" "8" "Allen (SC)" "0" "?" "" 0 0 1912 "South Carolina St."
"L" "00-00-1912" "0" "Paine (GA)" "13" "?" "" 0 0 1912 "South Carolina St."
"L" "00-00-1913" "6" "Savannah St. (GA)" "7" "?" "" 0 0 1913 "South Carolina St."
"T" "00-00-1913" "6" "Allen (SC)" "6" "?" "" 0 0 1913 "South Carolina St."
"L" "00-00-1913" "6" "Johnson C. Smith (NC)" "33" "?" "" 0 0 1913 "South Carolina St."
"W" "00-00-1913" "25" "Benedict (SC)" "7" "?" "" 0 0 1913 "South Carolina St."
"W" "00-00-1913" "51" "Paine (GA)" "7" "?" "" 0 0 1913 "South Carolina St."
"T" "00-00-1915" "0" "Allen (SC)" "0" "?" "" 0 0 1915 "South Carolina St."
"W" "00-00-1915" "37" "Voorhees College (SC)" "0" "?" "" 0 0 1915 "South Carolina St."
"W" "00-00-1915" "13" "Paine (GA)" "6" "?" "" 0 0 1915 "South Carolina St."
"W" "00-00-1915" "12" "Savannah St. (GA)" "7" "?" "" 0 0 1915 "South Carolina St."
"W" "11-18-1915" "37" "Haines Institute (GA)" "0" "Augusta, GA" "" 11 18 1915 "South Carolina St."
"L" "11-24-1916" "0" "Johnson C. Smith (NC)" "7" "?" "" 11 24 1916 "South Carolina St."
"W" "10-04-1920" "6" "Allen (SC)" "0" "Columbia, SC" "" 10 4 1920 "South Carolina St."
"L" "00-00-1923" "6" "Tuskegee (AL)" "13" "?" "" 0 0 1923 "South Carolina St."
"L" "10-18-1924" "6" "Tuskegee (AL)" "53" "Tuskegee, AL" "" 10 18 1924 "South Carolina St."
"L" "00-00-1924" "0" "North Carolina A&T" "52" "?" "" 0 0 1924 "South Carolina St."
"L" "10-10-1925" "0" "Morehouse (GA)" "22" "Atlanta, GA" "" 10 10 1925 "South Carolina St."
"L" "10-16-1925" "0" "Paine (GA)" "7" "Orangeburg, SC" "" 10 16 1925 "South Carolina St."
"L" "10-30-1925" "0" "Atlanta (GA)" "32" "Orangeburg, SC" "" 10 30 1925 "South Carolina St."
"L" "11-13-1925" "0" "Johnson C. Smith (NC)" "6" "Orangeburg, SC" "" 11 13 1925 "South Carolina St."
"W" "00-00-1926" "99" "North Carolina Institute" "0" "?" "" 0 0 1926 "South Carolina St."
"L" "00-00-1926" "9" "Paine (GA)" "10" "?" "" 0 0 1926 "South Carolina St."
"W" "00-00-1926" "37" "Morris (SC)" "0" "?" "" 0 0 1926 "South Carolina St."
"W" "00-00-1926" "33" "Haines Institute (GA)" "0" "?" "" 0 0 1926 "South Carolina St."
"W" "00-00-1926" "13" "Benedict (SC)" "0" "?" "" 0 0 1926 "South Carolina St."
"W" "00-00-1926" "24" "Savannah St. (GA)" "0" "?" "" 0 0 1926 "South Carolina St."
"W" "00-00-1926" "13" "Allen (SC)" "0" "?" "" 0 0 1926 "South Carolina St."
"W" "10-01-1927" "45" "Haines Institute (GA)" "0" "Orangeburg, SC" "" 10 1 1927 "South Carolina St."
"W" "10-07-1927" "19" "Fayetteville St. (NC)" "0" "Fayetteville, NC" "" 10 7 1927 "South Carolina St."
"W" "10-15-1927" "10" "North Carolina Central" "6" "Orangeburg, SC" "" 10 15 1927 "South Carolina St."
"L" "10-22-1927" "0" "Paine (GA)" "6" "Augusta, GA" "" 10 22 1927 "South Carolina St."
"W" "11-05-1927" "45" "Savannah St. (GA)" "0" "Savannah, GA" "" 11 5 1927 "South Carolina St."
"W" "11-10-1927" "22" "Benedict (SC)" "0" "Orangeburg, SC" "" 11 10 1927 "South Carolina St."
"W" "11-19-1927" "33" "Johnson C. Smith (NC)" "0" "Charlotte, NC" "" 11 19 1927 "South Carolina St."
"W" "11-24-1927" "29" "Allen (SC)" "6" "Orangeburg, SC" "" 11 24 1927 "South Carolina St."
"W" "00-00-1927" "68" "Walker Baptist" "0" "?" "" 0 0 1927 "South Carolina St."
"W" "10-14-1928" "27" "Haines Institute (GA)" "2" "Augusta, GA" "" 10 14 1928 "South Carolina St."
"L" "10-20-1928" "0" "North Carolina Central" "6" "Durham, NC" "" 10 20 1928 "South Carolina St."
"W" "10-27-1928" "19" "Paine (GA)" "0" "Orangeburg, SC" "" 10 27 1928 "South Carolina St."
"W" "11-02-1928" "39" "Savannah St. (GA)" "0" "Orangeburg, SC" "" 11 2 1928 "South Carolina St."
"W" "11-10-1928" "6" "Johnson C. Smith (NC)" "0" "Orangeburg, SC" "" 11 10 1928 "South Carolina St."
"W" "11-15-1928" "31" "Benedict (SC)" "0" "Orangeburg, SC" "" 11 15 1928 "South Carolina St."
"W" "11-24-1928" "32" "North Carolina A&T" "27" "Orangeburg, SC" "" 11 24 1928 "South Carolina St."
"W" "00-00-1929" "24" "Haines Institute (GA)" "0" "?" "" 0 0 1929 "South Carolina St."
