"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"T" "00-00-1889" "6" "South Dakota" "6" "?" "" 0 0 1889 "South Dakota St."
"L" "00-00-1897" "0" "Sioux Falls HS (SD)" "22" "?" "" 0 0 1897 "South Dakota St."
"W" "00-00-1898" "62" "Watertown" "0" "?" "" 0 0 1898 "South Dakota St."
"T" "00-00-1898" "0" "Yankton (SD)" "0" "?" "" 0 0 1898 "South Dakota St."
"L" "00-00-1898" "6" "Sioux Falls HS (SD)" "11" "?" "" 0 0 1898 "South Dakota St."
"W" "00-00-1899" "12" "Dakota St. (SD)" "5" "?" "" 0 0 1899 "South Dakota St."
"W" "00-00-1899" "55" "Si Tanka (SD)" "0" "?" "" 0 0 1899 "South Dakota St."
"W" "00-00-1899" "23" "Dakota St. (SD)" "0" "?" "" 0 0 1899 "South Dakota St."
"L" "00-00-1899" "0" "Dakota Wesleyan (SD)" "57" "?" "" 0 0 1899 "South Dakota St."
"W" "00-00-1900" "33" "Flandreau Indian School (SD)" "0" "?" "" 0 0 1900 "South Dakota St."
"W" "00-00-1900" "16" "Pipestone HS (MN)" "6" "?" "" 0 0 1900 "South Dakota St."
"W" "00-00-1900" "56" "Sioux Falls HS (SD)" "0" "?" "" 0 0 1900 "South Dakota St."
"W" "00-00-1900" "23" "Flandreau Indian School (SD)" "0" "?" "" 0 0 1900 "South Dakota St."
"L" "00-00-1900" "0" "South Dakota" "17" "?" "" 0 0 1900 "South Dakota St."
"L" "00-00-1901" "0" "South Dakota" "6" "?" "" 0 0 1901 "South Dakota St."
"W" "00-00-1901" "42" "Flandreau Indian School (SD)" "0" "?" "" 0 0 1901 "South Dakota St."
"W" "00-00-1901" "17" "Yankton (SD)" "0" "?" "" 0 0 1901 "South Dakota St."
"W" "00-00-1901" "36" "Si Tanka (SD)" "0" "?" "" 0 0 1901 "South Dakota St."
"L" "00-00-1901" "5" "Dakota Wesleyan (SD)" "22" "?" "" 0 0 1901 "South Dakota St."
