"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"T" "00-00-1889" "6" "South Dakota St." "6" "?" "" 0 0 1889 "South Dakota"
"W" "00-00-1889" "11" "Yankton (SD)" "0" "?" "" 0 0 1889 "South Dakota"
"L" "00-00-1894" "6" "Yankton (SD)" "22" "?" "" 0 0 1894 "South Dakota"
"L" "11-17-1894" "10" "Yankton (SD)" "16" "Yankton, SD" "" 11 17 1894 "South Dakota"
"T" "11-09-1895" "4" "Yankton (SD)" "4" "Yankton, SD" "" 11 9 1895 "South Dakota"
"L" "11-25-1895" "0" "Yankton (SD)" "4" "Yankton, SD" "" 11 25 1895 "South Dakota"
"L" "00-00-1898" "5" "Yankton (SD)" "18" "?" "" 0 0 1898 "South Dakota"
"T" "00-00-1898" "0" "Morningside (IA)" "0" "?" "" 0 0 1898 "South Dakota"
"W" "00-00-1898" "22" "Yankton (SD)" "14" "?" "" 0 0 1898 "South Dakota"
"W" "10-02-1899" "5" "Westmar (IA)" "0" "?" "" 10 2 1899 "South Dakota"
"W" "10-09-1899" "27" "Buena Vista (IA)" "2" "?" "" 10 9 1899 "South Dakota"
"L" "10-14-1899" "6" "Iowa St." "11" "Sioux City, IA" "" 10 14 1899 "South Dakota"
"W" "11-16-1899" "16" "Westmar (IA)" "0" "?" "" 11 16 1899 "South Dakota"
"W" "11-24-1899" "6" "Nebraska" "5" "Vermillion, SD" "" 11 24 1899 "South Dakota"
"T" "11-30-1899" "0" "Northern Iowa" "0" "?" "" 11 30 1899 "South Dakota"
"L" "00-00-1900" "6" "Buena Vista (IA)" "11" "Vermillion, SD" "" 0 0 1900 "South Dakota"
"W" "00-00-1900" "23" "Sioux City College of Medicine (IA)" "0" "?" "" 0 0 1900 "South Dakota"
"L" "10-27-1900" "0" "Kansas" "42" "Vermillion, SD" "" 10 27 1900 "South Dakota"
"W" "00-00-1900" "29" "Morningside (IA)" "6" "?" "" 0 0 1900 "South Dakota"
"W" "00-00-1900" "17" "South Dakota St." "0" "?" "" 0 0 1900 "South Dakota"
"T" "00-00-1900" "6" "North Dakota St." "6" "Vermillion, SD" "" 0 0 1900 "South Dakota"
"W" "11-29-1900" "6" "Lincoln Medical College (NE)" "0" "Sioux City, IA" "Woodland Park" 11 29 1900 "South Dakota"
"W" "00-00-1901" "28" "Morningside (IA)" "0" "?" "" 0 0 1901 "South Dakota"
"W" "00-00-1901" "6" "South Dakota St." "0" "?" "" 0 0 1901 "South Dakota"
"T" "00-00-1901" "0" "Carleton (MN)" "0" "Sioux Falls, SD" "" 0 0 1901 "South Dakota"
"W" "00-00-1901" "26" "Dakota Wesleyan (SD)" "0" "?" "" 0 0 1901 "South Dakota"
"W" "10-12-1901" "18" "Lincoln Medical College (NE)" "0" "Sioux City, IA" "" 10 12 1901 "South Dakota"
"W" "00-00-1901" "22" "South Dakota St." "0" "?" "" 0 0 1901 "South Dakota"
"W" "11-16-1901" "11" "Morningside (IA)" "5" "Sioux City, SD" "" 11 16 1901 "South Dakota"
"L" "11-28-1901" "6" "Northern Iowa" "10" "Sioux City, IA" "" 11 28 1901 "South Dakota"
"W" "00-00-1902" "33" "Sioux Falls (SD)" "0" "?" "" 0 0 1902 "South Dakota"
"W" "00-00-1902" "35" "Yankton HS (SD)" "0" "?" "" 0 0 1902 "South Dakota"
"W" "00-00-1902" "23" "Missouri-Rolla" "0" "?" "" 0 0 1902 "South Dakota"
"W" "00-00-1902" "40" "Yankton (SD)" "0" "?" "" 0 0 1902 "South Dakota"
"W" "00-00-1902" "23" "South Dakota Tech" "0" "?" "" 0 0 1902 "South Dakota"
"W" "00-00-1902" "23" "Yankton (SD)" "0" "?" "" 0 0 1902 "South Dakota"
