"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1902" "0" "Christian Brothers (MO)" "23" "?" "" 0 0 1902 "Southeast Missouri St."
"W" "00-00-1904" "11" "Jackson Military Academy (MO)" "0" "?" "" 0 0 1904 "Southeast Missouri St."
"W" "00-00-1904" "11" "Poplar Bluff AC (MO)" "0" "?" "" 0 0 1904 "Southeast Missouri St."
"L" "11-12-1904" "0" "Southern Illinois" "28" "Carbondale, IL" "Bayliss Field" 11 12 1904 "Southeast Missouri St."
"W" "00-00-1905" "12" "Jackson AC (MO)" "0" "?" "" 0 0 1905 "Southeast Missouri St."
"L" "00-00-1905" "0" "Missouri Military Academy" "10" "?" "" 0 0 1905 "Southeast Missouri St."
"L" "00-00-1905" "0" "Saint Louis (MO)" "47" "?" "" 0 0 1905 "Southeast Missouri St."
"W" "00-00-1905" "43" "Barnes Medical College (MO)" "0" "?" "" 0 0 1905 "Southeast Missouri St."
"L" "11-06-1906" "0" "Arkansas" "12" "Hot Springs, AR" "" 11 6 1906 "Southeast Missouri St."
"W" "11-10-1906" "16" "Missouri-Rolla" "6" "Cape Girardeau, MO" "" 11 10 1906 "Southeast Missouri St."
"L" "00-00-1906" "0" "Saint Louis (MO)" "59" "?" "" 0 0 1906 "Southeast Missouri St."
"T" "00-00-1906" "0" "Washington (MO)" "0" "?" "" 0 0 1906 "Southeast Missouri St."
"L" "00-00-1906" "6" "Truman St. (MO)" "26" "Kirksville, MO" "" 0 0 1906 "Southeast Missouri St."
"W" "00-00-1906" "16" "Central Missouri St." "6" "?" "" 0 0 1906 "Southeast Missouri St."
"T" "00-00-1907" "0" "Poplar Bluff HS (MO)" "0" "?" "" 0 0 1907 "Southeast Missouri St."
"L" "10-12-1907" "0" "Washington (MO)" "34" "Saint Louis, MO" "" 10 12 1907 "Southeast Missouri St."
"W" "10-19-1907" "12" "Mississippi" "6" "Oxford, MS" "" 10 19 1907 "Southeast Missouri St."
"L" "00-00-1907" "0" "Poplar Bluff HS (MO)" "26" "?" "" 0 0 1907 "Southeast Missouri St."
"T" "00-00-1907" "0" "Jackson Military Academy (MO)" "0" "?" "" 0 0 1907 "Southeast Missouri St."
"L" "11-16-1907" "5" "Missouri-Rolla" "37" "Rolla, MO" "" 11 16 1907 "Southeast Missouri St."
"L" "00-00-1907" "4" "Central Missouri St." "27" "?" "" 0 0 1907 "Southeast Missouri St."
"L" "10-10-1908" "0" "Saint Louis (MO)" "39" "Saint Louis, MO" "45-0?" 10 10 1908 "Southeast Missouri St."
"L" "10-17-1908" "0" "Mississippi" "17" "Memphis, TN" "" 10 17 1908 "Southeast Missouri St."
"L" "00-00-1908" "0" "Shurtleff (IL)" "57" "?" "" 0 0 1908 "Southeast Missouri St."
"L" "00-00-1908" "0" "Truman St. (MO)" "9" "Kirksville, MO" "" 0 0 1908 "Southeast Missouri St."
"L" "10-16-1909" "0" "Saint Louis (MO)" "28" "Saint Louis, MO" "" 10 16 1909 "Southeast Missouri St."
"L" "00-00-1909" "3" "Shurtleff (IL)" "12" "?" "" 0 0 1909 "Southeast Missouri St."
"W" "00-00-1909" "6" "Truman St. (MO)" "0" "Cape Girardeau, MO" "" 0 0 1909 "Southeast Missouri St."
"L" "10-01-1910" "0" "Saint Louis (MO)" "22" "Saint Louis, MO" "" 10 1 1910 "Southeast Missouri St."
"W" "00-00-1910" "10" "Shurtleff (IL)" "3" "?" "" 0 0 1910 "Southeast Missouri St."
"W" "11-24-1910" "51" "Truman St. (MO)" "0" "Cape Girardeau, MO" "" 11 24 1910 "Southeast Missouri St."
"L" "09-30-1911" "0" "Saint Louis (MO)" "10" "Saint Louis, MO" "" 9 30 1911 "Southeast Missouri St."
"L" "10-21-1911" "6" "Washington (MO)" "34" "Saint Louis, MO" "" 10 21 1911 "Southeast Missouri St."
"W" "00-00-1911" "48" "Carleton (MO)" "0" "?" "" 0 0 1911 "Southeast Missouri St."
"W" "00-00-1911" "11" "Shurtleff (IL)" "0" "?" "" 0 0 1911 "Southeast Missouri St."
"W" "00-00-1911" "12" "Farmington AC (MO)" "0" "?" "" 0 0 1911 "Southeast Missouri St."
"W" "00-00-1912" "6" "Shurtleff (IL)" "0" "?" "" 0 0 1912 "Southeast Missouri St."
"W" "00-00-1912" "28" "Sikeston AC (MO)" "0" "?" "" 0 0 1912 "Southeast Missouri St."
"L" "00-00-1912" "12" "Christian Brothers (MO)" "34" "?" "" 0 0 1912 "Southeast Missouri St."
"L" "11-23-1912" "0" "Missouri-Rolla" "46" "Rolla, MO" "" 11 23 1912 "Southeast Missouri St."
"L" "10-04-1913" "0" "Missouri-Rolla" "51" "Rolla, MO" "" 10 4 1913 "Southeast Missouri St."
"T" "00-00-1913" "6" "Sikeston AC (MO)" "6" "?" "" 0 0 1913 "Southeast Missouri St."
"L" "10-25-1913" "6" "Christian Brothers (MO)" "97" "Saint Louis, MO" "" 10 25 1913 "Southeast Missouri St."
"L" "00-00-1913" "0" "Sikeston AC (MO)" "15" "?" "" 0 0 1913 "Southeast Missouri St."
"W" "11-22-1913" "17" "Southern Illinois" "14" "Cape Girardeau, MO" "" 11 22 1913 "Southeast Missouri St."
"W" "00-00-1915" "13" "Jackson AC (MO)" "0" "?" "" 0 0 1915 "Southeast Missouri St."
"L" "00-00-1915" "7" "Charleston AC (MO)" "13" "?" "" 0 0 1915 "Southeast Missouri St."
"L" "10-15-1915" "0" "Southern Illinois" "19" "Cape Girardeau, MO" "" 10 15 1915 "Southeast Missouri St."
"L" "10-23-1915" "0" "Christian Brothers (MO)" "33" "?" "" 10 23 1915 "Southeast Missouri St."
"L" "00-00-1915" "0" "Sikeston AC (MO)" "41" "?" "" 0 0 1915 "Southeast Missouri St."
"L" "11-05-1915" "7" "Southern Illinois" "24" "Carbondale, IL" "" 11 5 1915 "Southeast Missouri St."
"L" "00-00-1916" "0" "Southern Illinois" "34" "Carbondale, IL" "" 0 0 1916 "Southeast Missouri St."
"L" "10-07-1916" "0" "Saint Louis (MO)" "26" "Saint Louis, MO" "" 10 7 1916 "Southeast Missouri St."
"L" "00-00-1916" "0" "Arkansas St." "13" "?" "" 0 0 1916 "Southeast Missouri St."
"W" "00-00-1916" "111" "Will Mayfield College (MO)" "0" "?" "" 0 0 1916 "Southeast Missouri St."
"W" "00-00-1916" "19" "Jackson AC (MO)" "7" "?" "" 0 0 1916 "Southeast Missouri St."
"L" "00-00-1916" "0" "Southern Illinois" "31" "Cape Girardeau, MO" "" 0 0 1916 "Southeast Missouri St."
"L" "00-00-1916" "7" "Christian Brothers (MO)" "55" "?" "" 0 0 1916 "Southeast Missouri St."
"W" "00-00-1916" "40" "Farmington AC (MO)" "7" "?" "" 0 0 1916 "Southeast Missouri St."
"W" "00-00-1916" "107" "De Soto AC (MO)" "0" "?" "" 0 0 1916 "Southeast Missouri St."
"W" "00-00-1917" "14" "Jackson AC (MO)" "0" "?" "" 0 0 1917 "Southeast Missouri St."
"L" "10-06-1917" "0" "Saint Louis (MO)" "34" "Saint Louis, MO" "" 10 6 1917 "Southeast Missouri St."
"L" "10-19-1917" "0" "Westminster (MO)" "37" "Fulton, MO" "" 10 19 1917 "Southeast Missouri St."
"W" "00-00-1917" "14" "Arkansas St." "0" "?" "" 0 0 1917 "Southeast Missouri St."
"L" "00-00-1917" "0" "Missouri St." "30" "Springfield, MO" "" 0 0 1917 "Southeast Missouri St."
"W" "00-00-1918" "38" "Jackson AC (MO)" "0" "?" "" 0 0 1918 "Southeast Missouri St."
"W" "00-00-1918" "14" "Sikeston AC (MO)" "0" "?" "" 0 0 1918 "Southeast Missouri St."
"L" "00-00-1919" "0" "Jackson AC (MO)" "19" "?" "" 0 0 1919 "Southeast Missouri St."
"L" "10-13-1919" "7" "Saint Louis (MO)" "33" "Saint Louis, MO" "" 10 13 1919 "Southeast Missouri St."
"W" "10-27-1919" "4" "Southern Illinois" "0" "Cape Girardeau, MO" "" 10 27 1919 "Southeast Missouri St."
"L" "10-31-1919" "13" "Shurtleff (IL)" "19" "Cape Girardeau, MO" "" 10 31 1919 "Southeast Missouri St."
"W" "00-00-1919" "19" "Washington (MO)" "7" "?" "" 0 0 1919 "Southeast Missouri St."
"L" "00-00-1919" "0" "Missouri St." "26" "Springfield, MO" "" 0 0 1919 "Southeast Missouri St."
"L" "09-25-1920" "0" "Saint Louis (MO)" "22" "Saint Louis, MO" "" 9 25 1920 "Southeast Missouri St."
"L" "10-09-1920" "0" "Missouri-Rolla" "28" "Rolla, MO" "" 10 9 1920 "Southeast Missouri St."
"L" "11-05-1920" "0" "Missouri St." "35" "Cape Girardeau, MO" "" 11 5 1920 "Southeast Missouri St."
"L" "11-12-1920" "0" "Shurtleff (IL)" "14" "Cape Girardeau, MO" "" 11 12 1920 "Southeast Missouri St."
"L" "11-27-1920" "0" "McKendree (IL)" "61" "Cape Girardeau, MO" "" 11 27 1920 "Southeast Missouri St."
"L" "09-24-1921" "0" "Saint Louis (MO)" "7" "Saint Louis, MO" "" 9 24 1921 "Southeast Missouri St."
"L" "10-07-1921" "0" "Missouri-Rolla" "24" "Cape Girardeau, MO" "" 10 7 1921 "Southeast Missouri St."
"L" "10-20-1921" "0" "Missouri St." "7" "Springfield, MO" "" 10 20 1921 "Southeast Missouri St."
"W" "10-27-1921" "13" "Southern Illinois" "0" "Cape Girardeau, MO" "" 10 27 1921 "Southeast Missouri St."
"T" "11-11-1921" "0" "Southern Illinois" "0" "Carbondale, IL" "" 11 11 1921 "Southeast Missouri St."
"T" "11-24-1921" "0" "Arkansas St." "0" "Cape Girardeau, MO" "" 11 24 1921 "Southeast Missouri St."
"L" "00-00-1922" "0" "Saint Louis (MO)" "40" "?" "" 0 0 1922 "Southeast Missouri St."
"L" "00-00-1922" "0" "Missouri St." "67" "Springfield, MO" "" 0 0 1922 "Southeast Missouri St."
"W" "00-00-1922" "12" "Shurtleff (IL)" "3" "?" "" 0 0 1922 "Southeast Missouri St."
"W" "10-27-1922" "12" "Southern Illinois" "9" "Cape Girardeau, MO" "" 10 27 1922 "Southeast Missouri St."
"T" "11-03-1922" "0" "McKendree (IL)" "0" "Cape Girardeau, MO" "" 11 3 1922 "Southeast Missouri St."
"W" "11-11-1922" "12" "Southern Illinois" "7" "Carbondale, IL" "" 11 11 1922 "Southeast Missouri St."
"W" "00-00-1922" "16" "Central Wesleyan (MO)" "6" "?" "" 0 0 1922 "Southeast Missouri St."
"W" "11-30-1922" "51" "Arkansas St." "0" "Cape Girardeau, MO" "" 11 30 1922 "Southeast Missouri St."
"L" "09-29-1923" "0" "Saint Louis (MO)" "27" "Saint Louis, MO" "" 9 29 1923 "Southeast Missouri St."
"L" "10-12-1923" "3" "Missouri St." "46" "Springfield, MO" "" 10 12 1923 "Southeast Missouri St."
"L" "10-26-1923" "0" "Southern Illinois" "13" "Cape Girardeau, MO" "" 10 26 1923 "Southeast Missouri St."
"W" "11-02-1923" "2" "McKendree (IL)" "0" "Lebanon, IL" "" 11 2 1923 "Southeast Missouri St."
"W" "11-10-1923" "13" "Southern Illinois" "12" "Carbondale, IL" "" 11 10 1923 "Southeast Missouri St."
"W" "11-17-1923" "7" "Central Wesleyan (MO)" "0" "Cape Girardeau, MO" "" 11 17 1923 "Southeast Missouri St."
"W" "11-29-1923" "6" "Arkansas St." "0" "Cape Girardeau, MO" "" 11 29 1923 "Southeast Missouri St."
"L" "10-10-1924" "0" "Northwest Missouri St." "16" "Maryville, MO" "" 10 10 1924 "Southeast Missouri St."
"W" "00-00-1924" "20" "Will Mayfield College (MO)" "7" "?" "" 0 0 1924 "Southeast Missouri St."
"L" "10-24-1924" "14" "Southern Illinois" "17" "Cape Girardeau, MO" "" 10 24 1924 "Southeast Missouri St."
"W" "10-31-1924" "9" "Missouri St." "6" "Cape Girardeau, MO" "" 10 31 1924 "Southeast Missouri St."
"L" "11-07-1924" "0" "Southern Illinois" "23" "Carbondale, IL" "" 11 7 1924 "Southeast Missouri St."
"L" "11-14-1924" "0" "Central Missouri St." "19" "Warrensburg, MO" "" 11 14 1924 "Southeast Missouri St."
"L" "11-21-1924" "3" "Truman St. (MO)" "10" "Cape Girardeau, MO" "" 11 21 1924 "Southeast Missouri St."
"W" "11-27-1924" "13" "Arkansas St." "0" "Cape Girardeau, MO" "" 11 27 1924 "Southeast Missouri St."
"W" "10-06-1925" "14" "Will Mayfield College (MO)" "3" "Cape Girardeau, MO" "" 10 6 1925 "Southeast Missouri St."
"W" "10-17-1925" "10" "Southern Illinois" "0" "Cape Girardeau, MO" "" 10 17 1925 "Southeast Missouri St."
"L" "10-29-1925" "0" "Northwest Missouri St." "3" "Cape Girardeau, MO" "" 10 29 1925 "Southeast Missouri St."
"L" "00-00-1925" "0" "Missouri St." "40" "Springfield, MO" "" 0 0 1925 "Southeast Missouri St."
"T" "11-06-1925" "0" "Southern Illinois" "0" "Carbondale, IL" "" 11 6 1925 "Southeast Missouri St."
"W" "00-00-1925" "7" "Central Missouri St." "0" "?" "" 0 0 1925 "Southeast Missouri St."
"L" "11-20-1925" "0" "Truman St. (MO)" "42" "Kirksville, MO" "" 11 20 1925 "Southeast Missouri St."
"T" "00-00-1925" "0" "McKendree (IL)" "0" "?" "" 0 0 1925 "Southeast Missouri St."
"L" "10-08-1926" "0" "Missouri St." "6" "Cape Girardeau, MO" "" 10 8 1926 "Southeast Missouri St."
"L" "10-15-1926" "10" "Northwest Missouri St." "14" "Maryville, MO" "" 10 15 1926 "Southeast Missouri St."
"L" "10-22-1926" "0" "Truman St. (MO)" "23" "Cape Girardeau, MO" "" 10 22 1926 "Southeast Missouri St."
"L" "10-29-1926" "0" "Murray St. (KY)" "3" "Murray, KY" "" 10 29 1926 "Southeast Missouri St."
"T" "11-05-1926" "0" "Southern Illinois" "0" "Carbondale, IL" "" 11 5 1926 "Southeast Missouri St."
"L" "11-19-1926" "0" "Central Missouri St." "33" "Warrensburg, MO" "" 11 19 1926 "Southeast Missouri St."
"L" "11-25-1926" "0" "Southern Illinois" "7" "Cape Girardeau, MO" "" 11 25 1926 "Southeast Missouri St."
"L" "10-07-1927" "0" "Murray St. (KY)" "6" "Cape Girardeau, MO" "" 10 7 1927 "Southeast Missouri St."
"L" "10-15-1927" "9" "McKendree (IL)" "13" "Lebanon, IL" "" 10 15 1927 "Southeast Missouri St."
"W" "10-21-1927" "6" "Northwest Missouri St." "0" "Cape Girardeau, MO" "" 10 21 1927 "Southeast Missouri St."
"L" "10-28-1927" "6" "Central Missouri St." "19" "Cape Girardeau, MO" "" 10 28 1927 "Southeast Missouri St."
"T" "11-05-1927" "6" "Southern Illinois" "6" "Carbondale, IL" "" 11 5 1927 "Southeast Missouri St."
"L" "11-11-1927" "0" "Missouri St." "6" "Springfield, MO" "" 11 11 1927 "Southeast Missouri St."
"L" "11-18-1927" "0" "Truman St. (MO)" "80" "Kirksville, MO" "" 11 18 1927 "Southeast Missouri St."
"T" "11-24-1927" "0" "Southern Illinois" "0" "Cape Girardeau, MO" "" 11 24 1927 "Southeast Missouri St."
"L" "10-05-1928" "0" "Murray St. (KY)" "12" "Murray, KY" "" 10 5 1928 "Southeast Missouri St."
"L" "10-13-1928" "0" "Northwest Missouri St." "44" "Maryville, MO" "" 10 13 1928 "Southeast Missouri St."
"L" "10-19-1928" "0" "Missouri St." "40" "Cape Girardeau, MO" "" 10 19 1928 "Southeast Missouri St."
"T" "10-26-1928" "6" "Southern Illinois" "6" "Cape Girardeau, MO" "" 10 26 1928 "Southeast Missouri St."
"L" "00-00-1928" "7" "Central Missouri St." "25" "?" "" 0 0 1928 "Southeast Missouri St."
"L" "11-23-1928" "0" "Truman St. (MO)" "13" "Cape Girardeau, MO" "" 11 23 1928 "Southeast Missouri St."
"W" "11-27-1928" "12" "Arkansas St." "0" "Cape Girardeau, MO" "" 11 27 1928 "Southeast Missouri St."
"T" "10-04-1929" "0" "Memphis (TN)" "0" "Memphis, TN" "" 10 4 1929 "Southeast Missouri St."
"L" "10-11-1929" "0" "Missouri St." "6" "Springfield, MO" "" 10 11 1929 "Southeast Missouri St."
"W" "00-00-1929" "6" "Central Missouri St." "2" "?" "" 0 0 1929 "Southeast Missouri St."
"W" "10-25-1929" "13" "Murray St. (KY)" "0" "Cape Girardeau, MO" "" 10 25 1929 "Southeast Missouri St."
"L" "11-02-1929" "0" "Southern Illinois" "7" "Carbondale, IL" "" 11 2 1929 "Southeast Missouri St."
"L" "11-11-1929" "0" "McKendree (IL)" "3" "Lebanon, IL" "" 11 11 1929 "Southeast Missouri St."
"W" "11-16-1929" "25" "Arkansas St." "0" "Jonesboro, AR" "" 11 16 1929 "Southeast Missouri St."
"L" "10-04-1930" "6" "Southern Illinois" "12" "Cape Girardeau, MO" "" 10 4 1930 "Southeast Missouri St."
"L" "10-10-1930" "0" "Northwest Missouri St." "45" "Maryville, MO" "" 10 10 1930 "Southeast Missouri St."
"W" "00-00-1930" "12" "Haskell Indian Nations JV (KS)" "6" "?" "" 0 0 1930 "Southeast Missouri St."
"T" "10-24-1930" "0" "Memphis (TN)" "0" "Cape Girardeau, MO" "" 10 24 1930 "Southeast Missouri St."
"L" "11-01-1930" "0" "Southern Illinois" "19" "Carbondale, IL" "" 11 1 1930 "Southeast Missouri St."
"L" "11-07-1930" "2" "McKendree (IL)" "19" "Cape Girardeau, MO" "" 11 7 1930 "Southeast Missouri St."
"L" "11-14-1930" "0" "Murray St. (KY)" "7" "Murray, KY" "" 11 14 1930 "Southeast Missouri St."
"L" "11-21-1930" "6" "Missouri St." "20" "Cape Girardeau, MO" "" 11 21 1930 "Southeast Missouri St."
"W" "09-26-1931" "15" "Evansville (IN)" "0" "Cape Girardeau, MO" "" 9 26 1931 "Southeast Missouri St."
"L" "10-02-1931" "6" "Truman St. (MO)" "41" "Kirksville, MO" "" 10 2 1931 "Southeast Missouri St."
"L" "10-09-1931" "0" "Southern Illinois" "6" "Cape Girardeau, MO" "" 10 9 1931 "Southeast Missouri St."
"L" "10-16-1931" "0" "Northwest Missouri St." "38" "Cape Girardeau, MO" "" 10 16 1931 "Southeast Missouri St."
"L" "00-00-1931" "0" "Westminster (MO)" "12" "?" "" 0 0 1931 "Southeast Missouri St."
"L" "00-00-1931" "0" "Central Missouri St." "6" "?" "" 0 0 1931 "Southeast Missouri St."
"L" "11-06-1931" "6" "Murray St. (KY)" "32" "Cape Girardeau, MO" "" 11 6 1931 "Southeast Missouri St."
