"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1930" "7" "Amite HS (LA)" "0" "?" "" 0 0 1930 "Southeastern Louisiana"
"L" "00-00-1930" "6" "Bogalusa HS (LA)" "19" "?" "" 0 0 1930 "Southeastern Louisiana"
"L" "00-00-1930" "0" "Southwest Mississippi JC" "46" "?" "" 0 0 1930 "Southeastern Louisiana"
"W" "00-00-1930" "13" "Independence HS (LA)" "0" "?" "" 0 0 1930 "Southeastern Louisiana"
"L" "00-00-1930" "0" "New Orleans Jesuit HS (LA)" "27" "?" "" 0 0 1930 "Southeastern Louisiana"
"L" "11-11-1930" "0" "Louisiana-Lafayette" "13" "Hammond, LA" "" 11 11 1930 "Southeastern Louisiana"
"L" "00-00-1931" "0" "Pearl River CC (MS)" "54" "?" "" 0 0 1931 "Southeastern Louisiana"
"T" "00-00-1931" "6" "Jones County JC (MS)" "6" "?" "" 0 0 1931 "Southeastern Louisiana"
"W" "00-00-1931" "14" "Southwest Mississippi JC" "6" "?" "" 0 0 1931 "Southeastern Louisiana"
"T" "10-03-1931" "6" "Louisiana-Lafayette" "6" "Lafayette, LA" "" 10 3 1931 "Southeastern Louisiana"
"W" "00-00-1931" "6" "Northeast Louisiana JC" "0" "?" "" 0 0 1931 "Southeastern Louisiana"
"L" "00-00-1931" "0" "Loyola Freshmen (LA)" "26" "?" "" 0 0 1931 "Southeastern Louisiana"
"W" "00-00-1932" "12" "Southwest Mississippi JC" "6" "?" "" 0 0 1932 "Southeastern Louisiana"
"L" "00-00-1932" "0" "Louisiana St. Freshmen" "6" "?" "" 0 0 1932 "Southeastern Louisiana"
"L" "09-30-1932" "0" "Louisiana-Lafayette" "6" "Lafayette, LA" "" 9 30 1932 "Southeastern Louisiana"
"L" "00-00-1932" "0" "Pearl River CC (MS)" "14" "?" "" 0 0 1932 "Southeastern Louisiana"
"W" "00-00-1932" "75" "Jones County JC (MS)" "0" "?" "" 0 0 1932 "Southeastern Louisiana"
"W" "00-00-1932" "19" "Northeast Louisiana JC" "0" "?" "" 0 0 1932 "Southeastern Louisiana"
"L" "00-00-1932" "7" "Loyola Freshmen (LA)" "14" "?" "" 0 0 1932 "Southeastern Louisiana"
"L" "11-24-1932" "0" "Miami (FL)" "7" "Miami, FL" "" 11 24 1932 "Southeastern Louisiana"
"W" "00-00-1933" "6" "Southwest Mississippi JC" "0" "?" "" 0 0 1933 "Southeastern Louisiana"
"L" "09-22-1933" "0" "Louisiana-Lafayette" "34" "Lafayette, LA" "" 9 22 1933 "Southeastern Louisiana"
"L" "00-00-1933" "0" "Louisiana St. Freshmen" "19" "?" "" 0 0 1933 "Southeastern Louisiana"
"L" "00-00-1933" "6" "East Mississippi JC" "12" "?" "" 0 0 1933 "Southeastern Louisiana"
"W" "00-00-1933" "58" "Clarke Memorial College (MS)" "0" "?" "" 0 0 1933 "Southeastern Louisiana"
