"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "11-30-1916" "0" "New Orleans (LA)" "14" "New Orleans, LA" "" 11 30 1916 "Southern (LA)"
"L" "00-00-1918" "0" "Bishop (TX)" "10" "?" "" 0 0 1918 "Southern (LA)"
"L" "00-00-1919" "0" "Bishop (TX)" "30" "?" "" 0 0 1919 "Southern (LA)"
"L" "00-00-1919" "0" "Wiley (TX)" "19" "?" "" 0 0 1919 "Southern (LA)"
"W" "00-00-1919" "14" "New Orleans (LA)" "12" "?" "" 0 0 1919 "Southern (LA)"
"W" "00-00-1919" "20" "Straight (LA)" "13" "?" "" 0 0 1919 "Southern (LA)"
"L" "00-00-1920" "6" "Bishop (TX)" "19" "?" "" 0 0 1920 "Southern (LA)"
"L" "00-00-1920" "12" "New Orleans (LA)" "18" "?" "" 0 0 1920 "Southern (LA)"
"L" "00-00-1920" "6" "Wiley (TX)" "28" "?" "" 0 0 1920 "Southern (LA)"
"T" "00-00-1920" "14" "Straight (LA)" "14" "?" "" 0 0 1920 "Southern (LA)"
"W" "00-00-1921" "20" "New Orleans (LA)" "6" "?" "" 0 0 1921 "Southern (LA)"
"L" "00-00-1921" "12" "Bishop (TX)" "21" "?" "" 0 0 1921 "Southern (LA)"
"L" "00-00-1921" "13" "Wiley (TX)" "32" "?" "" 0 0 1921 "Southern (LA)"
"L" "00-00-1921" "6" "Straight (LA)" "20" "?" "" 0 0 1921 "Southern (LA)"
"W" "00-00-1922" "28" "New Orleans (LA)" "0" "?" "" 0 0 1922 "Southern (LA)"
"L" "00-00-1922" "7" "Bishop (TX)" "19" "?" "" 0 0 1922 "Southern (LA)"
"L" "00-00-1922" "6" "Straight (LA)" "9" "?" "" 0 0 1922 "Southern (LA)"
"L" "00-00-1922" "12" "Wiley (TX)" "28" "?" "" 0 0 1922 "Southern (LA)"
"W" "00-00-1922" "49" "Alcorn St. (MS)" "12" "?" "" 0 0 1922 "Southern (LA)"
"L" "00-00-1923" "0" "Wiley (TX)" "6" "?" "" 0 0 1923 "Southern (LA)"
"W" "00-00-1923" "21" "Bishop (TX)" "13" "?" "" 0 0 1923 "Southern (LA)"
"W" "00-00-1923" "35" "New Orleans (LA)" "13" "?" "" 0 0 1923 "Southern (LA)"
"W" "00-00-1923" "15" "Xavier (LA)" "12" "?" "" 0 0 1923 "Southern (LA)"
"W" "00-00-1923" "22" "Arkansas-Pine Bluff" "12" "?" "" 0 0 1923 "Southern (LA)"
"W" "00-00-1923" "30" "Alcorn St. (MS)" "9" "?" "" 0 0 1923 "Southern (LA)"
"W" "12-01-1923" "28" "Straight (LA)" "7" "New Orleans, LA" "" 12 1 1923 "Southern (LA)"
"W" "00-00-1924" "21" "Bishop (TX)" "13" "?" "" 0 0 1924 "Southern (LA)"
"W" "00-00-1924" "28" "New Orleans (LA)" "13" "?" "" 0 0 1924 "Southern (LA)"
"L" "10-24-1924" "0" "Wiley (TX)" "6" "Shreveport, LA" "" 10 24 1924 "Southern (LA)"
"W" "00-00-1924" "30" "Xavier (LA)" "7" "?" "" 0 0 1924 "Southern (LA)"
"W" "00-00-1924" "26" "Straight (LA)" "12" "?" "" 0 0 1924 "Southern (LA)"
"W" "00-00-1924" "63" "Alcorn St. (MS)" "12" "?" "" 0 0 1924 "Southern (LA)"
"W" "00-00-1924" "28" "Arkansas-Pine Bluff" "9" "?" "" 0 0 1924 "Southern (LA)"
"L" "00-00-1925" "0" "Bishop (TX)" "21" "?" "" 0 0 1925 "Southern (LA)"
"W" "00-00-1925" "21" "Straight (LA)" "6" "?" "" 0 0 1925 "Southern (LA)"
"W" "00-00-1925" "38" "Alcorn St. (MS)" "0" "Baton Rouge, LA" "" 0 0 1925 "Southern (LA)"
"W" "00-00-1925" "28" "Xavier (LA)" "13" "?" "" 0 0 1925 "Southern (LA)"
"T" "00-00-1925" "35" "New Orleans (LA)" "35" "?" "" 0 0 1925 "Southern (LA)"
"L" "11-02-1925" "0" "Wiley (TX)" "6" "Shreveport, LA" "" 11 2 1925 "Southern (LA)"
"W" "00-00-1925" "30" "Arkansas-Pine Bluff" "0" "?" "" 0 0 1925 "Southern (LA)"
"T" "10-24-1926" "0" "Straight (LA)" "0" "New Orleans, LA" "" 10 24 1926 "Southern (LA)"
"L" "00-00-1926" "6" "Wiley (TX)" "32" "Shreveport, LA" "" 0 0 1926 "Southern (LA)"
"L" "11-25-1926" "0" "Tuskegee (AL)" "20" "Tuskegee, AL" "" 11 25 1926 "Southern (LA)"
"L" "10-31-1927" "0" "Bishop (TX)" "34" "Shreveport, LA" "" 10 31 1927 "Southern (LA)"
"L" "00-00-1928" "0" "Straight (LA)" "19" "?" "" 0 0 1928 "Southern (LA)"
"T" "10-13-1928" "6" "Alcorn St. (MS)" "6" "Lorman, MS" "" 10 13 1928 "Southern (LA)"
"W" "00-00-1928" "12" "Bishop (TX)" "7" "?" "" 0 0 1928 "Southern (LA)"
"L" "00-00-1928" "6" "Wiley (TX)" "33" "?" "" 0 0 1928 "Southern (LA)"
"W" "00-00-1928" "42" "New Orleans (LA)" "0" "?" "" 0 0 1928 "Southern (LA)"
"W" "00-00-1928" "21" "Xavier (LA)" "14" "?" "" 0 0 1928 "Southern (LA)"
"W" "11-29-1928" "20" "Leland (LA)" "6" "Baton Rouge, LA" "" 11 29 1928 "Southern (LA)"
"W" "00-00-1929" "98" "Jackson St. (MS)" "0" "?" "" 0 0 1929 "Southern (LA)"
"W" "00-00-1929" "97" "Alexandria HS (LA)" "0" "?" "" 0 0 1929 "Southern (LA)"
"W" "00-00-1929" "6" "Bishop (TX)" "0" "?" "" 0 0 1929 "Southern (LA)"
"W" "00-00-1929" "45" "Arkansas-Pine Bluff" "0" "?" "" 0 0 1929 "Southern (LA)"
"W" "11-04-1929" "45" "Arkansas Baptist" "7" "Shreveport, LA" "" 11 4 1929 "Southern (LA)"
"W" "00-00-1929" "29" "Xavier (LA)" "0" "?" "" 0 0 1929 "Southern (LA)"
"W" "11-11-1929" "7" "Wiley (TX)" "4" "Baton Rouge, LA" "" 11 11 1929 "Southern (LA)"
"L" "00-00-1929" "0" "Straight (LA)" "19" "?" "" 0 0 1929 "Southern (LA)"
"W" "00-00-1930" "77" "Alexandria HS (LA)" "0" "?" "" 0 0 1930 "Southern (LA)"
"W" "10-11-1930" "24" "Bishop (TX)" "0" "Baton Rouge, LA" "" 10 11 1930 "Southern (LA)"
"W" "00-00-1930" "53" "New Orleans (LA)" "13" "?" "" 0 0 1930 "Southern (LA)"
"W" "11-08-1930" "33" "Alcorn St. (MS)" "13" "Scotlandville, LA" "" 11 8 1930 "Southern (LA)"
"W" "00-00-1930" "33" "Leland (LA)" "0" "?" "" 0 0 1930 "Southern (LA)"
"T" "11-11-1930" "6" "Wiley (TX)" "6" "Shreveport, LA" "" 11 11 1930 "Southern (LA)"
"L" "11-27-1930" "0" "Prairie View A&M (TX)" "13" "Prairie View, TX" "" 11 27 1930 "Southern (LA)"
"W" "10-10-1931" "6" "Bishop (TX)" "0" "Dallas, TX" "" 10 10 1931 "Southern (LA)"
"W" "00-00-1931" "91" "Campbell College (MS)" "0" "Baton Rouge, LA" "" 0 0 1931 "Southern (LA)"
"W" "00-00-1931" "38" "Texas College" "6" "Baton Rouge, LA" "" 0 0 1931 "Southern (LA)"
"W" "10-26-1931" "14" "Wiley (TX)" "7" "Shreveport, LA" "" 10 26 1931 "Southern (LA)"
"W" "11-07-1931" "38" "New Orleans (LA)" "0" "New Orleans, LA" "" 11 7 1931 "Southern (LA)"
"W" "11-14-1931" "53" "Straight (LA)" "0" "Baton Rouge, LA" "" 11 14 1931 "Southern (LA)"
