"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1923" "120" "Center HS" "0" "?" "" 0 0 1923 "Stephen F. Austin (TX)"
"L" "10-05-1923" "0" "Texas St." "47" "San Marcos, TX" "" 10 5 1923 "Stephen F. Austin (TX)"
"L" "00-00-1923" "0" "Lamar (TX)" "10" "?" "" 0 0 1923 "Stephen F. Austin (TX)"
"L" "11-10-1923" "0" "Lon Morris (TX)" "40" "Nacogdoches, TX" "" 11 10 1923 "Stephen F. Austin (TX)"
"L" "00-00-1923" "6" "Sam Houston St. (TX)" "19" "Huntsville, TX" "" 0 0 1923 "Stephen F. Austin (TX)"
"T" "00-00-1923" "0" "College of Marshall (TX)" "0" "?" "" 0 0 1923 "Stephen F. Austin (TX)"
"W" "00-00-1923" "18" "Hillsboro JC (TX)" "6" "?" "" 0 0 1923 "Stephen F. Austin (TX)"
"W" "09-26-1924" "3" "Sam Houston St. (TX)" "2" "Huntsville, TX" "" 9 26 1924 "Stephen F. Austin (TX)"
"L" "10-04-1924" "6" "Texas St." "23" "San Marcos, TX" "" 10 4 1924 "Stephen F. Austin (TX)"
"W" "00-00-1924" "22" "Rusk Baptist College (TX)" "0" "?" "" 0 0 1924 "Stephen F. Austin (TX)"
"L" "00-00-1924" "2" "Texas A&M-Commerce" "12" "Nacogdoches, TX" "" 0 0 1924 "Stephen F. Austin (TX)"
"L" "00-00-1924" "0" "Lon Morris (TX)" "3" "?" "" 0 0 1924 "Stephen F. Austin (TX)"
"L" "00-00-1924" "7" "Lamar (TX)" "19" "?" "" 0 0 1924 "Stephen F. Austin (TX)"
"L" "10-30-1924" "0" "Southwestern (TX)" "33" "Georgetown, TX" "" 10 30 1924 "Stephen F. Austin (TX)"
"L" "11-07-1924" "3" "Northwestern St. (LA)" "7" "Nacogdoches, TX" "" 11 7 1924 "Stephen F. Austin (TX)"
"W" "00-00-1924" "34" "Hillsboro JC (TX)" "0" "?" "" 0 0 1924 "Stephen F. Austin (TX)"
"L" "09-26-1925" "0" "Rice (TX)" "33" "Houston, TX" "" 9 26 1925 "Stephen F. Austin (TX)"
"L" "00-00-1925" "0" "Texas St." "12" "?" "" 0 0 1925 "Stephen F. Austin (TX)"
"T" "00-00-1925" "0" "Lon Morris (TX)" "0" "?" "" 0 0 1925 "Stephen F. Austin (TX)"
"L" "10-17-1925" "0" "North Texas" "10" "?" "" 10 17 1925 "Stephen F. Austin (TX)"
"W" "00-00-1925" "27" "College of Marshall (TX)" "0" "?" "" 0 0 1925 "Stephen F. Austin (TX)"
"W" "00-00-1925" "6" "Rusk Baptist College (TX)" "0" "?" "" 0 0 1925 "Stephen F. Austin (TX)"
"W" "11-06-1925" "7" "Northwestern St. (LA)" "6" "Natchitoches, LA" "" 11 6 1925 "Stephen F. Austin (TX)"
"L" "11-14-1925" "7" "Louisiana-Lafayette" "26" "Lafayette, LA" "" 11 14 1925 "Stephen F. Austin (TX)"
"L" "00-00-1925" "0" "Sam Houston St. (TX)" "6" "Nacogdoches, TX" "" 0 0 1925 "Stephen F. Austin (TX)"
"T" "00-00-1925" "0" "Lamar (TX)" "0" "?" "" 0 0 1925 "Stephen F. Austin (TX)"
"L" "09-25-1926" "0" "Rice (TX)" "25" "Houston, TX" "" 9 25 1926 "Stephen F. Austin (TX)"
"L" "10-02-1926" "0" "Texas St." "7" "San Marcos, TX" "" 10 2 1926 "Stephen F. Austin (TX)"
"W" "00-00-1926" "108" "College of Marshall (TX)" "0" "?" "" 0 0 1926 "Stephen F. Austin (TX)"
"L" "00-00-1926" "6" "North Texas" "9" "?" "" 0 0 1926 "Stephen F. Austin (TX)"
"W" "00-00-1926" "14" "Texas A&M-Commerce" "0" "Commerce, TX" "" 0 0 1926 "Stephen F. Austin (TX)"
"W" "00-00-1926" "13" "Rusk Baptist College (TX)" "7" "?" "" 0 0 1926 "Stephen F. Austin (TX)"
"W" "11-06-1926" "28" "Northwestern St. (LA)" "0" "Nacogdoches, TX" "" 11 6 1926 "Stephen F. Austin (TX)"
"L" "11-12-1926" "0" "Louisiana-Lafayette" "33" "Lafayette, LA" "" 11 12 1926 "Stephen F. Austin (TX)"
"W" "00-00-1926" "33" "Lon Morris (TX)" "0" "?" "" 0 0 1926 "Stephen F. Austin (TX)"
"L" "11-25-1926" "0" "Sam Houston St. (TX)" "38" "Huntsville, TX" "" 11 25 1926 "Stephen F. Austin (TX)"
"T" "00-00-1927" "0" "Lon Morris (TX)" "0" "?" "" 0 0 1927 "Stephen F. Austin (TX)"
"L" "10-01-1927" "0" "Texas St." "14" "Nacogdoches, TX" "" 10 1 1927 "Stephen F. Austin (TX)"
"W" "00-00-1927" "21" "Texas A&M-Commerce" "0" "Nacogdoches, TX" "" 0 0 1927 "Stephen F. Austin (TX)"
"T" "10-14-1927" "12" "North Texas" "12" "Denton, TX" "" 10 14 1927 "Stephen F. Austin (TX)"
"T" "00-00-1927" "0" "McMurry (TX)" "0" "?" "" 0 0 1927 "Stephen F. Austin (TX)"
"L" "00-00-1927" "0" "Rusk Baptist College (TX)" "12" "?" "" 0 0 1927 "Stephen F. Austin (TX)"
"L" "11-05-1927" "0" "Northwestern St. (LA)" "26" "Nacogdoches, TX" "" 11 5 1927 "Stephen F. Austin (TX)"
"L" "11-11-1927" "0" "Saint Mary's (TX)" "19" "San Antonio, TX" "" 11 11 1927 "Stephen F. Austin (TX)"
"L" "11-18-1927" "0" "West Texas A&M" "27" "Canyon, TX" "" 11 18 1927 "Stephen F. Austin (TX)"
"L" "00-00-1927" "0" "Sam Houston St. (TX)" "6" "Nacogdoches, TX" "" 0 0 1927 "Stephen F. Austin (TX)"
"L" "09-22-1928" "0" "Baylor (TX)" "31" "Waco, TX" "" 9 22 1928 "Stephen F. Austin (TX)"
"L" "09-29-1928" "0" "Texas St." "20" "San Marcos, TX" "" 9 29 1928 "Stephen F. Austin (TX)"
"L" "00-00-1928" "0" "Texas A&M-Commerce" "25" "Commerce, TX" "" 0 0 1928 "Stephen F. Austin (TX)"
"W" "00-00-1928" "12" "Lon Morris (TX)" "0" "?" "" 0 0 1928 "Stephen F. Austin (TX)"
"L" "10-20-1928" "7" "North Texas" "14" "Nacogdoches, TX" "" 10 20 1928 "Stephen F. Austin (TX)"
"L" "10-26-1928" "0" "McMurry (TX)" "49" "Abilene, TX" "" 10 26 1928 "Stephen F. Austin (TX)"
"L" "11-03-1928" "0" "Northwestern St. (LA)" "26" "Shreveport, LA" "" 11 3 1928 "Stephen F. Austin (TX)"
"L" "11-12-1928" "0" "Texas A&M-Kingsville" "46" "Kingsville, TX" "" 11 12 1928 "Stephen F. Austin (TX)"
"L" "00-00-1928" "0" "Texarkana JC (TX)" "20" "?" "" 0 0 1928 "Stephen F. Austin (TX)"
"L" "11-29-1928" "2" "Sam Houston St. (TX)" "19" "Huntsville, TX" "" 11 29 1928 "Stephen F. Austin (TX)"
"L" "09-21-1929" "0" "Baylor (TX)" "88" "Waco, TX" "" 9 21 1929 "Stephen F. Austin (TX)"
"L" "09-27-1929" "7" "Texas St." "24" "San Marcos, TX" "" 9 27 1929 "Stephen F. Austin (TX)"
"L" "00-00-1929" "0" "McMurry (TX)" "35" "?" "" 0 0 1929 "Stephen F. Austin (TX)"
"T" "00-00-1929" "6" "Texas A&M-Commerce" "6" "Nacogdoches, TX" "" 0 0 1929 "Stephen F. Austin (TX)"
"L" "10-17-1929" "0" "North Texas" "31" "Denton, TX" "" 10 17 1929 "Stephen F. Austin (TX)"
