"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"T" "00-00-1916" "0" "Lane (TN)" "0" "?" "" 0 0 1916 "Tennessee St."
"W" "00-00-1922" "7" "Fisk (TN)" "6" "?" "" 0 0 1922 "Tennessee St."
"L" "00-00-1922" "2" "Kentucky St." "7" "?" "" 0 0 1922 "Tennessee St."
"W" "00-00-1923" "19" "Walden (TN)" "14" "?" "" 0 0 1923 "Tennessee St."
"W" "00-00-1923" "13" "Roger Williams (TN)" "0" "?" "" 0 0 1923 "Tennessee St."
"L" "10-27-1923" "0" "Atlanta (GA)" "12" "Atlanta, GA" "" 10 27 1923 "Tennessee St."
"W" "00-00-1924" "60" "Walden (TN)" "0" "?" "" 0 0 1924 "Tennessee St."
"L" "10-18-1924" "0" "Morehouse (GA)" "1" "Chattanooga, TN" "Tennessee St. Forfeits" 10 18 1924 "Tennessee St."
"W" "00-00-1924" "40" "Rust (MS)" "0" "?" "" 0 0 1924 "Tennessee St."
"W" "00-00-1924" "13" "Knoxville (TN)" "6" "?" "" 0 0 1924 "Tennessee St."
"W" "00-00-1924" "10" "Morris Brown (GA)" "0" "?" "" 0 0 1924 "Tennessee St."
"T" "00-00-1924" "0" "Simmons (KY)" "0" "?" "" 0 0 1924 "Tennessee St."
"W" "00-00-1925" "61" "Rust (MS)" "0" "?" "" 0 0 1925 "Tennessee St."
"W" "00-00-1925" "13" "Knoxville (TN)" "6" "?" "" 0 0 1925 "Tennessee St."
"W" "11-07-1925" "10" "Morris Brown (GA)" "0" "Nashville, TN" "" 11 7 1925 "Tennessee St."
"W" "11-21-1925" "60" "Walden (TN)" "0" "Nashville, TN" "" 11 21 1925 "Tennessee St."
"T" "11-26-1925" "0" "Simmons (KY)" "0" "Nashville, TN" "" 11 26 1925 "Tennessee St."
"L" "12-05-1925" "0" "Fisk (TN)" "6" "Nashville, TN" "" 12 5 1925 "Tennessee St."
"W" "00-00-1926" "21" "Rust (MS)" "13" "?" "" 0 0 1926 "Tennessee St."
"L" "00-00-1926" "0" "Knoxville (TN)" "21" "?" "" 0 0 1926 "Tennessee St."
"T" "00-00-1926" "13" "Fisk (TN)" "13" "?" "" 0 0 1926 "Tennessee St."
"L" "00-00-1926" "0" "Morris Brown (GA)" "6" "?" "" 0 0 1926 "Tennessee St."
"T" "11-13-1926" "0" "Morehouse (GA)" "0" "Nashville, TN" "" 11 13 1926 "Tennessee St."
"W" "11-12-1927" "20" "Morehouse (GA)" "13" "Atlanta, GA" "" 11 12 1927 "Tennessee St."
"T" "11-12-1927" "0" "Knoxville (TN)" "0" "Nashville, TN" "" 11 12 1927 "Tennessee St."
"L" "11-19-1927" "0" "Wilberforce (OH)" "18" "Wilberforce, OH" "" 11 19 1927 "Tennessee St."
"T" "11-24-1927" "0" "Fisk (TN)" "0" "Nashville, TN" "" 11 24 1927 "Tennessee St."
"L" "00-00-1927" "0" "Morris Brown (GA)" "18" "?" "" 0 0 1927 "Tennessee St."
"T" "10-20-1928" "6" "Miles (AL)" "6" "?" "" 10 20 1928 "Tennessee St."
"L" "10-27-1928" "0" "Knoxville (TN)" "13" "Knoxville, TN" "" 10 27 1928 "Tennessee St."
"L" "11-10-1928" "0" "Alabama St." "6" "Nashville, TN" "" 11 10 1928 "Tennessee St."
"L" "00-00-1928" "0" "Morris Brown (GA)" "10" "?" "" 0 0 1928 "Tennessee St."
