"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1917" "0" "Middle Tennessee St." "26" "Cookeville, TN" "" 0 0 1917 "Tennessee Tech"
"T" "00-00-1922" "6" "Cumberland (TN)" "6" "?" "" 0 0 1922 "Tennessee Tech"
"T" "00-00-1922" "7" "Bryson (TN)" "7" "?" "" 0 0 1922 "Tennessee Tech"
"L" "10-21-1922" "0" "Western Kentucky" "19" "?" "" 10 21 1922 "Tennessee Tech"
"W" "00-00-1922" "25" "Bethel (KY)" "13" "?" "" 0 0 1922 "Tennessee Tech"
"T" "11-04-1922" "0" "Milligan (TN)" "0" "Cookeville, TN" "" 11 4 1922 "Tennessee Tech"
"T" "00-00-1922" "6" "Bethel (KY)" "6" "?" "" 0 0 1922 "Tennessee Tech"
"W" "00-00-1922" "26" "Ogden College (KY)" "0" "?" "" 0 0 1922 "Tennessee Tech"
"W" "00-00-1923" "24" "Livingston Academy (TN)" "0" "?" "" 0 0 1923 "Tennessee Tech"
"L" "10-06-1923" "0" "King College (TN)" "75" "Cookeville, TN" "" 10 6 1923 "Tennessee Tech"
"L" "00-00-1923" "0" "Bryson (TN)" "14" "?" "" 0 0 1923 "Tennessee Tech"
"L" "00-00-1923" "7" "Bethel (KY)" "12" "?" "" 0 0 1923 "Tennessee Tech"
"T" "00-00-1923" "0" "Ogden College (KY)" "0" "?" "" 0 0 1923 "Tennessee Tech"
"W" "00-00-1923" "14" "Sewanee JV (TN)" "0" "?" "" 0 0 1923 "Tennessee Tech"
"W" "00-00-1924" "32" "Livingston Academy (TN)" "0" "?" "" 0 0 1924 "Tennessee Tech"
"W" "00-00-1924" "35" "Livingston Academy (TN)" "0" "?" "" 0 0 1924 "Tennessee Tech"
"L" "00-00-1924" "0" "Castle Heights Military Institute (TN)" "20" "?" "" 0 0 1924 "Tennessee Tech"
"W" "00-00-1924" "6" "Middle Tennessee St." "0" "Murfreesboro, TN" "" 0 0 1924 "Tennessee Tech"
"L" "10-18-1924" "0" "Cumberland (TN)" "14" "Cookeville, TN" "" 10 18 1924 "Tennessee Tech"
"W" "00-00-1924" "22" "Bethel (KY)" "7" "?" "" 0 0 1924 "Tennessee Tech"
"W" "00-00-1924" "26" "Hiwassee College (TN)" "0" "?" "" 0 0 1924 "Tennessee Tech"
"L" "00-00-1924" "0" "Tennessee-Chattanooga Freshmen" "14" "?" "" 0 0 1924 "Tennessee Tech"
"T" "00-00-1924" "6" "Ogden College (KY)" "6" "?" "" 0 0 1924 "Tennessee Tech"
"L" "00-00-1925" "0" "Gallatin P. Institute" "14" "?" "" 0 0 1925 "Tennessee Tech"
"W" "00-00-1925" "54" "Castle Heights Military Institute (TN)" "0" "?" "" 0 0 1925 "Tennessee Tech"
"W" "00-00-1925" "12" "Ogden College (KY)" "6" "?" "" 0 0 1925 "Tennessee Tech"
"T" "10-24-1925" "0" "Middle Tennessee St." "0" "Cookeville, TN" "" 10 24 1925 "Tennessee Tech"
"W" "00-00-1925" "39" "Hiwassee College (TN)" "2" "?" "" 0 0 1925 "Tennessee Tech"
"L" "00-00-1925" "0" "Cumberland (TN)" "51" "?" "" 0 0 1925 "Tennessee Tech"
"W" "00-00-1926" "9" "Sewanee JV (TN)" "7" "?" "" 0 0 1926 "Tennessee Tech"
"L" "00-00-1926" "0" "Hall-Moody Institute (TN)" "12" "?" "" 0 0 1926 "Tennessee Tech"
"L" "10-29-1926" "0" "Cumberland (TN)" "19" "Cookeville, TN" "" 10 29 1926 "Tennessee Tech"
"L" "11-06-1926" "0" "Tennessee Wesleyan" "35" "Athens, TN" "" 11 6 1926 "Tennessee Tech"
"T" "11-12-1926" "0" "Ogden College (KY)" "0" "Cookeville, TN" "" 11 12 1926 "Tennessee Tech"
"L" "00-00-1926" "6" "Castle Heights Military Institute (TN)" "12" "?" "" 0 0 1926 "Tennessee Tech"
