"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1953" "0" "Itawamba JC (MS)" "13" "?" "" 0 0 1953 "Tennessee-Martin"
"W" "00-00-1953" "6" "Sewanee JV (TN)" "0" "?" "" 0 0 1953 "Tennessee-Martin"
"L" "00-00-1953" "14" "Northeast Mississippi JC" "26" "?" "" 0 0 1953 "Tennessee-Martin"
"W" "00-00-1953" "19" "Northwest Mississippi JC" "7" "?" "" 0 0 1953 "Tennessee-Martin"
"L" "00-00-1953" "0" "Memphis NAS (TN)" "33" "?" "" 0 0 1953 "Tennessee-Martin"
"L" "00-00-1953" "7" "Little Rock JC (AR)" "38" "?" "" 0 0 1953 "Tennessee-Martin"
"L" "00-00-1953" "7" "Tennessee Wesleyan" "20" "?" "" 0 0 1953 "Tennessee-Martin"
"W" "00-00-1954" "7" "East Mississippi JC" "0" "?" "" 0 0 1954 "Tennessee-Martin"
"L" "00-00-1954" "0" "Itawamba JC (MS)" "14" "?" "" 0 0 1954 "Tennessee-Martin"
"W" "00-00-1954" "19" "Tennessee Wesleyan" "13" "?" "" 0 0 1954 "Tennessee-Martin"
"L" "00-00-1954" "13" "Northwest Mississippi JC" "19" "?" "" 0 0 1954 "Tennessee-Martin"
"L" "10-30-1954" "13" "William Carey (MS)" "33" "?" "" 10 30 1954 "Tennessee-Martin"
"L" "00-00-1954" "7" "Little Rock JC (AR)" "39" "?" "" 0 0 1954 "Tennessee-Martin"
"L" "00-00-1954" "16" "Northeast Mississippi JC" "32" "?" "" 0 0 1954 "Tennessee-Martin"
"L" "00-00-1954" "6" "Memphis NAS (TN)" "23" "?" "" 0 0 1954 "Tennessee-Martin"
"W" "00-00-1955" "9" "Columbia Military Academy (TN)" "6" "?" "" 0 0 1955 "Tennessee-Martin"
"L" "00-00-1955" "6" "Northeast Mississippi JC" "19" "?" "" 0 0 1955 "Tennessee-Martin"
"L" "00-00-1955" "6" "Memphis JV (TN)" "26" "?" "" 0 0 1955 "Tennessee-Martin"
"T" "00-00-1955" "6" "Tennessee Wesleyan" "6" "?" "" 0 0 1955 "Tennessee-Martin"
"L" "00-00-1955" "13" "Northwest Mississippi JC" "14" "?" "" 0 0 1955 "Tennessee-Martin"
"L" "00-00-1955" "7" "Baylor Military Academy (TN)" "13" "?" "" 0 0 1955 "Tennessee-Martin"
"W" "00-00-1955" "33" "Sewanee JV (TN)" "10" "?" "" 0 0 1955 "Tennessee-Martin"
"L" "00-00-1955" "6" "Memphis NAS (TN)" "13" "?" "" 0 0 1955 "Tennessee-Martin"
"L" "00-00-1956" "0" "Baylor Military Academy (TN)" "34" "?" "" 0 0 1956 "Tennessee-Martin"
"L" "00-00-1956" "7" "Northeast Mississippi JC" "31" "?" "" 0 0 1956 "Tennessee-Martin"
"W" "00-00-1956" "35" "Columbia Military Academy (TN)" "0" "?" "" 0 0 1956 "Tennessee-Martin"
"W" "00-00-1956" "20" "Northwest Mississippi JC" "12" "?" "" 0 0 1956 "Tennessee-Martin"
"L" "00-00-1956" "12" "Arkansas St. JV" "20" "?" "" 0 0 1956 "Tennessee-Martin"
"W" "00-00-1956" "41" "Redstone Arsenal (AL)" "21" "?" "" 0 0 1956 "Tennessee-Martin"
"W" "00-00-1956" "27" "Memphis JV (TN)" "14" "?" "" 0 0 1956 "Tennessee-Martin"
"L" "00-00-1956" "6" "Memphis NAS (TN)" "13" "?" "" 0 0 1956 "Tennessee-Martin"
"W" "00-00-1957" "32" "Marion Military Institute (AL)" "6" "?" "" 0 0 1957 "Tennessee-Martin"
"W" "00-00-1957" "26" "Arkansas St. JV" "18" "?" "" 0 0 1957 "Tennessee-Martin"
"W" "00-00-1957" "39" "Hendrix (AR)" "0" "?" "" 0 0 1957 "Tennessee-Martin"
"W" "00-00-1957" "26" "Northwest Mississippi JC" "0" "?" "" 0 0 1957 "Tennessee-Martin"
"W" "00-00-1957" "59" "West Georgia" "6" "?" "" 0 0 1957 "Tennessee-Martin"
"L" "00-00-1957" "13" "Baylor Military Academy (TN)" "31" "?" "" 0 0 1957 "Tennessee-Martin"
"W" "00-00-1957" "25" "Memphis NAS (TN)" "20" "?" "" 0 0 1957 "Tennessee-Martin"
"W" "09-20-1958" "33" "Georgetown (KY)" "7" "Martin, TN" "" 9 20 1958 "Tennessee-Martin"
"W" "09-27-1958" "7" "Central Arkansas" "6" "Conway, AR" "" 9 27 1958 "Tennessee-Martin"
"W" "10-04-1958" "20" "Tennessee Tech JV" "0" "?" "" 10 4 1958 "Tennessee-Martin"
"W" "10-11-1958" "34" "Hendrix (AR)" "0" "Martin, TN" "" 10 11 1958 "Tennessee-Martin"
"W" "10-18-1958" "32" "Ozarks (AR)" "7" "Martin, TN" "" 10 18 1958 "Tennessee-Martin"
