"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "09-27-1947" "0" "Southern (LA)" "51" "Baton Rouge, LA" "" 9 27 1947 "Texas Southern"
"L" "10-10-1947" "6" "Grambling St. (LA)" "27" "Houston, TX" "" 10 10 1947 "Texas Southern"
"W" "10-11-1947" "7" "Samuel Huston (TX)" "0" "Austin, TX" "" 10 11 1947 "Texas Southern"
"W" "00-00-1947" "25" "Xavier (LA)" "0" "Houston, TX" "" 0 0 1947 "Texas Southern"
"W" "10-18-1947" "33" "Tillotson (TX)" "6" "?" "" 10 18 1947 "Texas Southern"
"W" "10-31-1947" "13" "Prairie View A&M (TX)" "7" "Houston, TX" "" 10 31 1947 "Texas Southern"
"W" "00-00-1947" "7" "Paul Quinn (TX)" "0" "?" "" 0 0 1947 "Texas Southern"
"L" "11-22-1947" "0" "Texas College" "7" "Tyler, TX" "" 11 22 1947 "Texas Southern"
"W" "11-28-1947" "20" "Langston (OK)" "12" "Houston, TX" "" 11 28 1947 "Texas Southern"
"W" "12-05-1947" "59" "Alabama St." "0" "Houston, TX" "" 12 5 1947 "Texas Southern"
"W" "01-01-1948" "13" "Prairie View A&M (TX)" "0" "Houston, TX" "Prairie View Bowl" 1 1 1948 "Texas Southern"
"T" "09-18-1948" "6" "Wiley (TX)" "6" "Marshall, TX" "" 9 18 1948 "Texas Southern"
"L" "09-25-1948" "0" "Southern (LA)" "38" "Houston, TX" "" 9 25 1948 "Texas Southern"
"L" "10-09-1948" "12" "Grambling St. (LA)" "61" "Grambling, LA" "" 10 9 1948 "Texas Southern"
"W" "10-23-1948" "37" "Samuel Huston (TX)" "7" "Austin, TX" "" 10 23 1948 "Texas Southern"
"L" "10-29-1948" "0" "Prairie View A&M (TX)" "21" "Houston, TX" "" 10 29 1948 "Texas Southern"
"L" "11-06-1948" "0" "Tillotson (TX)" "27" "?" "" 11 6 1948 "Texas Southern"
"L" "11-13-1948" "6" "Xavier (LA)" "12" "New Orleans, LA" "" 11 13 1948 "Texas Southern"
"L" "11-20-1948" "0" "Texas College" "21" "Tyler, TX" "" 11 20 1948 "Texas Southern"
"T" "11-27-1948" "0" "Langston (OK)" "0" "Houston, TX" "" 11 27 1948 "Texas Southern"
"W" "00-00-1948" "59" "Alabama St." "0" "?" "" 0 0 1948 "Texas Southern"
"L" "09-24-1949" "0" "Southern (LA)" "41" "Baton Rouge, LA" "" 9 24 1949 "Texas Southern"
"W" "10-01-1949" "25" "Tillotson (TX)" "12" "Houston, TX" "" 10 1 1949 "Texas Southern"
"L" "10-08-1949" "0" "Samuel Huston (TX)" "15" "Austin, TX" "" 10 8 1949 "Texas Southern"
"L" "10-22-1949" "0" "Langston (OK)" "32" "Langston, OK" "" 10 22 1949 "Texas Southern"
"L" "10-29-1949" "0" "Prairie View A&M (TX)" "13" "Houston, TX" "" 10 29 1949 "Texas Southern"
"W" "11-05-1949" "15" "Grambling St. (LA)" "7" "Houston, TX" "" 11 5 1949 "Texas Southern"
"L" "11-05-1949" "0" "Bishop (TX)" "20" "Dallas, TX" "" 11 5 1949 "Texas Southern"
"T" "11-18-1949" "13" "Texas College" "13" "Tyler, TX" "" 11 18 1949 "Texas Southern"
"L" "12-03-1949" "18" "Arkansas-Pine Bluff" "19" "Pine Bluff, AR" "" 12 3 1949 "Texas Southern"
"W" "12-10-1949" "12" "Wiley (TX)" "0" "Houston, TX" "" 12 10 1949 "Texas Southern"
"W" "09-16-1950" "6" "Wiley (TX)" "0" "Marshall, TX" "" 9 16 1950 "Texas Southern"
"L" "09-22-1950" "0" "Southern (LA)" "19" "Houston, TX" "" 9 22 1950 "Texas Southern"
"W" "09-29-1950" "19" "Tillotson (TX)" "7" "Houston, TX" "" 9 29 1950 "Texas Southern"
"L" "10-07-1950" "7" "Bishop (TX)" "53" "Port Authur, TX" "" 10 7 1950 "Texas Southern"
"L" "10-14-1950" "2" "Grambling St. (LA)" "26" "Fort Worth, TX" "" 10 14 1950 "Texas Southern"
"T" "10-20-1950" "0" "Samuel Huston (TX)" "0" "Houston, TX" "" 10 20 1950 "Texas Southern"
"W" "10-21-1950" "7" "Kentucky St." "0" "Houston, TX" "" 10 21 1950 "Texas Southern"
"L" "10-27-1950" "6" "Prairie View A&M (TX)" "32" "Houston, TX" "" 10 27 1950 "Texas Southern"
"W" "11-17-1950" "14" "Texas College" "6" "Houston, TX" "" 11 17 1950 "Texas Southern"
"L" "11-25-1950" "7" "Langston (OK)" "39" "Houston, TX" "" 11 25 1950 "Texas Southern"
"W" "12-02-1950" "13" "Arkansas-Pine Bluff" "0" "Houston, TX" "" 12 2 1950 "Texas Southern"
"L" "09-22-1951" "0" "Southern (LA)" "25" "Baton Rouge, LA" "" 9 22 1951 "Texas Southern"
"W" "09-29-1951" "46" "Butler College (TX)" "8" "Tyler, TX" "" 9 29 1951 "Texas Southern"
"W" "00-00-1951" "21" "Jackson St. (MS)" "6" "?" "" 0 0 1951 "Texas Southern"
"T" "10-13-1951" "7" "Grambling St. (LA)" "7" "Grambling, LA" "" 10 13 1951 "Texas Southern"
"W" "10-20-1951" "19" "Kentucky St." "14" "Frankfort, KY" "" 10 20 1951 "Texas Southern"
"W" "11-02-1951" "26" "Paul Quinn (TX)" "7" "Houston, TX" "" 11 2 1951 "Texas Southern"
"W" "11-10-1951" "48" "Samuel Huston (TX)" "2" "Austin, TX" "" 11 10 1951 "Texas Southern"
"W" "11-17-1951" "19" "Alcorn St. (MS)" "14" "Houston, TX" "" 11 17 1951 "Texas Southern"
"W" "11-24-1951" "48" "Bishop (TX)" "0" "Fort Worth, TX" "" 11 24 1951 "Texas Southern"
"L" "11-30-1951" "13" "Prairie View A&M (TX)" "33" "Houston, TX" "" 11 30 1951 "Texas Southern"
"W" "09-20-1952" "65" "Butler College (TX)" "0" "Houston, TX" "" 9 20 1952 "Texas Southern"
"W" "09-27-1952" "14" "Southern (LA)" "7" "Houston, TX" "" 9 27 1952 "Texas Southern"
"W" "10-04-1952" "20" "Jackson St. (MS)" "6" "Jackson, MS" "" 10 4 1952 "Texas Southern"
"W" "10-11-1952" "46" "Grambling St. (LA)" "14" "Houston, TX" "" 10 11 1952 "Texas Southern"
"T" "10-25-1952" "13" "Lincoln (MO)" "13" "Houston, TX" "" 10 25 1952 "Texas Southern"
"W" "11-01-1952" "12" "Xavier (LA)" "7" "New Orleans, LA" "" 11 1 1952 "Texas Southern"
"W" "11-08-1952" "46" "Paul Quinn (TX)" "20" "Dallas, TX" "" 11 8 1952 "Texas Southern"
"W" "11-15-1952" "19" "Alcorn St. (MS)" "0" "Lorman, MS" "" 11 15 1952 "Texas Southern"
