"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "11-22-1894" "24" "Logan AA" "0" "Villanova, PA" "" 11 22 1894 "Villanova (PA)"
"L" "00-00-1895" "12" "Philadelphia Manual Training School (PA)" "16" "Villanova, PA" "" 0 0 1895 "Villanova (PA)"
"W" "00-00-1895" "14" "South End Wheelmen" "0" "Villanova, PA" "" 0 0 1895 "Villanova (PA)"
"W" "11-13-1895" "12" "Hahnemann Medical College (PA)" "0" "Villanova, PA" "" 11 13 1895 "Villanova (PA)"
"W" "00-00-1895" "10" "Philadelphia Dental College (PA)" "0" "Villanova, PA" "" 0 0 1895 "Villanova (PA)"
"L" "11-23-1895" "6" "Delaware" "10" "Villanova, PA" "" 11 23 1895 "Villanova (PA)"
"L" "00-00-1895" "6" "West Chester (PA)" "24" "West Chester, PA" "" 0 0 1895 "Villanova (PA)"
"W" "09-30-1896" "16" "Swarthmore (PA)" "0" "Swarthmore, PA" "" 9 30 1896 "Villanova (PA)"
"W" "10-03-1896" "14" "Delaware" "0" "Newark, DE" "" 10 3 1896 "Villanova (PA)"
"L" "00-00-1896" "5" "Pennsylvania JV" "36" "Philadelphia, PA" "" 0 0 1896 "Villanova (PA)"
"W" "00-00-1896" "21" "Ursinus (PA)" "0" "Villanova, PA" "" 0 0 1896 "Villanova (PA)"
"W" "10-21-1896" "10" "Swarthmore (PA)" "0" "Villanova, PA" "" 10 21 1896 "Villanova (PA)"
"W" "00-00-1896" "5" "Haverford (PA)" "4" "Haverford, PA" "" 0 0 1896 "Villanova (PA)"
"W" "00-00-1896" "10" "Philadelphia Dental College (PA)" "0" "Villanova, PA" "" 0 0 1896 "Villanova (PA)"
"L" "00-00-1896" "0" "West Chester (PA)" "18" "West Chester, PA" "" 0 0 1896 "Villanova (PA)"
"W" "00-00-1896" "12" "Ursinus (PA)" "4" "Collegeville, PA" "" 0 0 1896 "Villanova (PA)"
"W" "00-00-1896" "12" "Philadelphia Dental College (PA)" "0" "Philadelphia, PA" "" 0 0 1896 "Villanova (PA)"
"W" "00-00-1896" "28" "Jefferson Medical College (PA)" "0" "Villanova, PA" "" 0 0 1896 "Villanova (PA)"
"W" "00-00-1896" "24" "Widener (PA)" "6" "Chester, PA" "" 0 0 1896 "Villanova (PA)"
"L" "00-00-1896" "4" "South Jersey Institute (NJ)" "6" "Bridgeton, NJ" "" 0 0 1896 "Villanova (PA)"
"L" "00-00-1896" "0" "Warren AA (PA)" "22" "?" "" 0 0 1896 "Villanova (PA)"
"W" "00-00-1897" "14" "South End Wheelmen" "0" "Villanova, PA" "" 0 0 1897 "Villanova (PA)"
"L" "10-09-1897" "6" "Hill School (PA)" "16" "Pottstown, PA" "" 10 9 1897 "Villanova (PA)"
"L" "10-16-1897" "0" "Franklin & Marshall (PA)" "28" "Lancaster, PA" "" 10 16 1897 "Villanova (PA)"
"L" "10-23-1897" "0" "Dickinson (PA)" "52" "Carlisle, PA" "" 10 23 1897 "Villanova (PA)"
"W" "00-00-1897" "52" "Philadelphia Dental College (PA)" "0" "Villanova, PA" "" 0 0 1897 "Villanova (PA)"
"L" "11-10-1897" "0" "Manhattan (NY)" "8" "Manhattan, NY" "" 11 10 1897 "Villanova (PA)"
"T" "00-00-1897" "0" "Fordham (NY)" "0" "New York, NY" "" 0 0 1897 "Villanova (PA)"
"L" "11-20-1897" "12" "Manhattan (NY)" "18" "Villanova, PA" "" 11 20 1897 "Villanova (PA)"
"W" "00-00-1897" "17" "Fordham (NY)" "0" "Villanova, PA" "" 0 0 1897 "Villanova (PA)"
"L" "10-01-1898" "0" "Lafayette (PA)" "16" "Easton, PA" "" 10 1 1898 "Villanova (PA)"
"W" "10-08-1898" "26" "Bryn Mawr AA (PA)" "0" "Villanova, PA" "" 10 8 1898 "Villanova (PA)"
"L" "10-19-1898" "0" "Lawrenceville Prep School (NJ)" "12" "Villanova, PA" "" 10 19 1898 "Villanova (PA)"
"T" "10-26-1898" "0" "Hill School (PA)" "0" "Pottstown, PA" "" 10 26 1898 "Villanova (PA)"
"W" "10-29-1898" "16" "Manhattan (NY)" "5" "Villanova, PA" "" 10 29 1898 "Villanova (PA)"
"L" "11-05-1898" "0" "Georgetown (DC)" "12" "Washington, DC" "" 11 5 1898 "Villanova (PA)"
"L" "11-12-1898" "0" "Manhattan (NY)" "5" "Manhattan, NY" "" 11 12 1898 "Villanova (PA)"
"L" "10-04-1899" "0" "Lafayette (PA)" "13" "Easton, PA" "" 10 4 1899 "Villanova (PA)"
"T" "00-00-1899" "0" "Hill School (PA)" "0" "Pottstown, PA" "" 0 0 1899 "Villanova (PA)"
"W" "00-00-1899" "18" "Lawrenceville Prep School (NJ)" "5" "Villanova, PA" "" 0 0 1899 "Villanova (PA)"
"W" "10-21-1899" "11" "Pennsylvania Railroad YMCA" "6" "Philadelphia, PA" "" 10 21 1899 "Villanova (PA)"
"W" "10-28-1899" "6" "Manhattan (NY)" "0" "Villanova, PA" "" 10 28 1899 "Villanova (PA)"
"W" "00-00-1899" "32" "Radnor Invincibles (PA)" "0" "Villanova, PA" "" 0 0 1899 "Villanova (PA)"
"W" "00-00-1899" "6" "Warren AA (PA)" "0" "?" "" 0 0 1899 "Villanova (PA)"
"L" "11-18-1899" "0" "Manhattan (NY)" "17" "Manhattan, NY" "" 11 18 1899 "Villanova (PA)"
"W" "00-00-1899" "16" "Active AA" "5" "?" "" 0 0 1899 "Villanova (PA)"
"W" "11-30-1899" "5" "Scranton (PA)" "0" "Scranton, PA" "" 11 30 1899 "Villanova (PA)"
"T" "00-00-1900" "0" "Pennsylvania JV" "0" "Villanova, PA" "" 0 0 1900 "Villanova (PA)"
"W" "00-00-1900" "12" "Gettysburg (PA)" "0" "Villanova, PA" "" 0 0 1900 "Villanova (PA)"
"L" "10-20-1900" "0" "Manhattan (NY)" "2" "Villanova, PA" "" 10 20 1900 "Villanova (PA)"
"L" "10-27-1900" "5" "Manhattan (NY)" "6" "Manhattan, NY" "" 10 27 1900 "Villanova (PA)"
"W" "00-00-1900" "18" "Medico-Chirurgical College (PA)" "0" "Villanova, PA" "" 0 0 1900 "Villanova (PA)"
"W" "00-00-1900" "29" "Warren AA (PA)" "0" "?" "" 0 0 1900 "Villanova (PA)"
"T" "11-24-1900" "0" "Bucknell (PA)" "0" "Villanova, PA" "" 11 24 1900 "Villanova (PA)"
"W" "00-00-1900" "22" "Conshohocken AA (PA)" "0" "Conshohocken, PA" "" 0 0 1900 "Villanova (PA)"
"W" "00-00-1900" "6" "Conshohocken AA (PA)" "0" "Conshohocken, PA" "" 0 0 1900 "Villanova (PA)"
"L" "09-28-1901" "0" "Princeton (NJ)" "35" "Princeton, NJ" "" 9 28 1901 "Villanova (PA)"
"L" "00-00-1901" "0" "Gallaudet (DC)" "12" "Washington, DC" "" 0 0 1901 "Villanova (PA)"
"W" "10-19-1901" "12" "Franklin & Marshall (PA)" "11" "Lancaster, PA" "" 10 19 1901 "Villanova (PA)"
"L" "00-00-1901" "5" "Hill School (PA)" "11" "Pottstown, PA" "" 0 0 1901 "Villanova (PA)"
