"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1873" "2" "Washington & Lee (VA)" "4" "Lexington, VA" "" 0 0 1873 "Virginia Military Institute"
"L" "09-26-1890" "0" "Washington & Lee (VA)" "6" "?" "Washington & Lee won - score unknown" 9 26 1890 "Virginia Military Institute"
"W" "00-00-1891" "6" "Washington & Lee (VA)" "0" "Lexington, VA" "" 0 0 1891 "Virginia Military Institute"
"T" "00-00-1891" "0" "Washington & Lee (VA)" "0" "Lexington, VA" "" 0 0 1891 "Virginia Military Institute"
"W" "00-00-1891" "18" "Saint John's (MD)" "0" "Lexington, VA" "" 0 0 1891 "Virginia Military Institute"
"W" "00-00-1891" "28" "Pantops Academy (VA)" "12" "Charlottesville, VA" "" 0 0 1891 "Virginia Military Institute"
"W" "00-00-1892" "18" "Saint John's (MD)" "0" "Lexington, VA" "" 0 0 1892 "Virginia Military Institute"
"T" "10-21-1892" "12" "Wake Forest (NC)" "12" "Lexington, VA" "" 10 21 1892 "Virginia Military Institute"
"W" "11-12-1892" "32" "Duke (NC)" "0" "Lexington, VA" "" 11 12 1892 "Virginia Military Institute"
"W" "11-26-1892" "34" "Kentucky" "0" "Lexington, VA" "" 11 26 1892 "Virginia Military Institute"
"W" "00-00-1892" "30" "Washington & Lee (VA)" "6" "Lexington, VA" "" 0 0 1892 "Virginia Military Institute"
"W" "00-00-1893" "28" "Washington & Lee (VA)" "0" "Lexington, VA" "" 0 0 1893 "Virginia Military Institute"
"W" "10-21-1893" "10" "North Carolina" "4" "Lexington, VA" "" 10 21 1893 "Virginia Military Institute"
"W" "11-10-1893" "34" "Richmond (VA)" "0" "Lexington, VA" "" 11 10 1893 "Virginia Military Institute"
"L" "11-25-1893" "0" "Virginia" "22" "Lexington, VA" "VMI quit due to suspicions of a fixed game" 11 25 1893 "Virginia Military Institute"
"W" "00-00-1894" "44" "Saint Albans (VA)" "0" "Lexington, VA" "" 0 0 1894 "Virginia Military Institute"
"W" "00-00-1894" "4" "Washington & Lee (VA)" "0" "Lexington, VA" "" 0 0 1894 "Virginia Military Institute"
"W" "00-00-1894" "48" "Hampton AC (VA)" "0" "Lexington, VA" "" 0 0 1894 "Virginia Military Institute"
"W" "00-00-1894" "16" "Washington & Lee (VA)" "0" "Lexington, VA" "" 0 0 1894 "Virginia Military Institute"
"W" "11-30-1894" "10" "Virginia Tech" "6" "Staunton, VA" "" 11 30 1894 "Virginia Military Institute"
"W" "00-00-1894" "16" "Roanoke (VA)" "0" "Lexington, VA" "" 0 0 1894 "Virginia Military Institute"
