"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1893" "0" "Norfolk YMCA (VA)" "16" "Norfolk, VA" "" 0 0 1893 "William & Mary (VA)"
"W" "00-00-1893" "14" "Old Dominion Club" "4" "?" "" 0 0 1893 "William & Mary (VA)"
"W" "00-00-1893" "8" "Capitol City AC" "4" "Williamsburg, VA" "" 0 0 1893 "William & Mary (VA)"
"L" "00-00-1894" "0" "Hampden-Sydney (VA)" "28" "Williamsburg, VA" "" 0 0 1894 "William & Mary (VA)"
"L" "00-00-1896" "0" "Randolph-Macon (VA)" "10" "Williamsburg, VA" "" 0 0 1896 "William & Mary (VA)"
"L" "00-00-1896" "0" "Randolph-Macon (VA)" "4" "Ashland, VA" "" 0 0 1896 "William & Mary (VA)"
"L" "11-06-1897" "0" "George Washington (DC)" "30" "Williamsburg, VA" "" 11 6 1897 "William & Mary (VA)"
"W" "00-00-1898" "5" "Randolph-Macon (VA)" "0" "Williamsburg, VA" "" 0 0 1898 "William & Mary (VA)"
"L" "11-19-1898" "0" "Richmond (VA)" "15" "Richmond, VA" "" 11 19 1898 "William & Mary (VA)"
"L" "10-21-1899" "0" "Richmond (VA)" "41" "Richmond, VA" "" 10 21 1899 "William & Mary (VA)"
"L" "00-00-1899" "5" "Hampden-Sydney (VA)" "10" "Williamsburg, VA" "" 0 0 1899 "William & Mary (VA)"
"W" "00-00-1899" "41" "Hampton HS (VA)" "0" "Williamsburg, VA" "" 0 0 1899 "William & Mary (VA)"
"L" "11-11-1899" "0" "Portsmouth AC (VA)" "6" "Williamsburg, VA" "" 11 11 1899 "William & Mary (VA)"
"W" "00-00-1899" "6" "Baltimore City College (MD)" "5" "Baltimore, MD" "" 0 0 1899 "William & Mary (VA)"
"W" "00-00-1900" "5" "Newport News AC (VA)" "0" "Williamsburg, VA" "" 0 0 1900 "William & Mary (VA)"
"L" "00-00-1900" "0" "Hampden-Sydney (VA)" "17" "Williamsburg, VA" "" 0 0 1900 "William & Mary (VA)"
"L" "00-00-1900" "0" "Randolph-Macon (VA)" "11" "Ashland, VA" "" 0 0 1900 "William & Mary (VA)"
"W" "00-00-1901" "11" "Old Point Comfort College (VA)" "6" "Williamsburg, VA" "" 0 0 1901 "William & Mary (VA)"
"T" "00-00-1901" "0" "Randolph-Macon (VA)" "0" "Williamsburg, VA" "" 0 0 1901 "William & Mary (VA)"
"L" "11-09-1901" "11" "Richmond (VA)" "27" "Williamsburg, VA" "" 11 9 1901 "William & Mary (VA)"
"W" "00-00-1901" "6" "Fredericksburg College (VA)" "0" "Williamsburg, VA" "" 0 0 1901 "William & Mary (VA)"
