"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "12-14-1889" "5" "Furman (SC)" "1" "Spartanburg, SC" "" 12 14 1889 "Wofford (SC)"
"W" "01-18-1890" "2" "Furman (SC)" "1" "Greenville, SC" "" 1 18 1890 "Wofford (SC)"
"L" "01-24-1891" "0" "Furman (SC)" "12" "Spartanburg, SC" "" 1 24 1891 "Wofford (SC)"
"L" "03-21-1891" "2" "Furman (SC)" "28" "Greenville, SC" "" 3 21 1891 "Wofford (SC)"
"L" "11-30-1893" "4" "Furman (SC)" "18" "Greenville, SC" "" 11 30 1893 "Wofford (SC)"
"L" "11-10-1894" "0" "Georgia" "10" "Spartanburg, SC" "" 11 10 1894 "Wofford (SC)"
"L" "10-19-1895" "0" "Georgia" "34" "Athens, GA" "" 10 19 1895 "Wofford (SC)"
"W" "11-09-1895" "12" "Bingham Military School (NC)" "0" "Spartanburg, SC" "" 11 9 1895 "Wofford (SC)"
"W" "11-14-1895" "10" "South Carolina" "0" "Columbia, SC" "" 11 14 1895 "Wofford (SC)"
"W" "11-23-1895" "44" "Furman (SC)" "0" "Spartanburg, SC" "" 11 23 1895 "Wofford (SC)"
"L" "10-24-1896" "0" "Georgia" "24" "Spartanburg, SC" "" 10 24 1896 "Wofford (SC)"
"W" "11-06-1896" "6" "Furman (SC)" "0" "Spartanburg, SC" "" 11 6 1896 "Wofford (SC)"
"W" "11-19-1896" "6" "South Carolina" "4" "Columbia, SC" "" 11 19 1896 "Wofford (SC)"
"L" "11-21-1896" "0" "Clemson (SC)" "16" "Spartanburg, SC" "" 11 21 1896 "Wofford (SC)"
"W" "00-00-1896" "20" "Birmingham AC (AL)" "0" "?" "" 0 0 1896 "Wofford (SC)"
"L" "00-00-1896" "0" "Athens" "32" "?" "" 0 0 1896 "Wofford (SC)"
"L" "10-22-1900" "0" "Clemson (SC)" "21" "Spartanburg, SC" "" 10 22 1900 "Wofford (SC)"
"T" "10-26-1900" "0" "Furman (SC)" "0" "Spartanburg, SC" "" 10 26 1900 "Wofford (SC)"
"W" "11-29-1900" "6" "Furman (SC)" "5" "Greenville, SC" "" 11 29 1900 "Wofford (SC)"
"L" "00-00-1901" "6" "Bingham Military School (NC)" "24" "?" "" 0 0 1901 "Wofford (SC)"
"L" "10-25-1901" "0" "Georgia Tech" "33" "Spartanburg, SC" "" 10 25 1901 "Wofford (SC)"
"W" "11-14-1901" "23" "Asheville" "17" "Spartanburg, SC" "" 11 14 1901 "Wofford (SC)"
"W" "11-18-1901" "11" "South Carolina" "5" "Spartanburg, SC" "" 11 18 1901 "Wofford (SC)"
"L" "11-28-1901" "0" "Furman (SC)" "17" "Greenville, SC" "" 11 28 1901 "Wofford (SC)"
"T" "10-03-1914" "0" "Riverside Military Academy (GA)" "0" "Spartanburg, SC" "" 10 3 1914 "Wofford (SC)"
"L" "10-10-1914" "12" "Furman (SC)" "19" "Greenville, SC" "" 10 10 1914 "Wofford (SC)"
"L" "10-17-1914" "5" "Davidson (NC)" "81" "Davidson, NC" "" 10 17 1914 "Wofford (SC)"
"W" "10-24-1914" "7" "Presbyterian (SC)" "0" "Spartanburg, SC" "" 10 24 1914 "Wofford (SC)"
"L" "10-28-1914" "0" "Newberry (SC)" "36" "Columbia, SC" "" 10 28 1914 "Wofford (SC)"
"L" "11-04-1914" "0" "South Carolina" "25" "Spartanburg, SC" "" 11 4 1914 "Wofford (SC)"
"L" "11-07-1914" "0" "Florida" "36" "Gainesville, FL" "" 11 7 1914 "Wofford (SC)"
"L" "11-26-1914" "7" "Newberry (SC)" "15" "Spartanburg, SC" "" 11 26 1914 "Wofford (SC)"
"L" "12-05-1914" "0" "Wake Forest (NC)" "41" "Wake Forest, NC" "" 12 5 1914 "Wofford (SC)"
"L" "10-02-1915" "6" "Presbyterian (SC)" "16" "Spartanburg, SC" "" 10 2 1915 "Wofford (SC)"
"L" "10-09-1915" "6" "Mercer (GA)" "13" "Macon, GA" "" 10 9 1915 "Wofford (SC)"
"L" "10-16-1915" "0" "Davidson (NC)" "45" "Davidson, NC" "" 10 16 1915 "Wofford (SC)"
"W" "10-22-1915" "13" "Erskine (SC)" "3" "Spartanburg, SC" "" 10 22 1915 "Wofford (SC)"
"W" "10-27-1915" "10" "Newberry (SC)" "7" "Columbia, SC" "" 10 27 1915 "Wofford (SC)"
"L" "11-04-1915" "6" "South Carolina" "33" "Spartanburg, SC" "" 11 4 1915 "Wofford (SC)"
"W" "11-13-1915" "2" "Cumberland (TN)" "0" "Lebanon, TN" "" 11 13 1915 "Wofford (SC)"
"L" "11-25-1915" "0" "Furman (SC)" "25" "Greenville, SC" "" 11 25 1915 "Wofford (SC)"
"L" "10-06-1916" "13" "Presbyterian (SC)" "49" "Clinton, SC" "" 10 6 1916 "Wofford (SC)"
"L" "10-14-1916" "3" "South Carolina" "23" "Columbia, SC" "" 10 14 1916 "Wofford (SC)"
"L" "10-21-1916" "7" "Erskine (SC)" "12" "Spartanburg, SC" "" 10 21 1916 "Wofford (SC)"
"W" "10-28-1916" "31" "Guilford (NC)" "0" "Spartanburg, SC" "" 10 28 1916 "Wofford (SC)"
"L" "11-02-1916" "0" "Newberry (SC)" "21" "Spartanburg, SC" "" 11 2 1916 "Wofford (SC)"
"L" "11-08-1916" "0" "Citadel (SC)" "37" "Charleston, SC" "" 11 8 1916 "Wofford (SC)"
"L" "11-18-1916" "0" "Wake Forest (NC)" "41" "Wake Forest, NC" "" 11 18 1916 "Wofford (SC)"
"L" "11-25-1916" "0" "Davidson (NC)" "32" "Spartanburg, SC" "" 11 25 1916 "Wofford (SC)"
"W" "11-30-1916" "9" "Furman (SC)" "7" "Spartanburg, SC" "" 11 30 1916 "Wofford (SC)"
"W" "10-06-1917" "20" "Guilford (NC)" "0" "Greensboro, NC" "" 10 6 1917 "Wofford (SC)"
"W" "10-13-1917" "20" "Camp Wadsworth (SC)" "0" "Spartanburg, SC" "" 10 13 1917 "Wofford (SC)"
"L" "10-20-1917" "6" "Presbyterian (SC)" "7" "Spartanburg, SC" "" 10 20 1917 "Wofford (SC)"
"W" "10-26-1917" "21" "Erskine (SC)" "0" "Spartanburg, SC" "" 10 26 1917 "Wofford (SC)"
"L" "11-01-1917" "16" "Clemson (SC)" "27" "Spartanburg, SC" "" 11 1 1917 "Wofford (SC)"
"W" "11-09-1917" "45" "Newberry (SC)" "0" "Newberry, SC" "" 11 9 1917 "Wofford (SC)"
"W" "11-16-1917" "20" "South Carolina" "0" "Spartanburg, SC" "" 11 16 1917 "Wofford (SC)"
"L" "11-22-1917" "0" "Davidson (NC)" "62" "Davidson, NC" "" 11 22 1917 "Wofford (SC)"
"L" "11-29-1917" "3" "Furman (SC)" "18" "Greenville, SC" "" 11 29 1917 "Wofford (SC)"
"L" "10-26-1918" "0" "Erskine (SC)" "27" "Spartanburg, SC" "" 10 26 1918 "Wofford (SC)"
"L" "11-09-1918" "0" "South Carolina" "13" "Columbia, SC" "" 11 9 1918 "Wofford (SC)"
"L" "11-28-1918" "0" "Furman (SC)" "7" "Spartanburg, SC" "" 11 28 1918 "Wofford (SC)"
"T" "10-04-1919" "6" "Guilford (NC)" "6" "Spartanburg, SC" "" 10 4 1919 "Wofford (SC)"
"L" "10-11-1919" "6" "Furman (SC)" "7" "Greenville, SC" "" 10 11 1919 "Wofford (SC)"
"W" "10-18-1919" "12" "Citadel (SC)" "0" "Spartanburg, SC" "" 10 18 1919 "Wofford (SC)"
"W" "10-31-1919" "27" "Newberry (SC)" "0" "Spartanburg, SC" "" 10 31 1919 "Wofford (SC)"
"W" "11-06-1919" "19" "Erskine (SC)" "0" "Spartanburg, SC" "" 11 6 1919 "Wofford (SC)"
"L" "11-14-1919" "6" "Presbyterian (SC)" "14" "Clinton, NY" "" 11 14 1919 "Wofford (SC)"
"L" "10-02-1920" "0" "South Carolina" "10" "Columbia, SC" "" 10 2 1920 "Wofford (SC)"
"L" "10-09-1920" "7" "Clemson (SC)" "13" "Clemson, SC" "" 10 9 1920 "Wofford (SC)"
"L" "10-15-1920" "7" "Newberry (SC)" "9" "Newberry, SC" "" 10 15 1920 "Wofford (SC)"
"L" "10-23-1920" "0" "Citadel (SC)" "19" "Charleston, SC" "" 10 23 1920 "Wofford (SC)"
"L" "10-29-1920" "0" "Oglethorpe (GA)" "14" "Atlanta, GA" "" 10 29 1920 "Wofford (SC)"
"L" "11-04-1920" "0" "Presbyterian (SC)" "14" "Spartanburg, SC" "" 11 4 1920 "Wofford (SC)"
"L" "11-13-1920" "0" "Furman (SC)" "69" "Spartanburg, SC" "" 11 13 1920 "Wofford (SC)"
"L" "11-20-1920" "7" "North Carolina St." "90" "Raleigh, NC" "" 11 20 1920 "Wofford (SC)"
"T" "11-25-1920" "0" "Duke (NC)" "0" "Durham, NC" "" 11 25 1920 "Wofford (SC)"
"W" "10-01-1921" "22" "North Georgia" "0" "Spartanburg, SC" "" 10 1 1921 "Wofford (SC)"
"L" "10-08-1921" "0" "Citadel (SC)" "28" "Charleston, SC" "" 10 8 1921 "Wofford (SC)"
"W" "10-15-1921" "20" "Elon (NC)" "7" "Spartanburg, SC" "" 10 15 1921 "Wofford (SC)"
"L" "10-22-1921" "0" "Davidson (NC)" "87" "Davidson, NC" "" 10 22 1921 "Wofford (SC)"
"L" "10-29-1921" "21" "Newberry (SC)" "33" "Spartanburg, SC" "" 10 29 1921 "Wofford (SC)"
"L" "11-03-1921" "6" "Erskine (SC)" "19" "Spartanburg, SC" "" 11 3 1921 "Wofford (SC)"
"L" "11-11-1921" "0" "Presbyterian (SC)" "27" "Clinton, SC" "" 11 11 1921 "Wofford (SC)"
"L" "11-18-1921" "0" "Furman (SC)" "62" "Greenville, SC" "" 11 18 1921 "Wofford (SC)"
"L" "11-24-1921" "0" "Duke (NC)" "68" "Spartanburg, SC" "" 11 24 1921 "Wofford (SC)"
"W" "09-30-1922" "20" "North Georgia" "0" "Dahlonega, GA" "" 9 30 1922 "Wofford (SC)"
"L" "10-07-1922" "0" "Fort Benning Infantry School (GA)" "12" "Columbus, GA" "" 10 7 1922 "Wofford (SC)"
"W" "10-14-1922" "5" "Erskine (SC)" "0" "Due West, SC" "" 10 14 1922 "Wofford (SC)"
"L" "10-20-1922" "0" "South Carolina" "20" "Columbia, SC" "" 10 20 1922 "Wofford (SC)"
"L" "10-28-1922" "0" "Carson-Newman (TN)" "35" "Jefferson City, TN" "" 10 28 1922 "Wofford (SC)"
"L" "11-02-1922" "0" "Presbyterian (SC)" "32" "Spartanburg, SC" "" 11 2 1922 "Wofford (SC)"
"L" "11-11-1922" "0" "Davidson (NC)" "34" "Charlotte, NC" "" 11 11 1922 "Wofford (SC)"
"L" "11-18-1922" "0" "Furman (SC)" "41" "Spartanburg, SC" "" 11 18 1922 "Wofford (SC)"
"L" "11-30-1922" "0" "Duke (NC)" "26" "Durham, NC" "" 11 30 1922 "Wofford (SC)"
"W" "09-22-1923" "12" "North Georgia" "6" "Spartanburg, SC" "" 9 22 1923 "Wofford (SC)"
"W" "09-29-1923" "20" "Piedmont (GA)" "0" "Demorest, GA" "" 9 29 1923 "Wofford (SC)"
"W" "10-06-1923" "40" "Erskine (SC)" "0" "Spartanburg, SC" "" 10 6 1923 "Wofford (SC)"
"W" "10-20-1923" "14" "Fort Benning (GA)" "13" "Spartanburg, SC" "" 10 20 1923 "Wofford (SC)"
"W" "10-26-1923" "19" "Newberry (SC)" "13" "Newberry, SC" "" 10 26 1923 "Wofford (SC)"
"L" "11-01-1923" "0" "Oglethorpe (GA)" "32" "Spartanburg, SC" "" 11 1 1923 "Wofford (SC)"
"L" "11-03-1923" "0" "Presbyterian (SC)" "26" "Clinton, SC" "" 11 3 1923 "Wofford (SC)"
"W" "11-17-1923" "10" "Guilford (NC)" "7" "Greensboro, NC" "" 11 17 1923 "Wofford (SC)"
"L" "11-29-1923" "0" "Citadel (SC)" "9" "Spartanburg, SC" "" 11 29 1923 "Wofford (SC)"
"L" "09-20-1924" "0" "Virginia Military Institute" "33" "Lexington, VA" "" 9 20 1924 "Wofford (SC)"
"W" "09-26-1924" "12" "Piedmont (GA)" "0" "Spartanburg, SC" "" 9 26 1924 "Wofford (SC)"
"L" "10-04-1924" "0" "Citadel (SC)" "19" "Charleston, SC" "" 10 4 1924 "Wofford (SC)"
"L" "10-11-1924" "0" "Davidson (NC)" "7" "Davidson, NC" "" 10 11 1924 "Wofford (SC)"
"L" "10-17-1924" "0" "Oglethorpe (GA)" "27" "Spartanburg, SC" "" 10 17 1924 "Wofford (SC)"
"W" "10-24-1924" "3" "Erskine (SC)" "0" "Spartanburg, SC" "" 10 24 1924 "Wofford (SC)"
"W" "10-30-1924" "19" "Presbyterian (SC)" "7" "Spartanburg, SC" "" 10 30 1924 "Wofford (SC)"
"L" "11-08-1924" "0" "Mercer (GA)" "16" "Macon, GA" "" 11 8 1924 "Wofford (SC)"
"L" "11-15-1924" "0" "Duke (NC)" "12" "Durham, NC" "" 11 15 1924 "Wofford (SC)"
"L" "11-27-1924" "7" "Newberry (SC)" "16" "Spartanburg, SC" "" 11 27 1924 "Wofford (SC)"
"L" "09-19-1925" "0" "Virginia Military Institute" "9" "Lexington, VA" "" 9 19 1925 "Wofford (SC)"
"L" "09-26-1925" "0" "Davidson (NC)" "7" "Davidson, NC" "" 9 26 1925 "Wofford (SC)"
"W" "10-03-1925" "81" "Piedmont (GA)" "0" "Spartanburg, SC" "" 10 3 1925 "Wofford (SC)"
"W" "10-09-1925" "27" "Erskine (SC)" "0" "Due West, SC" "" 10 9 1925 "Wofford (SC)"
"L" "10-16-1925" "0" "South Carolina" "6" "Columbia, SC" "" 10 16 1925 "Wofford (SC)"
"L" "10-23-1925" "7" "Oglethorpe (GA)" "13" "Spartanburg, SC" "" 10 23 1925 "Wofford (SC)"
"W" "10-29-1925" "13" "Clemson (SC)" "0" "Spartanburg, SC" "" 10 29 1925 "Wofford (SC)"
"L" "11-06-1925" "6" "Presbyterian (SC)" "9" "Clinton, SC" "" 11 6 1925 "Wofford (SC)"
"L" "11-20-1925" "0" "Duke (NC)" "6" "Spartanburg, SC" "" 11 20 1925 "Wofford (SC)"
"L" "11-28-1925" "0" "Newberry (SC)" "26" "Newberry, SC" "" 11 28 1925 "Wofford (SC)"
"L" "09-18-1926" "0" "Virginia Military Institute" "20" "Lexington, VA" "" 9 18 1926 "Wofford (SC)"
"L" "09-25-1926" "6" "Davidson (NC)" "24" "Spartanburg, SC" "" 9 25 1926 "Wofford (SC)"
"L" "10-02-1926" "0" "Wake Forest (NC)" "27" "Salisbury, NC" "" 10 2 1926 "Wofford (SC)"
"L" "10-15-1926" "13" "South Carolina" "27" "Columbia, SC" "" 10 15 1926 "Wofford (SC)"
"L" "10-23-1926" "0" "Citadel (SC)" "6" "Spartanburg, SC" "" 10 23 1926 "Wofford (SC)"
"W" "10-28-1926" "3" "Clemson (SC)" "0" "Spartanburg, SC" "" 10 28 1926 "Wofford (SC)"
"L" "11-05-1926" "0" "Presbyterian (SC)" "27" "Spartanburg, SC" "" 11 5 1926 "Wofford (SC)"
"W" "11-12-1926" "42" "Erskine (SC)" "6" "Spartanburg, SC" "" 11 12 1926 "Wofford (SC)"
"L" "11-20-1926" "0" "Duke (NC)" "34" "Durham, NC" "" 11 20 1926 "Wofford (SC)"
"L" "11-25-1926" "7" "Newberry (SC)" "13" "Spartanburg, SC" "" 11 25 1926 "Wofford (SC)"
"L" "09-17-1927" "0" "Virginia Military Institute" "37" "Lexington, VA" "" 9 17 1927 "Wofford (SC)"
"T" "10-01-1927" "6" "Erskine (SC)" "6" "Due West, SC" "" 10 1 1927 "Wofford (SC)"
"L" "10-08-1927" "2" "Davidson (NC)" "12" "Spartanburg, SC" "" 10 8 1927 "Wofford (SC)"
"L" "10-15-1927" "7" "Tennessee-Chattanooga" "38" "Chattanooga, TN" "" 10 15 1927 "Wofford (SC)"
"T" "10-21-1927" "7" "Presbyterian (SC)" "7" "Clinton, SC" "" 10 21 1927 "Wofford (SC)"
"L" "10-29-1927" "0" "Clemson (SC)" "6" "Clemson, SC" "" 10 29 1927 "Wofford (SC)"
"W" "11-05-1927" "32" "Florida Southern" "0" "Spartanburg, SC" "" 11 5 1927 "Wofford (SC)"
"T" "11-12-1927" "6" "Citadel (SC)" "6" "Charleston, SC" "" 11 12 1927 "Wofford (SC)"
"W" "11-24-1927" "43" "Newberry (SC)" "20" "Newberry, SC" "" 11 24 1927 "Wofford (SC)"
"W" "09-29-1928" "7" "High Point (NC)" "0" "Spartanburg, SC" "" 9 29 1928 "Wofford (SC)"
"W" "10-06-1928" "25" "Erskine (SC)" "13" "Spartanburg, SC" "" 10 6 1928 "Wofford (SC)"
"W" "10-13-1928" "7" "Davidson (NC)" "0" "Davidson, NC" "" 10 13 1928 "Wofford (SC)"
"W" "10-18-1928" "14" "Newberry (SC)" "13" "Sumter, SC" "" 10 18 1928 "Wofford (SC)"
"L" "10-27-1928" "0" "Furman (SC)" "26" "Greenville, SC" "" 10 27 1928 "Wofford (SC)"
"W" "11-01-1928" "28" "Presbyterian (SC)" "0" "Spartanburg, SC" "" 11 1 1928 "Wofford (SC)"
"W" "11-10-1928" "7" "Georgetown (KY)" "0" "Spartanburg, SC" "" 11 10 1928 "Wofford (SC)"
"T" "11-16-1928" "7" "Wake Forest (NC)" "7" "Wake Forest, NC" "" 11 16 1928 "Wofford (SC)"
"W" "11-24-1928" "9" "Citadel (SC)" "7" "Spartanburg, SC" "" 11 24 1928 "Wofford (SC)"
"L" "11-29-1928" "7" "Florida Southern" "13" "Lakeland, FL" "" 11 29 1928 "Wofford (SC)"
"W" "09-28-1929" "19" "High Point (NC)" "6" "High Point, NC" "" 9 28 1929 "Wofford (SC)"
"L" "10-05-1929" "0" "Davidson (NC)" "7" "Spartanburg, SC" "" 10 5 1929 "Wofford (SC)"
"L" "10-12-1929" "14" "Erskine (SC)" "18" "Spartanburg, SC" "" 10 12 1929 "Wofford (SC)"
"L" "10-18-1929" "0" "Clemson (SC)" "30" "Spartanburg, SC" "" 10 18 1929 "Wofford (SC)"
"L" "10-26-1929" "7" "Furman (SC)" "26" "Spartanburg, SC" "" 10 26 1929 "Wofford (SC)"
"W" "11-01-1929" "12" "Presbyterian (SC)" "6" "Spartanburg, SC" "" 11 1 1929 "Wofford (SC)"
"L" "11-09-1929" "0" "Wake Forest (NC)" "19" "Spartanburg, SC" "" 11 9 1929 "Wofford (SC)"
"W" "11-15-1929" "25" "Newberry (SC)" "0" "Newberry, SC" "" 11 15 1929 "Wofford (SC)"
"L" "11-28-1929" "0" "Citadel (SC)" "7" "Charleston, SC" "" 11 28 1929 "Wofford (SC)"
"W" "09-20-1930" "43" "Newberry (SC)" "0" "Spartanburg, SC" "" 9 20 1930 "Wofford (SC)"
"L" "09-27-1930" "0" "Clemson (SC)" "32" "Clemson, SC" "" 9 27 1930 "Wofford (SC)"
"W" "10-04-1930" "13" "High Point (NC)" "6" "Spartanburg, SC" "" 10 4 1930 "Wofford (SC)"
"L" "10-11-1930" "0" "William & Mary (VA)" "19" "Williamsburg, VA" "" 10 11 1930 "Wofford (SC)"
"L" "10-18-1930" "0" "Presbyterian (SC)" "14" "Clinton, SC" "" 10 18 1930 "Wofford (SC)"
"L" "10-25-1930" "0" "Duke (NC)" "14" "Spartanburg, SC" "" 10 25 1930 "Wofford (SC)"
"L" "11-01-1930" "6" "Auburn (AL)" "38" "Auburn, AL" "" 11 1 1930 "Wofford (SC)"
"L" "11-08-1930" "0" "Davidson (NC)" "13" "Davidson, NC" "" 11 8 1930 "Wofford (SC)"
"L" "11-15-1930" "0" "Furman (SC)" "14" "Greenville, SC" "" 11 15 1930 "Wofford (SC)"
"L" "11-22-1930" "0" "Erskine (SC)" "7" "Spartanburg, SC" "" 11 22 1930 "Wofford (SC)"
"L" "11-29-1930" "6" "Citadel (SC)" "7" "Spartanburg, SC" "" 11 29 1930 "Wofford (SC)"
"L" "10-03-1931" "14" "Birmingham-Southern (AL)" "21" "Birmingham, AL" "" 10 3 1931 "Wofford (SC)"
"W" "10-09-1931" "9" "High Point (NC)" "0" "High Point, NC" "" 10 9 1931 "Wofford (SC)"
"W" "10-17-1931" "9" "Presbyterian (SC)" "0" "Spartanburg, SC" "" 10 17 1931 "Wofford (SC)"
"L" "10-24-1931" "7" "Mercer (GA)" "25" "Spartanburg, SC" "" 10 24 1931 "Wofford (SC)"
"L" "10-31-1931" "0" "Furman (SC)" "20" "Greenville, SC" "" 10 31 1931 "Wofford (SC)"
"L" "11-07-1931" "0" "Parris Island Marines (SC)" "20" "Parris Island, SC" "" 11 7 1931 "Wofford (SC)"
"W" "11-13-1931" "13" "Newberry (SC)" "7" "Newberry, SC" "" 11 13 1931 "Wofford (SC)"
"W" "11-20-1931" "13" "Erskine (SC)" "12" "Due West, SC" "" 11 20 1931 "Wofford (SC)"
"L" "11-26-1931" "7" "Citadel (SC)" "28" "Charleston, SC" "" 11 26 1931 "Wofford (SC)"
"W" "09-23-1932" "16" "Lenoir-Rhyne (NC)" "0" "Hickory, NC" "" 9 23 1932 "Wofford (SC)"
"W" "10-01-1932" "34" "High Point (NC)" "0" "Spartanburg, SC" "" 10 1 1932 "Wofford (SC)"
"L" "10-08-1932" "6" "Davidson (NC)" "40" "Davidson, NC" "" 10 8 1932 "Wofford (SC)"
"L" "10-14-1932" "0" "South Carolina" "19" "Columbia, SC" "" 10 14 1932 "Wofford (SC)"
"W" "10-22-1932" "7" "Erskine (SC)" "0" "Spartanburg, SC" "" 10 22 1932 "Wofford (SC)"
"L" "10-29-1932" "0" "Presbyterian (SC)" "19" "Clinton, SC" "" 10 29 1932 "Wofford (SC)"
"L" "11-05-1932" "0" "Furman (SC)" "24" "Spartanburg, SC" "" 11 5 1932 "Wofford (SC)"
"L" "11-11-1932" "0" "Catawba (NC)" "14" "Salisbury, NC" "" 11 11 1932 "Wofford (SC)"
"T" "11-19-1932" "20" "Newberry (SC)" "20" "Spartanburg, SC" "" 11 19 1932 "Wofford (SC)"
"L" "11-24-1932" "0" "Citadel (SC)" "13" "Spartanburg, SC" "" 11 24 1932 "Wofford (SC)"
"L" "09-23-1933" "0" "South Carolina" "31" "Columbia, SC" "" 9 23 1933 "Wofford (SC)"
"L" "10-07-1933" "13" "Davidson (NC)" "28" "Spartanburg, SC" "" 10 7 1933 "Wofford (SC)"
