"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "11-16-1872" "3" "Columbia (NY)" "0" "New Haven, CT" "Yale 3g - Columbia 0" 11 16 1872 "Yale (CT)"
"W" "10-25-1873" "4" "Rutgers (NJ)" "1" "New Haven, CT" "Yale 4g - Rutgers 1g" 10 25 1873 "Yale (CT)"
"L" "11-15-1873" "0" "Princeton (NJ)" "3" "New Haven, CT" "Princeton 3g - Yale 0" 11 15 1873 "Yale (CT)"
"W" "12-06-1873" "2" "Eton Alumni (England)" "1" "New Haven, CT" "Yale 2g - Eton 1g" 12 6 1873 "Yale (CT)"
"W" "11-18-1874" "6" "Stevens Tech (NJ)" "0" "New Haven, CT" "Yale 6g - Stevens Tech 0" 11 18 1874 "Yale (CT)"
"W" "11-21-1874" "5" "Columbia (NY)" "1" "New Haven, CT" "Yale 5g - Columbia 1g" 11 21 1874 "Yale (CT)"
"W" "12-05-1874" "6" "Columbia (NY)" "1" "New Haven, CT" "Yale 6g - Columbia 1g" 12 5 1874 "Yale (CT)"
"W" "11-06-1875" "4" "Rutgers (NJ)" "1" "New Haven, CT" "Yale 4g - Rutgers 1g" 11 6 1875 "Yale (CT)"
"L" "11-13-1875" "0" "Harvard (MA)" "4" "New Haven, CT" "Harvard 4g,1t - Yale 0" 11 13 1875 "Yale (CT)"
"W" "11-20-1875" "6" "Wesleyan (CT)" "0" "New Haven, CT" "Yale 6g - Wesleyan 0" 11 20 1875 "Yale (CT)"
"L" "12-04-1875" "2" "Columbia (NY)" "3" "New Haven, CT" "Columbia 3g - Yale 2g" 12 4 1875 "Yale (CT)"
"W" "11-18-1876" "1" "Harvard (MA)" "0" "New Haven, CT" "Yale 1g - Harvard 3t" 11 18 1876 "Yale (CT)"
"W" "11-30-1876" "2" "Princeton (NJ)" "0" "Hoboken, NJ" "Yale 2g,2t - Princeton 0" 11 30 1876 "Yale (CT)"
"W" "12-09-1876" "2" "Columbia (NY)" "0" "Hoboken, NJ" "Yale 2g,5t - Columbia 1t" 12 9 1876 "Yale (CT)"
"W" "11-03-1877" "1" "Tufts (MA)" "0" "New Haven, CT" "Yale 1g,4t - Tufts 1t" 11 3 1877 "Yale (CT)"
"W" "11-21-1877" "7" "Trinity (CT)" "0" "New Haven, CT" "Yale 7g,11t - Trintiy 0" 11 21 1877 "Yale (CT)"
"W" "12-02-1877" "1" "Columbia (NY)" "0" "New Haven, CT" "Columbia Forfeits" 12 2 1877 "Yale (CT)"
"T" "12-08-1877" "0" "Princeton (NJ)" "0" "Hoboken, NJ" "Yale 2t,2s - Princeton 5s" 12 8 1877 "Yale (CT)"
"W" "11-02-1878" "2" "Amherst (MA)" "0" "New Haven, CT" "Yale 2g,3t - Amherst 0" 11 2 1878 "Yale (CT)"
"W" "11-09-1878" "2" "Trinity (CT)" "0" "Hartford, CT" "Yale 2g,10t - Trinity 0" 11 9 1878 "Yale (CT)"
"W" "11-13-1878" "2" "Trinity (CT)" "0" "Hartford, CT" "Yale 2g,4t,2s - Trinity 0" 11 13 1878 "Yale (CT)"
"T" "11-16-1878" "0" "Amherst (MA)" "0" "?" "Amherst 13s - Yale 1s" 11 16 1878 "Yale (CT)"
"W" "11-23-1878" "1" "Harvard (MA)" "0" "Boston, MA" "Yale 1g,7s - Harvard 13s" 11 23 1878 "Yale (CT)"
"L" "11-28-1878" "0" "Princeton (NJ)" "1" "Hoboken, NJ" "Princeton 1g,7s - Yale 2s" 11 28 1878 "Yale (CT)"
"W" "11-01-1879" "3" "Pennsylvania" "0" "Hoboken, NJ" "Yale 3g,5t - Pennsylvania 3s" 11 1 1879 "Yale (CT)"
"T" "11-08-1879" "0" "Harvard (MA)" "0" "New Haven, CT" "Harvard 9s - Yale 3s" 11 8 1879 "Yale (CT)"
"W" "11-15-1879" "5" "Rutgers (NJ)" "0" "New Haven, CT" "Yale 5g,3t - Rutgers 7s" 11 15 1879 "Yale (CT)"
"W" "11-22-1879" "2" "Columbia (NY)" "0" "Hoboken, NJ" "Yale 2g,3t,2s - Columbia 7s" 11 22 1879 "Yale (CT)"
"T" "11-27-1879" "0" "Princeton (NJ)" "0" "Hoboken, NJ" "Yale 4s - Princeton 2s" 11 27 1879 "Yale (CT)"
"W" "11-10-1880" "13" "Columbia (NY)" "0" "New Haven, CT" "Yale 13g,1t - Columbia 0" 11 10 1880 "Yale (CT)"
"W" "11-13-1880" "8" "Brown (RI)" "0" "New Haven, CT" "Brown 11s - Yale 8g,5t,1s" 11 13 1880 "Yale (CT)"
"W" "11-17-1880" "8" "Pennsylvania" "0" "New York, NY" "Yale 8g,1t - Pennsylvania 6s" 11 17 1880 "Yale (CT)"
"W" "11-20-1880" "1" "Harvard (MA)" "0" "Boston, MA" "Yale 1g,1t,2s - Harvard 9s" 11 20 1880 "Yale (CT)"
"T" "11-25-1880" "0" "Princeton (NJ)" "0" "New York, NY" "Princeton 11s - Yale 6s" 11 25 1880 "Yale (CT)"
"W" "10-29-1881" "2" "Amherst (MA)" "0" "Amherst, MA" "Yale 2g,4t,3s - Amherst 1s" 10 29 1881 "Yale (CT)"
"W" "11-02-1881" "2" "Michigan" "0" "New Haven, CT" "Yale 2g,2s - Michigan 0" 11 2 1881 "Yale (CT)"
"W" "11-05-1881" "4" "Amherst (MA)" "0" "New Haven, CT" "Yale 4g,8t,2s - Amheart 0" 11 5 1881 "Yale (CT)"
"W" "11-12-1881" "1" "Harvard (MA)" "0" "New Haven, CT" "Yale 4s - Harvard 0" 11 12 1881 "Yale (CT)"
"W" "11-17-1881" "1" "Columbia (NY)" "0" "New York, NY" "Yale 1g,1t - Columbia 6s" 11 17 1881 "Yale (CT)"
"T" "11-24-1881" "0" "Princeton (NJ)" "0" "New York, NY" "Princeton 1s - Yale 1s" 11 24 1881 "Yale (CT)"
"W" "10-07-1882" "9" "Wesleyan (CT)" "0" "New Haven, CT" "Yale 9g,2t - Wesleyan 0" 10 7 1882 "Yale (CT)"
"W" "10-21-1882" "9" "Rutgers (NJ)" "0" "New Haven, CT" "Yale 9g,3t,4s - Rutgers 3s" 10 21 1882 "Yale (CT)"
"W" "10-28-1882" "5" "Rutgers (NJ)" "0" "New Brunswick, NJ" "Yale 5g - Rutgers 1t" 10 28 1882 "Yale (CT)"
"W" "11-04-1882" "6" "MIT (MA)" "0" "New Haven, CT" "Yale 6g,6t - MIT 0" 11 4 1882 "Yale (CT)"
"W" "11-08-1882" "9" "Amherst (MA)" "0" "Amherst, MA" "Yale 9g,5t - Amherst 0" 11 8 1882 "Yale (CT)"
"W" "11-18-1882" "11" "Columbia (NY)" "0" "New Haven, CT" "Yale 11g,4t - Columbia 3s" 11 18 1882 "Yale (CT)"
"W" "11-25-1882" "1" "Harvard (MA)" "0" "Cambridge, MA" "Yale 1g,3t - Harvard 3s" 11 25 1882 "Yale (CT)"
"W" "11-30-1882" "2" "Princeton (NJ)" "1" "New York, NY" "Yale 2g,2t,1s - Princeton 1g,1s" 11 30 1882 "Yale (CT)"
"W" "09-26-1883" "58" "Wesleyan (CT)" "0" "New Haven, CT" "" 9 26 1883 "Yale (CT)"
"W" "09-29-1883" "90" "Wesleyan (CT)" "0" "Middletown, CT" "" 9 29 1883 "Yale (CT)"
"W" "10-06-1883" "59" "Stevens Tech (NJ)" "0" "New Haven, CT" "" 10 6 1883 "Yale (CT)"
"W" "11-06-1883" "92" "Rutgers (NJ)" "0" "New York, NY" "" 11 6 1883 "Yale (CT)"
"W" "11-17-1883" "93" "Columbia (NY)" "0" "New York, NY" "" 11 17 1883 "Yale (CT)"
"W" "11-21-1883" "64" "Michigan" "0" "New Haven, CT" "" 11 21 1883 "Yale (CT)"
"W" "11-24-1883" "6" "Princeton (NJ)" "0" "New York, NY" "" 11 24 1883 "Yale (CT)"
"W" "11-29-1883" "23" "Harvard (MA)" "2" "New York, NY" "" 11 29 1883 "Yale (CT)"
"W" "10-01-1884" "31" "Wesleyan (CT)" "0" "New Haven, CT" "" 10 1 1884 "Yale (CT)"
"W" "10-11-1884" "96" "Stevens Tech (NJ)" "0" "New Haven, CT" "" 10 11 1884 "Yale (CT)"
"W" "10-17-1884" "63" "Wesleyan (CT)" "0" "Hartford, CT" "" 10 17 1884 "Yale (CT)"
"W" "10-22-1884" "76" "Rutgers (NJ)" "10" "New Brunswick, NJ" "" 10 22 1884 "Yale (CT)"
"W" "10-25-1884" "113" "Dartmouth (NH)" "0" "Hanover, NH" "" 10 25 1884 "Yale (CT)"
"W" "11-05-1884" "46" "Wesleyan (CT)" "0" "New Haven, CT" "" 11 5 1884 "Yale (CT)"
